"Data,""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ikere Local Government Area"",""ek Are/Araromi Ward"",""ek SUBEB Model Nursery and Pry Schl, Health centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ekiti South West Local Government Area"",""ek Ifakin Ilawe Ward"",""ek Ogotun Basic Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ado Ekiti Local Government Area"",""ek Oke Ila Ward"",""ek Abek Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ilejemeje Local Government Area"",""ek Iludun Ward 2"",""ek Iludun National Primary Health Care Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Moba Local Government Area"",""ek Osun Ward"",""ek Osun Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ido-Osi Local Government Area"",""ek Usi Ward"",""ek Usi Comprehensive Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Efon Local Government Area"","""",""ek Efon Ward 9"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Emure Local Government Area"","""",""ek Odo-Emure Ibeji"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ado Ekiti Local Government Area"",""ek Odo Ward"",""ek Eden Life Specialist Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ise/Orun Local Government Area"",""ek Odose Ward I"",""ek Basic Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Irepodun/Ifelodun Local Government Area"",""ek Iyin Ward B"",""ek Iro Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ekiti West Local Government Area"","""",""ek Erijyan Ward B"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Irepodun/Ifelodun Local Government Area"",""ek Esure Ward"",""ek Esure Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Aiyekire (Gbonyin) Local Government Area"",""ek Agbado Ward 4"",""ek Ipole Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Irepodun/Ifelodun Local Government Area"",""ek Igede Ward C"",""ek Ilamoye Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Moba Local Government Area"",""ek Igogo Ward II"",""ek Ikosun Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ado Ekiti Local Government Area"",""ek Opopogboro Ward"",""ek Adesoye Memorial Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Emure Local Government Area"","""",""ek Odo-Emure Ward 2"",""50.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Moba Local Government Area"",""ek Otun Ward I"",""ek Otun General Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Aiyekire (Gbonyin) Local Government Area"","""",""ek Aisegba Ward 9"",""33.3"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ado Ekiti Local Government Area"",""ek Opopogboro Ward"",""EK	FASANMADE HOSPTAL"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"","""","""",""ek Ido-Osi Local Government Area"",""92.6"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ikere Local Government Area"",""ek Afao/Kajola Ward"",""ek Afao Comprehensive Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ado Ekiti Local Government Area"",""ek Opopogboro Ward"",""ek Afolabi Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Emure Local Government Area"",""ek Eporo "",""ek Eporo Maternity Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ekiti East Local Government Area"",""ek Iworo Ward 7"",""ek Iworo Basic Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ilejemeje Local Government Area"","""",""ek Ijesamodu Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ijero Local Government Area"",""ek Iloro Ward A"",""ek Iloro Basic Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Efon Local Government Area"","""",""ek Efon Ward 4"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ekiti South West Local Government Area"","""",""ek Iro/Okeloye/Okepa Ward"",""75.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ido-Osi Local Government Area"",""ek Ido Ward 2"",""ek Ido Comprehensive Health Centre (sharpcorner)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ek Ekiti State"",""ek Ijero Local Government Area"",""ek Odo-Owa Ward"",""ek Odo Owa Health Centre"",""100.0"""
