"Data,""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Auyo Local Government Area"","""",""jg Ayan Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Birniwa Local Government Area"",""jg Dangwaleri Ward"",""jg Kubuna Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Miga Local Government Area"",""jg Koya Ward"",""jg Koya Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kiyawa Local Government Area"","""",""jg Shuwari Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Gagarawa Local Government Area"","""",""jg Maikilili Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Taura Local Government Area"","""",""jg Chukuto Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Gwiwa Local Government Area"",""jg Buntusu Ward"",""jg Buntusu Health Post "",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Roni Local Government Area"",""jg Sankau Ward"",""jg Sankau Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Taura Local Government Area"",""jg Gujungu Ward"",""jg Wayu Babba Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Dutse Local Government Area"","""",""Jg Madobi Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kaugama Local Government Area"","""",""jg Je'a Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Hadejia Local Government Area"",""jg Gagulmari Ward"",""jg Kofar Arewa Maternal Clinic (Hadeja)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Ringim Local Government Area"","""",""jg Sintilmawa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Sule-Tankarkar Local Government Area"",""jg Danladi Ward"",""jg Danladi Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Dutse Local Government Area"",""jg Abaya Ward"",""Jg Kyaran Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kazaure Local Government Area"",""jg Unguwar Gabas Ward"",""jg Unguwar Gabas Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Ringim Local Government Area"",""jg Sintilmawa Ward"",""jg Shafar Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Sule-Tankarkar Local Government Area"",""jg Yandamo Ward"",""jg Yandamo Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Yankwashi Local Government Area"",""jg Yankwashi Ward"",""jg Zoto Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Taura Local Government Area"","""",""jg Chakwaikwaiwa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kiyawa Local Government Area"",""jg Fake Ward"",""jg Gidan Adede Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Jahun Local Government Area"",""jg Harbo Tsohuwa Ward"",""Jg Yan Kunama Health Post1"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"","""","""",""jg Hadejia Local Government Area"",""64.3"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Birniwa Local Government Area"","""",""jg Matamu Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kiyawa Local Government Area"",""jg Fake Ward"",""jg Dangoli Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kafin Hausa Local Government Area"",""jg Kwazalewa Ward"",""jg Kununu Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Buji Local Government Area"",""jg Falageri Ward"",""jg Gambasha Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Birniwa Local Government Area"",""jg Dangwaleri Ward"",""jg Munkawo Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Dutse Local Government Area"",""jg Jigawar Tsada Ward"",""jg Police Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Miga Local Government Area"",""jg Garbo Ward"",""jg Takalafiya Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Dutse Local Government Area"",""jg Sakwaya Ward"",""jg Sakwaya Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Sule-Tankarkar Local Government Area"","""",""jg Sule Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kazaure Local Government Area"",""jg Kanti Ward"",""jg Kazaure General Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Yankwashi Local Government Area"","""",""jg Gwarta Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Garki Local Government Area"","""",""jg Sayori Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Babura Local Government Area"",""jg Insharuwa Ward"",""jg Insharuwa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Buji Local Government Area"",""jg Kukuma Ward"",""jg Kukuma Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Dutse Local Government Area"",""Jg Madobi Ward"",""jg Kwadiya Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kazaure Local Government Area"",""jg Sabaru Ward"",""jg Bandutse Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kiyawa Local Government Area"",""jg Kwanda Ward"",""jg Danfusan Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Yankwashi Local Government Area"",""jg Belas Ward"",""jg Dankari Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Ringim Local Government Area"",""jg Kyarama Ward"",""jg Kyarama Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Jahun Local Government Area"",""jg Gangawa Ward"",""jg Kadowawa Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Ringim Local Government Area"",""jg Tofa Ward"",""jg Tofa Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Yankwashi Local Government Area"",""jg Zungumba Ward"",""jg Firji Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Birnin Kudu Local Government Area"",""jg Kiyako Ward"",""jg Babaldu Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Birniwa Local Government Area"",""jg Batu Ward"",""jg Batu Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Babura Local Government Area"",""jg Kanya Ward (Babura)"",""jg Haladawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Babura Local Government Area"",""jg Babura Ward"",""jg Jarmai Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Gumel Local Government Area"",""jg Garin Gambo Ward"",""jg Garin Baki Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Roni Local Government Area"",""jg Tunas Ward"",""jg Unguwar Mani Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kazaure Local Government Area"",""jg Daba Ward"",""jg Farun Daba Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Gumel Local Government Area"",""jg Bekarya Ward"",""jg Bekarya Basic Health Clinic "",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kazaure Local Government Area"","""",""jg Baauzini Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Taura Local Government Area"",""jg Gujungu Ward"",""jg Gujungu Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Guri Local Government Area"","""",""jg Dawa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Jahun Local Government Area"",""jg Harbo Sabuwa Ward"",""jg Taraya Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Buji Local Government Area"","""",""jg Kawaya Ward"",""66.7"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"","""","""",""jg Yankwashi Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Gagarawa Local Government Area"","""",""jg Gagarawa Tasha Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Ringim Local Government Area"",""jg Kafin Babushe Ward"",""jg Beguwa Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Roni Local Government Area"","""",""jg Sankau Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Buji Local Government Area"",""jg Yayarin Tukur Ward"",""jg Kafin Madaki Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"","""","""",""jg Gumel Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Buji Local Government Area"","""",""jg Kukuma Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kazaure Local Government Area"","""",""jg Sabaru Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kafin Hausa Local Government Area"",""jg Jabo Ward"",""jg Waek Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kiri Kasamma Local Government Area"",""jg Kiri Kasamma Ward"",""jg Meleri Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Gagarawa Local Government Area"",""jg Kore Balatu Ward"",""jg Danmadai Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Taura Local Government Area"",""jg Maje Taura Ward"",""jg Tsadawa Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Gumel Local Government Area"",""jg Dantanoma Ward"",""jg Lautai Senior Secondary School Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Maigatari Local Government Area"","""",""jg Maigatari West Fulata Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Birniwa Local Government Area"",""jg Machinamari Ward"",""jg Goruba Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Maigatari Local Government Area"",""jg Maigatari North Ward"",""jg Jobi Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Gumel Local Government Area"","""",""jg Zango Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Gumel Local Government Area"","""",""jg Hammado Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Yankwashi Local Government Area"","""",""jg Ringim Yankwashi Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Hadejia Local Government Area"","""",""jg Atafi Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Roni Local Government Area"",""jg Kwatai Ward"",""jg Bashe Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kafin Hausa Local Government Area"",""jg Gafaya Ward"",""jg Ramfa Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Gumel Local Government Area"",""jg Bekarya Ward"",""jg Kokinamu Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Jahun Local Government Area"","""",""jg Idanduna Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kiri Kasamma Local Government Area"",""jg Baturiya Ward"",""jg Baturiya Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Buji Local Government Area"",""jg Yayarin Tukur Ward"",""jg Yayarin Tukur Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"","""","""",""jg Kafin Hausa Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"","""","""","""",""jg Jigawa State"",""92.8"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"","""","""",""jg Garki Local Government Area"",""95.5"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Malam Madori Local Government Area"",""jg Tagwaro Ward"",""jg Tagwaro Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Dutse Local Government Area"",""jg Dundubus Ward"",""jg Kacha Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kazaure Local Government Area"","""",""jg Maradawa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Dutse Local Government Area"",""jg Kudai Ward"",""jg Laraba Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kafin Hausa Local Government Area"","""",""jg Kafin Hausa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kiri Kasamma Local Government Area"","""",""jg Saleri Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kafin Hausa Local Government Area"",""jg Sarawa Ward"",""jg Sarawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Gwaram Local Government Area"","""",""jg Sara Ward"",""75.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Birniwa Local Government Area"",""jg Batu Ward"",""jg Kuka-Inkiwa Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Dutse Local Government Area"",""jg Duru Ward"",""jg Yargaba Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Sule-Tankarkar Local Government Area"",""jg Dangwanki Ward"",""jg Danmakama Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Jahun Local Government Area"","""",""jg Aujara Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Dutse Local Government Area"",""jg Karnaya Ward"",""jg Kwarin Makera Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Miga Local Government Area"",""jg Sansani Ward"",""jg Muduga Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Dutse Local Government Area"","""",""jg Kachi Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Birnin Kudu Local Government Area"",""jg Wurno Ward"",""jg Samamiya Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Birnin Kudu Local Government Area"","""",""jg Birnin Kudu Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Guri Local Government Area"",""jg Garbagal Ward"",""jg Garbagal Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Buji Local Government Area"",""jg Yayarin Tukur Ward"",""jg Yalwa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Birniwa Local Government Area"","""",""jg Machinamari Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Maigatari Local Government Area"",""jg Turbus Ward"",""jg Kamainketa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kiri Kasamma Local Government Area"",""jg Turabu Ward"",""jg Turabu Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kiri Kasamma Local Government Area"","""",""jg Kiri Kasamma Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Maigatari Local Government Area"",""jg Jajeri Ward"",""jg Jajeri Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Birniwa Local Government Area"",""jg Karanga Ward"",""jg Karanga Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Taura Local Government Area"","""",""jg Maje Taura Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Babura Local Government Area"",""jg Jigawar Babura Ward"",""jg Jigawa Babura Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Gwaram Local Government Area"",""jg Kondiko Ward"",""jg Jaryanta Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kafin Hausa Local Government Area"",""jg Mezan Ward"",""jg Mezan Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Maigatari Local Government Area"",""jg Turbus Ward"",""jg Kuka-Yasku Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Guri Local Government Area"",""jg Garbagal Ward"",""jg Garmakuwan Yamma Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Gwaram Local Government Area"",""jg Basirka Ward"",""jg Digijin Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Dutse Local Government Area"",""jg Kachi Ward"",""jg Kachi Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kaugama Local Government Area"",""jg Dabuwaran Ward"",""jg Garin Bagudu Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Birniwa Local Government Area"","""",""jg Batu Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Malam Madori Local Government Area"","""",""jg Tashena Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Gwaram Local Government Area"",""jg Kondiko Ward"",""jg Kijin Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Gwaram Local Government Area"","""",""jg Gwaram Ward"",""60.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Malam Madori Local Government Area"","""",""jg Dunari Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Taura Local Government Area"",""jg Chukuto Ward"",""jg Kwajali Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Kiyawa Local Government Area"",""jg Maje Ward"",""jg Maje Kiyawa Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Ringim Local Government Area"",""jg Sankara Ward"",""jg Fachawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Roni Local Government Area"","""",""jg Yanzaki Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Dutse Local Government Area"",""jg Jigawar Tsada Ward"",""jg Takur H EST Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""jg Jigawa State"",""jg Garki Local Government Area"","""",""jg Buduru Ward"",""100.0"""
