"Data,""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Asa Local Government Area"",""kw Efue / Berikodi Ward"",""kw Efue Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Pategi Local Government Area"",""kw Kpada 3 Ward"",""kw Tankpafu Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Kaiama Local Government Area"",""kw Adena Ward"",""kw Kossa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Edu Local Government Area"",""kw Shonga 2 Ward"",""kw Gboro Primary Health Care Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Oyun Local Government Area"","""",""kw Erin Ile North Ward"",""50.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Irepodun Local Government Area"","""",""kw Ihaye Ward"",""83.3"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Ilorin West Local Government Area"",""kw Adewole Ward"",""kw Istijaba Clinic and Maternity, Gereu"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Ilorin West Local Government Area"","""",""kw Ajikobi Ward"",""80.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Ilorin West Local Government Area"","""",""kw Oko Erin Ward"",""54.5"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Ilorin West Local Government Area"",""kw Adewole Ward"",""kw Idigba Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Asa Local Government Area"",""kw Otte / Balla Ward"",""kw Balla Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Asa Local Government Area"",""kw Afon Ward"",""kw Igboroko  Cottage Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Offa Local Government Area"",""kw Igbo-Idun Ward"",""kw Eleshinfunfun Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Ifelodun Local Government Area"",""kw Igbaja Ward 3"",""kw Alasoro Basic Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Ilorin West Local Government Area"",""kw Ajikobi Ward"",""kw Omoda  Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""kw Kwara State"",""kw Ilorin South Local Government Area"",""kw Akanbi 3 Ward"",""Kw Yusjib Hospital"",""100.0"""
