"Data,""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Lavun Local Government Area"",""ni Egbako Ward"",""ni Tsoegi Basic Health Community"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Rafi Local Government Area"",""ni Kusherki North"",""ni Gidigori Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Shiroro Local Government Area"",""ni Pinna/Kolu Ward"",""ni Pina Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Magama Local Government Area"","""",""ni Auna Central Ward"",""80.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Agaie Local Government Area"","""",""ni Tagagi Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Edati Local Government Area"",""ni Etsu-Tasha Ward"",""ni Mapa Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Rafi Local Government Area"",""ni Cikin Gari Ward"",""ni T/Wada Godiya Maternity Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Katcha Local Government Area"",""ni Essa ward"",""ni Cheche Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Gurara Local Government Area"","""",""ni Izom Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Wushishi Local Government Area"",""ni Gwarjiko Ward"",""ni Dabogi Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Kontagora Local Government Area"","""",""ni Yamma Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Katcha Local Government Area"",""ni Bakeko ward"",""ni Lafiagi Dzwafu Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Rijau Local Government Area"","""",""ni Dugge ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Suleja Local Government Area"",""ni Iku II Ward"",""ni Iku II ""B"" Division Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Rijau Local Government Area"","""",""ni Dukku ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Paikoro Local Government Area"",""ni Tutungu Jedina Ward"",""ni Karmoshaka Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Katcha Local Government Area"",""ni Bisanti ward"",""ni Maji-Dadi Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Katcha Local Government Area"",""ni Bisanti ward"",""ni Eregi Rabakpan Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Chanchaga Local Government Area"",""ni Minna South Ward"",""ni Kpakungu Primary Health Care"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Muya Local Government Area"",""ni Kuchi Ward"",""ni Angwan Tunga Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Mokwa Local Government Area"",""ni Gbara ward"",""ni Kpata-Katcha Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Wushishi Local Government Area"",""ni Akare Ward"",""ni Pakara Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Kontagora Local Government Area"",""ni Gabas Ward"",""ni Kontagora Maternal and Child Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Wushishi Local Government Area"",""ni Gwarjiko Ward"",""ni Ekangi Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Lavun Local Government Area"","""",""ni Dabban Ward"",""75.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Katcha Local Government Area"","""",""ni Kateregi Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Paikoro Local Government Area"",""ni Kwakuti Ward"",""ni Farin-Doki Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Mashegu Local Government Area"",""ni Manigi Ward"",""ni Manigi Basic Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Bosso Local Government Area"",""ni Garatu Ward"",""ni Bahanya Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Bida Local Government Area"","""",""ni Umaru Majigi B Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Lapai Local Government Area"","""",""ni Gupa/Abugi Ward"",""83.3"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Bida Local Government Area"",""ni Bariki Ward"",""ni Sokokunke Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Bida Local Government Area"",""ni Masaga B Ward"",""ni Liman Dikko Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Lapai Local Government Area"",""ni Arewa/Yamma Ward"",""ni Lapai Comprehensive Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Edati Local Government Area"",""ni Enagi Ward"",""ni Enagi Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Bida Local Government Area"",""ni Wadata Ward"",""ni Emir's Palace Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Gurara Local Government Area"",""ni Izom Ward"",""ni Abuchi Gwari Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Paikoro Local Government Area"","""",""ni Paiko Ward"",""80.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Mashegu Local Government Area"","""",""ni Kwatachi Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Gbako Local Government Area"",""ni Batako Ward"",""ni Mantafien Basic Health Clinic "",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Rijau Local Government Area"",""ni Jama'are ward"",""ni Korso Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Suleja Local Government Area"",""ni Maje Ward"",""ni Kuchiko health centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Mokwa Local Government Area"",""ni Labozhi ward"",""ni Batagi Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Lavun Local Government Area"",""ni Mambe Ward"",""ni Egagi Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ni Niger State"",""ni Lapai Local Government Area"",""ni Gabas/Kudu Ward"",""ni Lapai Town Dispensary"",""100.0"""
