"Data,""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Yewa South Local Government Area"",""og Idogo  Ward"",""og Idogo Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Abeokuta South Local Government Area"","""",""og Keesi/Emere Ward 4"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ikenne Local Government Area"",""og Ilisan Ward 2"",""og Ilisan ii Health Clinic "",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ado Odo/Ota Local Government Area"","""",""og Atan Ward (Ado)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Odogbolu Local Government Area"","""",""og Odogbolu 1 Ward"",""50.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ijebu North Local Government Area"",""og Osun Ward"",""og Aparaki Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ijebu ode Local Government Area"",""og Iwade/Oke Ijasi Ward"",""og Iwade Oke Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Odogbolu Local Government Area"",""la Moraika/Ita-Epo Ward"",""og Holy Trinity Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ijebu ode Local Government Area"",""og Isoku/Ishado/Ikanigbo Ward"",""og Isado/Isoku/Ikanigbo Health Clinic "",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ifo Local Government Area"","""",""og Oke-Aro/Ibaragun Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ijebu North Local Government Area"","""",""og Osun Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ifo Local Government Area"",""og Agosi Ward"",""og Royal Hospital "",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ijebu ode Local Government Area"","""",""og Itamapako Ward"",""66.7"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ogun Waterside Local Government Area"",""la Ilushin/Lukogbe Ward"",""og Agbure Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ado Odo/Ota Local Government Area"","""",""og Ado-Odo Ward 1"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ado Odo/Ota Local Government Area"","""",""og Ilogbo Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ogun Waterside Local Government Area"",""og Ayila/Itebu Ward"",""og Okebi Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Obafemi-Owode Local Government Area"",""og Mokoloki Ward"",""og Ajegbile Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ijebu North East Local Government Area"",""og Igede Ward"",""og Igede Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ado Odo/Ota Local Government Area"","""",""og Ejila Awori Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ipokia Local Government Area"",""og Agosasa Ward"",""og Agosasa Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Abeokuta North Local Government Area"",""og Ikereku i Ward 15"",""og Isaga Orile General Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Abeokuta North Local Government Area"",""og Ikereku ii Ward 16"",""og Ile-Ise Awo Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Odeda Local Government Area"",""og Alabata ward"",""og Alabata Heath Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"","""","""",""og Obafemi-Owode Local Government Area"",""74.4"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ifo Local Government Area"",""og Oke-Aro/Ibaragun Ward"",""og Delat Fair Clinic and Maternity"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ijebu North Local Government Area"",""og Omen Ward"",""og Apoje Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Abeokuta North Local Government Area"",""og Sabo ii Ward 9"",""og Sabo Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"","""","""",""og Imeko Afon Local Government Area"",""84.2"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Remo North Local Government Area"",""og Isara Ward 1"",""og Anu Olu Poly Clinic "",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Obafemi-Owode Local Government Area"",""og Kajola Ward"",""og Kajola Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""og Ogun State"",""og Ijebu ode Local Government Area"",""og Porogun Ward 2"",""og Detomic Hospital"",""100.0"""
