"Data,""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""on Ondo State"",""on Ilaje Local Government Area"","""",""on Mahin 2 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""on Ondo State"",""on Akure South Local Government Area"","""",""on Irowo Ward"",""75.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""on Ondo State"",""on Ese Odo Local Government Area"","""",""on Arogbo 3 Ward"",""66.7"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""on Ondo State"",""on Akure South Local Government Area"",""on Akure Private Ward"",""on Oludare Hospital,"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""on Ondo State"",""on Odigbo Local Government Area"",""on Orisumbare Ward"",""on St. Francis Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""on Ondo State"",""on Akure South Local Government Area"",""on Akure Private Ward"",""on Olutunde Medical Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""on Ondo State"",""on Ile-Oluji-Okeigbo Local Government Area"",""on Oke-Igbo 4 Ward"",""on Igbo Olodunmare Basic Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""on Ondo State"",""on Akoko South West Local Government Area"","""",""on Oba 1 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""on Ondo State"",""on Ifedore Local Government Area"",""on Isarun/Erigi Ward"",""on Onijaka Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""on Ondo State"",""on Ondo East Local Government Area"",""on Kolawole Ward"",""on Kolawole Health Centre,"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""on Ondo State"",""on Ondo East Local Government Area"",""on Fagbo Ward"",""os Osun Basic Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""on Ondo State"",""on Akoko North East Local Government Area"",""on Isowopo 2 Ward"",""on Akunu Primary Health Care Centre"",""100.0"""
