"Data,""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Ibadan South West LGA"",""oy Oke Ado/Liberty Ward"",""oy Ibadan Central Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Ogbomosho North LGA"",""oy Isale Afon Ward"",""oy Providence Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Akinyele LGA"",""oy Olanla Ward"",""oy Pade Maternity Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Ibadan North LGA"",""oy Basorun Ward "",""oy Basorun Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Ibadan South East LGA"",""oy Oja Oba Ward"",""oy Temilade Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Ido LGA"",""oy Apete/Ologuneru  Ward"",""oy Alwajud Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Ogbomosho North LGA"",""oy Saabo/Taara Ward"",""oy Eri Oluwa Maternity and Child Welfare Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Surulere LGA"","""",""oy Gambari/Igbon Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Orelope LGA"",""oy Ago-Igi-Isubu Ward"",""oy Oloko Primary  Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Olorunsogo LGA"","""",""oy Agbele Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Egbeda LGA"",""oy Olodo Ward"",""oy Kute Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Akinyele LGA"",""oy Ijaye Ward"",""oy Ijaye Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Ogbomosho North LGA"",""oy Masifa Ward 2"",""oy Olayonu Medical Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Ibadan North East LGA"",""oy Agugu ward"",""oy Ayekale Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Irepo LGA"",""oy  Ajaguna Ward"",""oy Obada Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Ogo Oluwa LGA"",""oy Iwo Ate Ward"",""oy Iwo-Ate Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Oyo East LGA"",""oy Ajagba Ward 2"",""oy Ajagba Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Saki West LGA"","""",""oy Ogidigbo Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Kajola LGA"","""",""oy Isia Ward 9"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Oyo East LGA"",""oy Araromi Ward "",""oy Oba Adeyemi Tuberculusis Leprosy"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Ogbomosho North LGA"","""",""oy Osupa Ward 4"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Egbeda LGA"",""oy Olubadan Ward"",""oy Ezaddia Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Ona Ara LGA"",""oy Oremeji Ward"",""oy Sarat Adesina Primary Health Center"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Egbeda LGA"",""oy Alakia Ward"",""oy Olunife  Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Afijio LGA"",""oy Ilora II Ward"",""oy Ilora General Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Lagelu LGA"",""oy Olorunda Ward 1"",""oy Beulah Medical Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""oy Oyo State"",""oy Lagelu LGA"",""oy Lalupon 1 Ward"",""oy Lalupon Primary Health Centre"",""100.0"""
