"Data,""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Mikang Local Government Area"",""pl Luham Ward"",""pl Gang Primary Health Care Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Langtang South Local Government Area"",""pl Gamaki Ward"",""pl Gamakai Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Jos East Local Government Area"","""",""pl Maigemu Ward"",""50.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Riyom Local Government Area"",""pl Kwi Ward"",""pl Kwi-Riyom Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Riyom Local Government Area"",""pl Tse Ward"",""pl Wan Memorial Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Barkin Ladi Local Government Area"","""",""pl Ta-kwok Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Jos East Local Government Area"",""pl Fursum East Ward"",""pl Niji Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Jos North Local Government Area"","""",""pl Targwong - Rigiza Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Pankshin Local Government Area"",""pl Fier Ward"",""pl Mile 8 Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Kanam Local Government Area"","""",""pl Gidgid Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Langtang North Local Government Area"","""",""pl Keller Ward"",""85.7"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Qua'an Pan Local Government Area"","""",""pl Lankaku-Kwari Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Qua'an Pan Local Government Area"",""pl Yillar/Tim Ward"",""pl Kopfogoom Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Kanam Local Government Area"",""pl Namanar Ward"",""pl Kafel Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Kanam Local Government Area"",""pl Kunkyam North Ward"",""pl Kunkyam Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Wase Local Government Area"",""pl Lamba Ward"",""pl Danyam Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Riyom Local Government Area"",""pl Jol Ward"",""pl Janda Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Shendam Local Government Area"",""pl Kalong Ward"",""pl Kalong Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Shendam Local Government Area"","""",""pl Shedam A Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Langtang North Local Government Area"",""pl Reak Ward"",""pl Chirwak Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Langtang North Local Government Area"",""pl Warok Ward"",""pl Warok Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Mikang Local Government Area"",""pl Luham Ward"",""pl Luham Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Jos South Local Government Area"",""pl Gyel Ward A"",""pl Jos S Specialist Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Kanke Local Government Area"",""pl Garram Ward"",""pl Nyayit Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Shendam Local Government Area"",""pl Moekat Ward"",""pl Npoll Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Jos North Local Government Area"","""",""pl Naraguta Ward A"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Langtang North Local Government Area"",""pl Kuffen Ward A"",""pl Kuffeng A School Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Pankshin Local Government Area"",""pl Kagu Ward"",""pl Guntong Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Jos North Local Government Area"",""pl Kabong Ward"",""pl Godiya Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Qua'an Pan Local Government Area"",""pl Kwoor Ward"",""pl Kwoor Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Mangu Local Government Area"",""pl Mangun Ward"",""pl Patjwar Sekyen Clinic Mangun"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""pl Plateau State"",""pl Wase Local Government Area"",""pl Mavo Ward"",""pl Kanwa Primary Health Centre"",""100.0"""
