"Data,""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Kware Local Government Area"",""so Tunga/Mallamawa Ward"",""so Mallamar Yari Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"","""","""",""so Gudu Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Rabah Local Government Area"",""so Rabah Ward"",""so Kogogo Disp"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Sokoto South Local Government Area"",""so Sarkin Adar A Ward"",""so Aliyu Jodi Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Tangaza Local Government Area"",""so Mogonho Ward"",""so Takkau Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Gwadabawa Local Government Area"",""so Gwadabawa Ward"",""so Ranganda Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Binji Local Government Area"",""so Maikulki Ward"",""so Maikulki Upgraded Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Dange-Shuni Local Government Area"",""so Tuntube Tsefe Ward"",""so Dambuwa Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Isa Local Government Area"",""so Tidibali Ward"",""so TIdibali Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Tureta Local Government Area"",""so Kuruwa Ward"",""so Kuruwa Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Sabon Birni Local Government Area"",""so Tsamaye Ward"",""so Tsamaye Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Gwadabawa Local Government Area"",""so Chimmola Ward"",""so T/Tudu Kwankwanbilo Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Kware Local Government Area"","""",""so More Gidan Rugga Ward"",""50.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Kware Local Government Area"",""so H/Ali Marbawa Ward"",""so Marabawa Upgraded Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Shagari Local Government Area"",""so Dandin Mahe Ward"",""so Ruggar Mallam Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Wamako Local Government Area"","""",""so Gumbi Wajake Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Dange-Shuni Local Government Area"","""",""so Shuni Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Kware Local Government Area"",""so Sabon Birni G/Karma Ward"",""so Doba Comm Disp"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Shagari Local Government Area"",""so Gangan Ward"",""so Tungarbarki Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Bodinga Local Government Area"",""so Tulluwa/Kulafasa Ward"",""so Kaurar Tsara Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Wurno Local Government Area"",""so Alkammu Ward"",""so Kwassre Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Yabo Local Government Area"","""",""so Yabo A Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Tangaza Local Government Area"",""so Salewa Ward"",""so Bauni Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Dange-Shuni Local Government Area"",""so Rudu Amanawa Ward"",""so GGISS Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Isa Local Government Area"","""",""so Gebe A Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Binji Local Government Area"","""",""so Maikulki Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Tangaza Local Government Area"","""",""so Sutti Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""so Sokoto State"",""so Kware Local Government Area"",""so Kware Ward"",""so Kware Primary Health Centre"",""100.0"""
