"Data,""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ta Taraba State"",""ta Gassol Local Government Area"","""",""ta Shira Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ta Taraba State"",""ta Sardauna Local Government Area"",""ta Mayo Ndaga Ward"",""ta Kan Iyaka Health Facility"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ta Taraba State"",""ta Karim-Lamido Local Government Area"",""ta Bikwin Ward"",""ta Loh Bamley Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ta Taraba State"",""ta Kurmi Local Government Area"",""ta Abong Ward    "",""ta yaboro Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ta Taraba State"",""ta Sardauna Local Government Area"",""ta Magu Ward"",""ta Kusuku Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ta Taraba State"",""ta Takum Local Government Area"",""ta Shibon Ward"",""ta Leji Obon Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ta Taraba State"","""","""",""ta Bali Local Government Area"",""56.1"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ta Taraba State"",""ta Ardo-Kola Local Government Area"",""ta Jauro Yinu Ward"",""ta Nathy Zion Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ta Taraba State"",""ta Donga Local Government Area"",""ta Gayama Ward"",""ta Tudun-Wada Health Facility"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ta Taraba State"",""ta Ardo-Kola Local Government Area"","""",""ta Zango Kombi Ward"",""80.0"""
