"Data,""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Anka Local Government Area"",""za Matseri Ward"",""za Girkau Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Maradun Local Government Area"",""za Gora Namaye Ward"",""za Maijatau Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Tsafe Local Government Area"","""",""za Keta Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Bakura Local Government Area"","""",""za Danmanau Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Bungudu Local Government Area"",""za Bungudu Ward"",""za UDSS Bungudu Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Anka Local Government Area"",""za Bagega Ward"",""za Bagega Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Gummi Local Government Area"",""za Falale Ward"",""za Falale Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Gusau Local Government Area"",""za Tudun Wada Ward"",""za Dr. Karima Women and Child Welfare Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Bungudu Local Government Area"",""za Bingi North Ward"",""za Bingi Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Maru Local Government Area"",""za Kanoma Ward"",""za Birni Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Bungudu Local Government Area"",""za Gada Karakai Ward"",""za Danmagori Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Maru Local Government Area"","""",""za Kuyanbana Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Talata Mafara Local Government Area"",""za Kayaye Ward"",""za Matusgi Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Kaura Namoda Local Government Area"",""za Sarkin Mafara/Sarkin Barya Ward"",""za Kaura Namoda General Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Maru Local Government Area"",""za Ruwan Doruwa Ward"",""za Arafa Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Bungudu Local Government Area"",""za Nahuche Ward"",""za Nahuche Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Birnin Magaji Local Government Area"",""za Gora Ward"",""za Shagerawa Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Kaura Namoda Local Government Area"",""za Kagara Ward (Kaura Namoda)"",""za Falau Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Bungudu Local Government Area"",""za Gada Karakai Ward"",""za Gada Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Zurmi Local Government Area"","""",""za Dauran Birnin Tsaba Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Gummi Local Government Area"",""za Gyalange Ward"",""za Dangwai Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Gusau Local Government Area"",""za Magami Ward"",""za Ruwan Dawa Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Gusau Local Government Area"",""za Ruwan Bore Ward"",""za Kundumou Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Shinkafi Local Government Area"","""",""za Shanawa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Zurmi Local Government Area"",""za Yanbuki Dutsi Ward"",""za Maduba Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Anka Local Government Area"",""za Wuya Ward"",""za Jarkuka Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Zurmi Local Government Area"",""za Zurmi Ward"",""za Zurmi Ophn And Lessprevilledge Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Gusau Local Government Area"",""za Madawaki Ward"",""za Gada Biyu Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"","""","""","""",""za Zamfara State"",""95.7"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Tsafe Local Government Area"",""za Danjibga Ward"",""za Kizara Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Tsafe Local Government Area"",""za Tsafe Central Ward"",""za Kauyen Kane Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Maradun Local Government Area"",""za Tsibiri Ward"",""za Tsibiri Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Anka Local Government Area"",""za Magaji Ward"",""za Abare Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Bungudu Local Government Area"",""za Kotorkoshi Ward"",""za Kotorkoshi Orphan andLess Prevelege Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Kaura Namoda Local Government Area"",""za Kungurki Ward"",""za Kungurki Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Talata Mafara Local Government Area"",""za Galadima Ward (Talata Mafara)"",""za Government Girls College Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Shinkafi Local Government Area"","""",""za Kware Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Birnin Magaji Local Government Area"",""za Birnin Magaji Ward (Birnin Magaji)"",""za Birnin Magaji Women and Children Welfare Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Bungudu Local Government Area"",""za Samawa Ward"",""za Samawa Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Maru Local Government Area"",""za Dansadau Ward"",""za Saulawa Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Talata Mafara Local Government Area"",""za Morai Ward"",""za Garaki Yahaya Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Tsafe Local Government Area"",""za Bilbis Ward"",""za Kucheri Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Gummi Local Government Area"",""za Uban Dawaki Ward"",""za Dan Fako Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Tsafe Local Government Area"",""za Bilbis Ward"",""za Bilbis Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""za Zamfara State"",""za Talata Mafara Local Government Area"",""za Morai Ward"",""za Sakarawa Dispensary"",""100.0"""
