"Data,""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Omumma Local Government Area"","""",""ri Omumma Ward 10"",""66.7"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Gokana Local Government Area"",""ri Gokana Ward 9"",""ri Kpor Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Andoni Local Government Area"","""",""ri Andoni Ward 5"",""75.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Ogba/Egbema/Ndoni Local Government Area"",""ri Ogba/Egbema/Ndoni Ward 1"",""ri Gbeye Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Gokana Local Government Area"","""",""ri Gokana Ward 16"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Ogba/Egbema/Ndoni Local Government Area"","""",""ri Ogba/Egbema/Ndoni Ward 8"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Port-Harcourt Local Government Area"",""ri Port-Harcourt Unknown Ward"",""ri Lord of Mercy Hospital (Annex)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Tai Local Government Area"","""",""ri Tai Ward 9"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Port-Harcourt Local Government Area"",""ri Port-Harcourt Unknown Ward"",""ri Tristar Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Abua/Odual Local Government Area"",""ri Abua/Odual Ward 12  "",""ri Amuruto Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Etche Local Government Area"","""",""ri Etche Ward 2"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Etche Local Government Area"",""ri Etche Ward 16"",""ri Umuoye Health Centre "",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Etche Local Government Area"",""ri Etche Ward 14"",""ri Umohie Health Centre "",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Etche Local Government Area"",""ri Etche Ward 2"",""ri Ihie Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Port-Harcourt Local Government Area"",""ri Port-Harcourt Unknown Ward"",""ri HMS Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Bonny Local Government Area"",""ri Bonny Ward 2"",""ri Bonny  Comprehesive Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Okrika Local Government Area"","""",""ri Okrika Ward 2"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Ahoada West Local Government Area"",""ri Ahoada West  Ward 4"",""ri Ogbogolo Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Degema Local Government Area"","""",""ri Degema Ward 17"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Andoni Local Government Area"",""ri Andoni Ward 4"",""ri Ebukuma Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"","""","""",""ri Emuoha Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Andoni Local Government Area"",""ri Andoni Ward 8"",""ri Ibotirem Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Ahoada East Local Government Area"",""ri Ahoada East Ward 12"",""ri Ihugbogo Model Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Port-Harcourt Local Government Area"",""ri Port-Harcourt Unknown Ward"",""ri Silver Valley Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Khana Local Government Area"",""ri Khana  Ward 10"",""ri Bane Model Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Abua/Odual Local Government Area"","""",""ri Abua/Odual Ward 7   "",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Opobo/Nkoro Local Government Area"",""ri Opobo/Nkoro ward 7"",""ri Opobo Comprehensive Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Port-Harcourt Local Government Area"",""ri Port-Harcourt Unknown Ward"",""ri Shalom Medical Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Okrika Local Government Area"",""ri Okrika Ward 8"",""ri George-Ama Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Bonny Local Government Area"",""ri Bonny Ward 7"",""ri Dema -Abbey Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Ahoada East Local Government Area"","""",""ri Ahoada East Ward 9"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Andoni Local Government Area"",""ri Andoni Ward 10"",""ri Ataba Comprehensive Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Etche Local Government Area"","""",""ri Etche Ward 11"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Abua/Odual Local Government Area"",""ri Abua/Odual Ward 8   "",""ri Emoh Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Ahoada West Local Government Area"",""ri Ahoada West  Ward 4"",""ri Udoda Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Etche Local Government Area"","""",""ri Etche Ward 12"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Port-Harcourt Local Government Area"",""ri Port-Harcourt Unknown Ward"",""ri Tonema Medical Services Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Port-Harcourt Local Government Area"",""ri Port-Harcourt Unknown Ward"",""ri Yae Primary Health Centre "",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Eleme Local Government Area"",""ri Eleme Ward 9"",""ri EPCL Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Eleme Local Government Area"",""ri Eleme Ward 1"",""ri Alesa Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Port-Harcourt Local Government Area"","""",""ri Port-Hartcourt Ward 6"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Eleme Local Government Area"",""ri Eleme Ward 3"",""ri Ogale Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Port-Harcourt Local Government Area"",""ri Port-Harcourt Unknown Ward"",""ri Rohoboth Specialist Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Ahoada East Local Government Area"",""ri Ahoada East Ward 12"",""ri Okporomini Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Opobo/Nkoro Local Government Area"","""",""ri Opobo Nkoro ward 9"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Port-Harcourt Local Government Area"",""ri Port-Harcourt Unknown Ward"",""ri Sondel Clinic and Maternity"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Khana Local Government Area"",""ri Khana  Ward 17"",""ri Betem Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Andoni Local Government Area"",""ri Andoni Ward 2"",""ri Egwede Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Etche Local Government Area"","""",""ri Etche Ward 15"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Eleme Local Government Area"","""",""ri Eleme Ward 6"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Ogu/Bolo Local Government Area"","""",""ri Ogu/Bolo Ward 11"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"","""","""",""ri Port-Harcourt Local Government Area"",""97.4"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Asari-Toru Local Government Area"","""",""ri Asari-Toru Ward 3"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ri Rivers State"",""ri Ahoada West Local Government Area"","""",""ri Ahoada West  Ward 5"",""100.0"""
