AMAPCODE;AMPA State;AMAP LGA;State;LGA;LGA from Facilities
NIE;ABS;EZA;Abia;Aba North;Aba North
NIE;ABS;ABA;Abia;Aba South;Aba South
NIE;ABS;ACH;Abia;Arochukwu;Arochukwu
NIE;ABS;BND;Abia;Bende;Bende
NIE;ABS;KWU;Abia;Ikwuano;Ikwuano
NIE;ABS;KPU;Abia;Isiala-Ngwa North;Isiala-Ngwa North
NIE;ABS;MBA;Abia;Isiala-Ngwa South;Isiala-Ngwa South
NIE;ABS;MBL;Abia;Isuikwuato;Isuikwuato
NIE;ABS;NGK;Abia;Obi Nwga;Obi Nwga
NIE;ABS;HAF;Abia;Ohafia;Ohafia
NIE;ABS;SSM;Abia;Osisioma Ngwa;Osisioma Ngwa
NIE;ABS;GWB;Abia;Ugwunagbo;Ugwunagbo
NIE;ABS;KEK;Abia;Ukwa East;Ukwa East
NIE;ABS;KKE;Abia;Ukwa West;Ukwa West
NIE;ABS;UMA;Abia;Umuahia North;Umuahia North
NIE;ABS;APR;Abia;Umuahia South;Umuahia South
NIE;ABS;UNC;Abia;Umu-Nneochi;Umu-Nneochi
NIE;ADS;DSA;Adamawa;Demsa;Demsa
NIE;ADS;FUR;Adamawa;Fufore;Fufore
NIE;ADS;GAN;Adamawa;Ganye;Ganye
NIE;ADS;GRE;Adamawa;Girie;Girei
NIE;ADS;GMB;Adamawa;Gombi;Gombi
NIE;ADS;GUY;Adamawa;Guyuk;Guyuk
NIE;ADS;HNG;Adamawa;Hong;Hong
NIE;ADS;JAD;Adamawa;Jada;Jada
NIE;ADS;LMR;Adamawa;Larmurde;Lamurde
NIE;ADS;MDG;Adamawa;Madagali;Madagali
NIE;ADS;MAH;Adamawa;Maiha;Maiha
NIE;ADS;MWA;Adamawa;Mayo-Belwa;Mayo-Belwa
NIE;ADS;MCH;Adamawa;Michika;Michika
NIE;ADS;MUB;Adamawa;Mubi North;Mubi North
NIE;ADS;GYL;Adamawa;Mubi South;Mubi South
NIE;ADS;NUM;Adamawa;Numan;Numan
NIE;ADS;SHG;Adamawa;Shelleng;Shelleng
NIE;ADS;SNG;Adamawa;Song;Song
NIE;ADS;TNG;Adamawa;Teungo;Toungo
NIE;ADS;YLN;Adamawa;Yola North;Yola North
NIE;ADS;YLA;Adamawa;Yola South;Yola South
NIE;AKS;ABK;Akwa-Ibom;Abak;Abak
NIE;AKS;KRT;Akwa-Ibom;Eastern Obolo;Eastern Obolo
