LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Aba North;Uratta Ward;;Ourlady Clinic and Maternity;;;;;
Aba North;Uratta Ward;;Ogbosisi Health Post;;;;;
Aba North;Uratta Ward;;Kelechi Hospital;;;;;
Aba North;Umuola Ward;;Seventh Day Adventist Hospital;;;;;
Aba North;Umuola Ward;;Umuola Egbelu Health Centre;;;;;
Aba North;Umuola Ward;;Umuola Okpulor Health Post;;;;;
Aba North;Umuola Ward;;God's Will Clinic;;;;;
Aba North;Umuola Ward;;Pricess Mary Hospital;;;;;
Aba North;Umuola Ward;;Ukwuodara Health Post;;;;;
Aba North;Umuola Ward;;Alpha Inland Hospital;;;;;
Aba North;Umuola Ward;;Kahabiri Hospital;;;;;
Aba North;Umuogor Ward;;Umuogor Health Post;;;;;
Aba North;Umuogor Ward;;Osoke Health Centre;;;;;
Aba North;St Eugene Ward;;Ikechukwu Maternity Home;;;;;
Aba North;St Eugene Ward;;Revival Miracle Maternity Hospital;;;;;
Aba North;St Eugene Ward;;Micro Hospital;;;;;
Aba North;St Eugene Ward;;Eugene Hospital;;;;;
Aba North;Osusu 2 Ward;;Touch Health Hospital;;;;;
Aba North;Osusu 2 Ward;;St Theresa Hospital;;;;;
Aba North;Osusu 2 Ward;;Osusu Clinic;;;;;
Aba North;Osusu 2 Ward;;His Stripes Hospital;;;;;
Aba North;Osusu 1 Ward;;Evergreen Hospital;;;;;
Aba North;Osusu 1 Ward;;Emmanuel Hospital;;;;;
Aba North;Osusu 1 Ward;;Good Samaritaan Hospital;;;;;
Aba North;Osusu 1 Ward;;Olive Hospital;;;;;
Aba North;Osusu 1 Ward;;Osusu 1 Primary Health Centre;;;;;
Aba North;Old GRA Ward;;Tina Maternity;;;;;
Aba North;Old GRA Ward;;El-Asamen Hospital;;;;;
Aba North;Old GRA Ward;;GRA Health Post;;;;;
Aba North;Old GRA Ward;;Rosevine Hospital;;;;;
Aba North;Ogbor 2 Ward;;Stone Hospital;;;;;
Aba North;Ogbor 2 Ward;;Pepples Road Clinic;;;;;
Aba North;Ogbor 2 Ward;;Blessed Heaven Hospital;;;;;
Aba North;Ogbor 2 Ward;;Group Medical Practice;;;;;
Aba North;Ogbor 2 Ward;;Ogbor Hill Clinic;;;;;
Aba North;Ogbor 1 Ward;;Zikora Hospital;;;;;
Aba North;Ogbor 1 Ward;;Isaac Chukwu Hospital;;;;;
Aba North;Ogbor 1 Ward;;Nissi Hospital;;;;;
Aba North;Ogbor 1 Ward;;Living Word Hospital;;;;;
Aba North;Ogbor 1 Ward;;Impact Hospital;;;;;
Aba North;Ogbor 1 Ward;;Ogbor Clinic Eze Egege Palace;;;;;
Aba North;Industrial Ward;;Industrial Health Post;;;;;
Aba North;Eziama Ward;;Eziama Public Health Clinic;;;;;
Aba North;Eziama Ward;;Euna Hospital;;;;;
Aba North;Asa-Okpulor Ward;;Asa-Okpulor II Health Centre;;;;;
Aba North;Asa-Okpulor Ward;;Asaokpulor Health Centre;;;;;
Aba North;Asaokpuaja Ward;;Berma Hospital;;;;;
Aba North;Asaokpuaja Ward;;Asaokpuaja Health Post;;;;;
Aba North;Ariaria Ward;;Green Land Hospital;;;;;
Aba North;Ariaria Ward;;Powerline Health Post;;;;;
Aba North;Ariaria Ward;;Umunneato Health Clinic;;;;;
Aba North;Ariaria Ward;;Chidima Hospital;;;;;
Aba North;Ariaria Ward;;Land Mark Hospital;;;;;
Aba North;Ariaria Ward;;New Lead Hospital;;;;;
Aba North;Ariaria Ward;;Ukwumango Health Post;;;;;
Aba North;Ariaria Ward;;Ivory Hospital;;;;;
