"Data,""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ak Akwa-Ibom State"",""ak Udung Uko Local Government Area"",""ak Udung Uko 1 Ward"",""ak Eyonsek Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ak Akwa-Ibom State"",""ak Itu Local Government Area"","""",""ak Ayadehe 1 ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ak Akwa-Ibom State"",""ak Oruk Anam Local Government Area"",""ak Abak Midim 4 Ward 11"",""ak Ikot Osute Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ak Akwa-Ibom State"",""ak Abak Local Government Area"",""ak Abak Urban 3 Ward"",""ak Abak Cedar & Olive Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ak Akwa-Ibom State"",""ak Mkpat Enin Local Government Area"","""",""ak Ikpa Ibom 3 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ak Akwa-Ibom State"",""ak Ikot Abasi Local Government Area"",""ak Ukpum Ette 2 Ward"",""ak Ikot Akpan Udo Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ak Akwa-Ibom State"",""ak Mkpat Enin Local Government Area"","""",""ak Ikpa Ikono 3 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ak Akwa-Ibom State"",""ak Essien Udim Local Government Area"","""",""ak Ukana East Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ak Akwa-Ibom State"",""ak Oruk Anam Local Government Area"",""ak Abak Midim 1 Ward 8"",""ak Ikot Otok Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ak Akwa-Ibom State"",""ak Ini Local Government Area"",""ak Iwerre Ward 5"",""ak Iwerre Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ak Akwa-Ibom State"",""ak Ikot Abasi Local Government Area"",""ak Ikpa Ibekwe 1 Ward"",""ak Ikot Abasi Redemption Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ak Akwa-Ibom State"",""ak Itu Local Government Area"","""",""ak East Itam 5 ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ak Akwa-Ibom State"",""ak Uyo Local Government Area"",""ak Uyo Urban 2 Ward"",""ak Wellington Bassey Staff Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ak Akwa-Ibom State"",""ak Nsit Ibom Local Government Area"",""ak Mbiaso 5 Ward"",""ak Mbiaso Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""ng Federal Government"",""ak Akwa-Ibom State"",""ak Esit Eket Local Government Area"","""",""ak Uquo 2 Ward"",""100.0"""
