LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Alkaleri;Alkaleri East Ward;;Gorondo Health Clinic;;;;;
Alkaleri;Alkaleri West Ward;;Alkaleri General Hospital;;;;;
Alkaleri;Alkaleri West Ward;;Alkaleri Dispensary;;;;;
Alkaleri;Alkaleri West Ward;;Alkaleri Maternal and Child Health Clinic;;;;;
Alkaleri;Birim/Gigyara Ward;;Gigyara Health Center;;;;;
Alkaleri;Birim/Gigyara Ward;;Bajama Primary Health Centre;;;;;
Alkaleri;Birim/Gigyara Ward;;Yankari Health Clinic;;;;;
Alkaleri;Birim/Gigyara Ward;;Birim Health Clinic;;;;;
Alkaleri;Birim/Gigyara Ward;;Badaran Dutse Dispensary;;;;;
Alkaleri;Dan Ward;;Kunkar Health Post;;;;;
Alkaleri;Dan Ward;;Dan Health Post;;;;;
Alkaleri;Dan Ward;;Yelwan Duguri Model Primary Health Centre;;;;;
Alkaleri;Futuk East Ward;;Futuk Primary Health Center;;;;;
Alkaleri;Futuk West Ward;;Garin Hamza Dispensary;;;;;
Alkaleri;Gar Ward;;Guruntun Dispensary;;;;;
Alkaleri;Gar Ward;;Gar Maternal and Child Health Clinic;;;;;
Alkaleri;Gar Ward;;Gangar Dispensary;;;;;
Alkaleri;Gar Ward;;Bartak Dispensary;;;;;
Alkaleri;Gar Ward;;Fanti Maternal and Child Health;;;;;
Alkaleri;Gwana Ward;;Gwana Maternal and Child Health Clinic;;;;;
Alkaleri;Gwana Ward;;Gobirawa Health Center;;;;;
Alkaleri;Gwaram A Ward ;;Kufa Health Clinic;;;;;
Alkaleri;Gwaram A Ward ;;Gwaram Maternal and Child Health Clinic;;;;;
Alkaleri;Gwaram B Ward;;Kaciciya Dispensary;;;;;
Alkaleri;Gwaram B Ward;;Gokaru Maternal and Child Health Clinic;;;;;
Alkaleri;Gwaram B Ward;;Guma Health Clinic;;;;;
Alkaleri;Kungibar Ward;;Galen Duguri Primary Health Centre;;;;;
Alkaleri;Kungibar Ward;;Shira Matarnity;;;;;
Alkaleri;Kungibar Ward;;Mainamaji Dispensary;;;;;
Alkaleri;Kungibar Ward;;Galen Kuka Health Clinic;;;;;
Alkaleri;Lim Kundak Ward;;Kundak Health Clinic;;;;;
Alkaleri;Lim Kundak Ward;;Gamu Health Post;;;;;
Alkaleri;Lim Kundak Ward;;Kumbala Health Clinic;;;;;
Alkaleri;Lim Kundak Ward;;Mundamiyo Health Clinic;;;;;
Alkaleri;Maimadi Ward;;Jada Health Clinic;;;;;
Alkaleri;Maimadi Ward;;Mai-Ari Martanal and Chirld Health;;;;;
Alkaleri;Maimadi Ward;;Maimadi Health Clinic;;;;;
Alkaleri;Maimadi Ward;;Kwaimawa Health Post;;;;;
Alkaleri;Mansur Ward;;Mansur Health Clinic;;;;;
Alkaleri;Mansur Ward;;Galen Mansur Health Post;;;;;
Alkaleri;Pali East Ward;;Pali Health Centre;;;;;
Alkaleri;Pali East Ward;;Katarko Martanal and Chirld Health;;;;;
Alkaleri;Pali East Ward;;Tumuru Health Post;;;;;
Alkaleri;Pali East Ward;;Garin Na Allah Health Clinic;;;;;
Alkaleri;Pali West Ward;;Doka Health Post;;;;;
Alkaleri;Pali West Ward;;Bakin Kogi Model Primary Health Centre;;;;;
Alkaleri;Yalo 1 Ward;;Yalo Health Center;;;;;
Alkaleri;Yalo 1 Ward;;Baledde Health Post;;;;;
Alkaleri;Yalo 2 Ward;;Digare Dispensary;;;;;
Alkaleri;Yalo 2 Ward;;Alkalerin Digare Health Clinic;;;;;
Alkaleri;Yuli Ward (Alkaleri);;Rimi Health Clinic;;;;;
Alkaleri;Yuli Ward (Alkaleri);;Kunzum Health Post;;;;;
Alkaleri;Yuli Ward (Alkaleri);;Duguri Dispensary;;;;;
Alkaleri;Yuli Ward (Alkaleri);;Duguri Health Clinic;;;;;
Alkaleri;Yuli Ward (Alkaleri);;Gaji MCH;;;;;
Bauchi;Birshi Ward;;Yalwa Domiciliary Maternal and Child Health Clinic;;;;;
Bauchi;Birshi Ward;;Bayara General Hospital;;;;;
Bauchi;Birshi Ward;;Kadage Dispensary (Bauchi);;;;;
Bauchi;Birshi Ward;;Fed Poly Bauchi Health Clinic;;;;;
Bauchi;Birshi Ward;;Baram Gada Health Clinic;;;;;
Bauchi;Birshi Ward;;Yolan Bayara Dispensary;;;;;
Bauchi;Birshi Ward;;IDH Bayara;;;;;
Bauchi;Birshi Ward;;Yalwan Kusu MCH;;;;;
Bauchi;Birshi Ward;;Keffi Clinic;;;;;
Bauchi;Birshi Ward;;Lushi Dispensary;;;;;
Bauchi;Birshi Ward;;Abubakar Tafawa-Balewa University Health Clinic;;;;;
Bauchi;Dan Amar A Ward;;Doya Primary Health Centre;;;;;
Bauchi;Dan Amar A Ward;;Fada Primary Health Care;;;;;
Bauchi;Dan Amar A Ward;;Bayan Fada Maternal and Child Health Clinic;;;;;
Bauchi;Dan Amar B Ward;;Unguwar Mahaukata Health Clinic;;;;;
Bauchi;Dan Amar B Ward;;Tudun Wadan Dan Amar Primary Health Centre;;;;;
Bauchi;Dan Amar B Ward;;Kofar Dumi Primary Health Centre;;;;;
Bauchi;Dan Iya Ward;;Makama New Extension Maternal & Child Health Clinic;;;;;
Bauchi;Dan Iya Ward;;Railway Health Clinic;;;;;
Bauchi;Dan Iya Ward;;POLYCON Clinic;;;;;
Bauchi;Dan Iya Ward;; Reemee Clinic;;;;;
Bauchi;Dan Iya Ward;;NI'IMA Consultant Clinic;;;;;
Bauchi;Dan Iya Ward;;School of Armour Clinic;;;;;
Bauchi;Dan Iya Ward;;Federal Low-cost MCH;;;;;
Bauchi;Dan Iya Ward;;State Low-Cost Primary Heallth Centre;;;;;
Bauchi;Dan Iya Ward;;Bauchi Specialist Hospital;;;;;
Bauchi;Dan Iya Ward;;ATBU Teaching Hospital Bauchi;;;;;
Bauchi;Dan Iya Ward;;Zango Maternal & Child Health Clinic;;;;;
Bauchi;Dan Iya Ward;;33 Army Brigade Clinic;;;;;
Bauchi;Dandango Ward;;Dandango Primary Health Centre;;;;;
Bauchi;Dandango Ward;;Ma'as Dispensary;;;;;
Bauchi;Dandango Ward;;Kir Maternal and Child Health Clinic;;;;;
Bauchi;Dandango Ward;;Gudum Primary Health Center;;;;;
