LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Abi;Adadama Ward;;Adadama Primary Health Centre;;;;;
Abi;Adadama Ward;;Emikwo Health Post;;;;;
Abi;Adadama Ward;;Isong-Inyang Health Post;;;;;
Abi;Adadama Ward;;Imina Primary Health Centre;;;;;
Abi;Afafanyi/Igonigoni Ward;;Abenyi Uzor Health Post;;;;;
Abi;Afafanyi/Igonigoni Ward;;Afafanyi Primary Health Centre;;;;;
Abi;Afafanyi/Igonigoni Ward;;Ezom Ezom Health Post;;;;;
Abi;Ebom/Ebijakara Ward;;Ebom Primary Health Centre;;;;;
Abi;Ebom/Ebijakara Ward;;Fonavai Health Post;;;;;
Abi;Ebom/Ebijakara Ward;;Egbezum Health Post;;;;;
Abi;Ediba/Anong Ward;;Enusokwe Health Post;;;;;
Abi;Ediba/Anong Ward;;Ezono Health Post;;;;;
Abi;Ediba/Anong Ward;;Akpan Health Post;;;;;
Abi;Ediba/Anong Ward;;Ediba Comprehensive Health Centre;;;;;
Abi;Ediba/Anong Ward;;Enugwehuma Health Post;;;;;
Abi;Ediba/Anong Ward;;Anong Health Centre;;;;;
Abi;Ediba/Anong Ward;;Ediba Primary Health Centre (Abi);;;;;
Abi;Ekureku 1 Ward;;Ekureku-Be Health Post;;;;;
Abi;Ekureku 1 Ward;;Anong Letafor Health Post;;;;;
Abi;Ekureku 1 Ward;;Akarefor Health Post;;;;;
Abi;Ekureku 1 Ward;;Akoha Health Post;;;;;
Abi;Ekureku 1 Ward;;Anong Likpor Health Post;;;;;
Abi;Ekureku 1 Ward;;Anong/Ezeke Primary Health Centre;;;;;
Abi;Ekureku 2 Ward;;Egboronyi Health Centre;;;;;
Abi;Ekureku 2 Ward;;Agbarabe Primary Health  Centre;;;;;
Abi;Ekureku 2 Ward;;Emin Ekpon Health Post;;;;;
Abi;Ekureku 2 Ward;;Ngarebe Primary Health Centre;;;;;
Abi;Ekureku 2 Ward;;Itigeve Health Post;;;;;
Abi;Imabana 1 Ward;;Igbo-Imabana Model Primary Health Centre;;;;;
Abi;Imabana 1 Ward;;Igbor Health Post;;;;;
Abi;Imabana 1 Ward;;Egade Health Post;;;;;
Abi;Imabana 1 Ward;;Ilike Health Post;;;;;
Abi;Imabana 2 Ward;;Ebor Health Post;;;;;
Abi;Imabana 2 Ward;;Ikpalegwa Primary Health Centre;;;;;
Abi;Imabana 2 Ward;;Lehangha Health Centre;;;;;
Abi;Itigidi Ward;;Agba Health Post;;;;;
Abi;Itigidi Ward;;Levachie Health Post;;;;;
Abi;Itigidi Ward;;Itigidi Primary Health Centre;;;;;
Abi;Itigidi Ward;;Lekpachiel Health Post;;;;;
Abi;Itigidi Ward;;Eja Memorial Hospital;;;;;
Abi;Usumotog Ward;;Abeugo Health Centre;;;;;
Abi;Usumotog Ward;;Enoekpore Health Post;;;;;
Abi;Usumotog Ward;;Usumutong Primary Health Centre;;;;;
Abi;Usumotog Ward;;Ebokwo Health Post;;;;;
Akamkpa;Akamkpa Urban Ward;;Akamkpa Council Health Post;;;;;
Akamkpa;Akamkpa Urban Ward;;Old Netim Primary Health Centre;;;;;
Akamkpa;Akamkpa Urban Ward;;Staff Housing Health Post ;;;;;
Akamkpa;Akamkpa Urban Ward;;Okomita Health Post;;;;;
Akamkpa;Akamkpa Urban Ward;;Usy Medical Centre;;;;;
Akamkpa;Akamkpa Urban Ward;;Okomo Braya Health Post;;;;;
Akamkpa;Akamkpa Urban Ward;;Wegan Consulting Clinic;;;;;
Akamkpa;Akamkpa Urban Ward;;Aninking Health Post;;;;;
Akamkpa;Akamkpa Urban Ward;;Mma Efa Health Centre;;;;;
Akamkpa;Akamkpa Urban Ward;;Akamkpa General Hospital;;;;;
Akamkpa;Awi Ward;;Ayaebam Health Centre;;;;;
Akamkpa;Awi Ward;;Nsan Primary Health Centre;;;;;
Akamkpa;Awi Ward;;Awi Health Primary Centre;;;;;
Akamkpa;Awi Ward;;Obung Health Centre;;;;;
Akamkpa;Eku Ward;;Okarara Health Post;;;;;
Akamkpa;Eku Ward;;Osomba Primary Health Centre;;;;;
Akamkpa;Iko Ward;;Owai Health Centre;;;;;
Akamkpa;Iko Ward;;Iko Esai Health Centre;;;;;
Akamkpa;Iko Ward;;New Ekuri Health Centre;;;;;
Akamkpa;Iko Ward;;Iko Ekperem Primary Health Centre;;;;;
Akamkpa;Iko Ward;;Old Ekuri Health Centre;;;;;
Akamkpa;Ikpai Ward;;Mfamiyen Health Post;;;;;
Akamkpa;Ikpai Ward;;Ntebachort Health Centre;;;;;
Akamkpa;Ikpai Ward;;Mkpot Health Centre;;;;;
Akamkpa;Ikpai Ward;;Ekang (Akamkpa) Health Centre;;;;;
Akamkpa;Ikpai Ward;;Orem Health Post;;;;;
Akamkpa;Ikpai Ward;;Nyaje Primary Health Centre;;;;;
Akamkpa;Ikpai Ward;;Old Ndebiji Health Post;;;;;
Akamkpa;Ikpai Ward;;Ojuk Health Post;;;;;
Akamkpa;Mbarakom Ward;;Mbarakom Primary Health Centre;;;;;
Akamkpa;Mbarakom Ward;;Nyakachang Health Post;;;;;
Akamkpa;Oban Ward;;Ekong Health Post;;;;;
Akamkpa;Oban Ward;;Ndeghe Health Post;;;;;
Akamkpa;Oban Ward;;Oban Primary Health Centre;;;;;
Akamkpa;Oban Ward;;Camp 4 Health Post;;;;;
Akamkpa;Ojuk North Ward;;Oberakai Health Post;;;;;
Akamkpa;Ojuk North Ward;;Ekong Anaku Health Centre;;;;;
Akamkpa;Ojuk North Ward;;Mbubui Health Post;;;;;
Akamkpa;Ojuk North Ward;;Mfamosing  Primary Health Centre;;;;;
Akamkpa;Ojuk South Ward;;Aningeje Primary Health Centre;;;;;
Akamkpa;Uyanya Ward;;Akwa Ibani Health Centre;;;;;
Akamkpa;Uyanya Ward;;Ojor Health Centre;;;;;
Akamkpa;Uyanya Ward;;Enunghurt Health Centre;;;;;
Akamkpa;Uyanya Ward;;Iwuru Central Health Centre;;;;;
Akamkpa;Uyanya Ward;;Uyanga Primary Health Centre;;;;;
Akamkpa;Uyanya Ward;;Ifumkpa Health Centre;;;;;
Akamkpa;Uyanya Ward;;Uwet Health Post;;;;;
Akpabuyo;Atimbo East Ward;;Esuk Ekpo Eyo Health Post;;;;;
Akpabuyo;Atimbo East Ward;;Ikot Uba Health Post;;;;;
Akpabuyo;Atimbo East Ward;;Ekpene Ikot Umo Health Post;;;;;
Akpabuyo;Atimbo East Ward;;Ikot Edem Ndarake Health Post;;;;;
Akpabuyo;Atimbo East Ward;;Ifondo Health Post;;;;;
Akpabuyo;Atimbo West Ward;;Eto Mkpe Health Post;;;;;
Akpabuyo;Atimbo West Ward;;Ikot Okpo Ene Health Post;;;;;
Akpabuyo;Atimbo West Ward;;Etomkpe Archibong Health Post;;;;;
Akpabuyo;Atimbo West Ward;;Atim Assam Health Centre;;;;;
Akpabuyo;Edem Odo Ward;;Esuk Mba Health Centre;;;;;
Akpabuyo;Edem Odo Ward;;Ekpri Ikot Ene Health Centre;;;;;
Akpabuyo;Edem Odo Ward;;Esuk Mbat Health Post;;;;;
Akpabuyo;Edet Nsa ward;;Ikot Asuqua Health Post;;;;;
Akpabuyo;Edet Nsa ward;;Ikong Health Post;;;;;
Akpabuyo;Edet Nsa ward;;Nkakat Eyamba Health Centre;;;;;
Akpabuyo;Effanga Offiong Ward;;Idim Eso Heallth Post;;;;;
Akpabuyo;Eneyo North War;;Ikot Otu Abasi Health Centre;;;;;
Akpabuyo;Eneyo North War;;Ikot Ekpo PHC;;;;;
Akpabuyo;Eneyo North War;;Esuk Ewa Ekpo Health Post;;;;;
Akpabuyo;Eneyo North War;;Okoroba Health Post;;;;;
Akpabuyo;Eneyo North War;;Ikot Umoh Edem Health Post;;;;;
Akpabuyo;Eneyo South Ward;;Ikot Ene Umo Health Post;;;;;
Akpabuyo;Eneyo South Ward;;Ikot Asuquo Affiong Anye Health Centre;;;;;
Akpabuyo;Eneyo South Ward;;Akpap Etim Iyang Health Post;;;;;
Akpabuyo;Idundu/Anyanga-Nse Ward;;Asabanka Health Centre;;;;;
Akpabuyo;Idundu/Anyanga-Nse Ward;;Anyanganse Health Post;;;;;
Akpabuyo;Idundu/Anyanga-Nse Ward;;Idundu Primary Health Centre;;;;;
Akpabuyo;Ikot Eyo Ward;;Health Post Ikot Anasua;;;;;
Akpabuyo;Ikot Eyo Ward;;Usung Ibawa Health Post;;;;;
Akpabuyo;Ikot Eyo Ward;;Ikot Okon Edem Health Post;;;;;
Akpabuyo;Ikot Eyo Ward;;Ifiang King Duke Health Centre;;;;;
Akpabuyo;Ikot Nakanda Ward;;Ikot Nakanda Primary Health Centre;;;;;
