LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Aniocha North;Ezi Ward;;St Michael's Clinic;;;;;
Aniocha North;Ezi Ward;;Ezi Primary Health Centre;;;;;
Aniocha North;Ezi Ward;;Ogordo Primary Health Centre;;;;;
Aniocha North;Idumuje Ward;;Aniofu Health Post;;;;;
Aniocha North;Idumuje Ward;;Idumuje Unor Primary Health Centre;;;;;
Aniocha North;Idumuje Ward;;Idumuje-Ugboko Primary Health Centre;;;;;
Aniocha North;Issele-Nkpitime Ward;;Issele-Nkpitime Primary Health Centre;;;;;
Aniocha North;Issele-Nkpitime Ward;;Issele-Azagba Primary Health Care Centre;;;;;
Aniocha North;Issele-Uku 1 Ward;;Glory To God Medical Clinic;;;;;
Aniocha North;Issele-Uku 1 Ward;;St Theresa's Clinic and Maternity (Aniocha North);;;;;
Aniocha North;Issele-Uku 1 Ward;;Issele-Uku General Hospital;;;;;
Aniocha North;Issele-Uku 2 Ward;;Issele-Uku Goodnews Clinic;;;;;
Aniocha North;Issele-Uku 2 Ward;;Issele-Uku Primary Health Centre;;;;;
Aniocha North;Obior/Onicha-Uku Ward;;Onicha-Uku General Hospital;;;;;
Aniocha North;Obior/Onicha-Uku Ward;;"de Obior Primary Health Centre	";;;;;
Aniocha North;Obior/Onicha-Uku Ward;;Onicha-Uku Primary Health Centre;;;;;
Aniocha North;Obomka Ward;;Idumuogo Primary Health Care Centre;;;;;
Aniocha North;Obomka Ward;;Obomkpa Primary Health Centre;;;;;
Aniocha North;Obomka Ward;;Ugboba Health Post;;;;;
Aniocha North;Onicha-Olone Ward;;Onicha-Olona Primary Health Centre;;;;;
Aniocha North;Onicha-Olone Ward;;Onicha Olone General Hospital;;;;;
Aniocha North;Onicha-Ugbo Ward;;Onicha-Ugbo Primary Health Centre;;;;;
Aniocha North;Ugbodu Ward;;Ugbodu Primary Health Centre;;;;;
Aniocha North;Ugbodu Ward;;Ubulubu Primary Health Centre;;;;;
Aniocha North;Ugbodu Ward;;Ukwuzu Primary Health Centre;;;;;
Aniocha North;Ugbodu Ward;;Ubulubu Maternity Home;;;;;
Aniocha South;Adonte Ward;;Ukwuoba Primary Health Centre;;;;;
Aniocha South;Adonte Ward;;Umute Primary Health Centre;;;;;
Aniocha South;Adonte Ward;;Adonte Primary Health Centre;;;;;
Aniocha South;Agidiase Ward;;Nova Specialist Hospital;;;;;
Aniocha South;Agidiase Ward;;Ogwashi-Uku Primary Health Centre;;;;;
Aniocha South;Agidiase Ward;;Ogwashi-Uku General Hospital;;;;;
Aniocha South;Aniocha South Unknown Ward;;Njideka Maternity Home;;;;;
Aniocha South;Ejeme/Igbudu Ward;;Cipio Maternity Home;;;;;
Aniocha South;Ejeme/Igbudu Ward;;Ejeme Aniogor Victory Maternity;;;;;
Aniocha South;Ejeme/Igbudu Ward;;Egbudu-Akah Primary Health Centre;;;;;
Aniocha South;Ejeme/Igbudu Ward;;Ejeme-Aniogor Primary Health Centre;;;;;
Aniocha South;Ejeme/Igbudu Ward;;Ejeme-Unor Primary Health Centre;;;;;
Aniocha South;Ewulu/Ishagu Ward;;Isheagu Government Hospital;;;;;
Aniocha South;Ewulu/Ishagu Ward;;Ewulu Primary Health Centre;;;;;
Aniocha South;Ewulu/Ishagu Ward;;"de Olloh Primary Health Centre	";;;;;
Aniocha South;Ewulu/Ishagu Ward;;Abah-Unor Primary Health Centre;;;;;
Aniocha South;Ewulu/Ishagu Ward;;Isheagu Primary Health Centre;;;;;
Aniocha South;Ewulu/Ishagu Ward;;Olodu Primary Health Centre;;;;;
Aniocha South;Nsukwa Ward;;Nsukwa Primary Health Centre;;;;;
Aniocha South;Otulu Ward;;Azagba Primary Health Centre (Aniocha South);;;;;
Aniocha South;Otulu Ward;;Mother of Mercy Hospital;;;;;
Aniocha South;Ubulu-Okiti Ward;;Ubulu-Okiti Primary Health Centre;;;;;
Aniocha South;Ubulu-Uku 1 Ward;;Ubulu_Uku General Hospital;;;;;
Aniocha South;Ubulu-Uku 1 Ward;;St Anthony Maternity Home;;;;;
Aniocha South;Ubulu-Uku 2 Ward;;Ubulu-Uku Primary Health Centre;;;;;
Aniocha South;Ubulu-Uku 2 Ward;;Anglican Maternity Home;;;;;
Aniocha South;Ubulu-Unor Ward;;Ubulu-Unor Primary Health Centre;;;;;
Aniocha South;Ubulu-Unor Ward;;Ashama Primary Health Centre;;;;;
Aniocha South;Umudei Ward;;Ijeoma Maternity Home;;;;;
Bomadi;Akugbene 1 Ward;;Mercy Memorial Clinic;;;;;
Bomadi;Akugbene 1 Ward;;Akugbene Primary Health Centre;;;;;
Bomadi;Akugbene 1 Ward;;Our Lady of The Water Clinic;;;;;
Bomadi;Akugbene 2 Ward;;Kiagbodo Government Hospital;;;;;
Bomadi;Bomadi Unknown Ward;;Our Saviour's Clinic and Maternity;;;;;
Bomadi;Bomadi Ward;;Amazing Grace Clinic;;;;;
Bomadi;Bomadi Ward;;Bomadi Primary Health Centre;;;;;
Bomadi;Ekaametagbene/Kalafio Ward;;Kalafiogbene Primary Health Centre;;;;;
Bomadi;Ekaametagbene/Kalafio Ward;;Ekametagbene Primary Health Centre;;;;;
Bomadi;Esanma Ward;;Esanma Primary Health Centre;;;;;
Bomadi;Esanma Ward;;Hervia Clinic;;;;;
Bomadi;Kpakiama Ward;;Kpakiama Primary Health Centre;;;;;
Bomadi;Ogo/Eze Ward;;Ogodobiri/Ezebir Primary Health Centre;;;;;
Bomadi;Ogo/Eze Ward;;Ezebiri Primary Health Centre;;;;;
Bomadi;Ogriagbene Ward;;Ogriagbene Cottage Hospital;;;;;
Bomadi;Ogriagbene Ward;;Ogriagbene Health Centre;;;;;
Bomadi;Ugbeinma/Okoloba Ward;;Ogbeinma Primary Health Centre;;;;;
Bomadi;Ugbeinma/Okoloba Ward;;Okoloba Primary Health Centre;;;;;
Burutu;Bolou Ndoro  Ward;;Burutu General Hospital;;;;;
Burutu;Bolou Ndoro  Ward;;Tebegbe Primary Health Centre;;;;;
Burutu;Bolou Ndoro  Ward;;Bulou-Ndoro Primary Health Centre;;;;;
Burutu;Egodor Ward;;Gbekebor Primary Health Centre;;;;;
Burutu;Egodor Ward;;Egodor Primary Health Centre;;;;;
