LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Abakaliki;Abakpa Ward (Abakaliki);;Holy Trinity Hospital and Maternity;;;;;
Abakaliki;Abakpa Ward (Abakaliki);;West End Maternity Home;;;;;
Abakaliki;Abakpa Ward (Abakaliki);;Ekeaba Health Centre;;;;;
Abakaliki;Abakpa Ward (Abakaliki);;Felly Sussy Hospital and Maternity;;;;;
Abakaliki;Abakpa Ward (Abakaliki);;St Theresa Hospital;;;;;
Abakaliki;Abakpa Ward (Abakaliki);;St Edward Maternity Home;;;;;
Abakaliki;Abakpa Ward (Abakaliki);;Holy Family Hospital and Maternity;;;;;
Abakaliki;Abakpa Ward (Abakaliki);;Mercy Hospital and Maternity;;;;;
Abakaliki;Agbaja Ward (Abakaliki);;God Grace Clinic;;;;;
Abakaliki;Amachi Ndiagu Ward;;Nwanwu Health Post;;;;;
Abakaliki;Amachi Ndiagu Ward;;Mgbabeleuzor Health Centre;;;;;
Abakaliki;Amachi Ndiagu Ward;;Akpe Amachi Health Centre;;;;;
Abakaliki;Amachi Ndiebor Ward;;Uburu Health Centre;;;;;
Abakaliki;Amachi Ndiebor Ward;;St. Vincent Hospital;;;;;
Abakaliki;Amachi Ndiechi Ward;;Success Hospital;;;;;
Abakaliki;Amagu Ward;;Nkwegu Military Cantonement Medical Clinic;;;;;
Abakaliki;Amagu Ward;;Obulechi Health Centre;;;;;
Abakaliki;Amagu Ward;;New Timbershed Health Centre;;;;;
Abakaliki;Amagu Ward;;Elinwovbu General Hospital;;;;;
Abakaliki;Amagu Ward;;Model Primary Health Centre Nkwegu;;;;;
Abakaliki;Amegu Unuhu Ward;;Ukamaka Egwu Health Centre;;;;;
Abakaliki;Azuiyiokwu Ward;;Azuiyiokwu Maternal and Child Health Clinic;;;;;
Abakaliki;Azuiyiokwu Ward;;Christ The King Hospital Azuiyiokwu;;;;;
Abakaliki;Azuiyiokwu Ward;;St. John Hospital;;;;;
Abakaliki;Azuiyiokwu Ward;;Smiles Hospital;;;;;
Abakaliki;Azuoffia Edda Ward;;Offiaoji Health Centre;;;;;
Abakaliki;Azuoffia Edda Ward;;Azuoffia Millenuim Development Goal Health Centre;;;;;
Abakaliki;Azuoffia Edda Ward;;Ephuenyim Health Centre;;;;;
Abakaliki;Ebia Unuhu Ward;;Ebia Unuhu Health Centre;;;;;
Abakaliki;Ebia Unuhu Ward;;Azuakpara Health Center MDGs;;;;;
Abakaliki;Edda Ndiagu Ward;;Edda Dispensary;;;;;
Abakaliki;Edda Ndiagu Ward;;Okaria Echiedda Health Centre;;;;;
Abakaliki;Enyigba Ward;;Eketube Health Centre;;;;;
Abakaliki;Enyigba Ward;;Enyigba Primary Health Centre;;;;;
Abakaliki;Iyiudele Ward;;Eke Aba Health Centre;;;;;
Abakaliki;Izzi Unuhu Ward;;Nkaliki Staff Clinic;;;;;
Abakaliki;Izzi Unuhu Ward;;Izzi Unuhu Health Centre;;;;;
Abakaliki;Izzi Unuhu Ward;;Mother Theresa Institute For Health Clinic;;;;;
Abakaliki;Izzi Unuhu Ward;;Okaria Edda MDGs;;;;;
Abakaliki;Ndiagu Ward;;Onuebonyi Health Centre MDGs;;;;;
Abakaliki;Okpaugwu Ward;;Ebonyi State University Clinic (CAS Campus);;;;;
Abakaliki;Okpaugwu Ward;;Our Lady's Hospital;;;;;
Abakaliki;Okpaugwu Ward;;Unagboke Health Centre;;;;;
Abakaliki;Okpaugwu Ward;;Felix Memorial Clinic;;;;;
Abakaliki;Okpuitomo Ndiebor Ward;;Gmelina Health Centre;;;;;
Abakaliki;Okpuitumo Ndiegu Ward;;Okpanku Millenuim Development Goals PHC;;;;;
Abakaliki;Okpuitumo Ndiegu Ward;;Okpuitumo Health Centre (Abakaliki);;;;;
Abakaliki;Timbershed Ward;;Nonyelum Maternity Home;;;;;
Afikpo North;Ama ogu Akpoha Ward;;Ohanwegu HC;;;;;
Afikpo North;Ama ogu Akpoha Ward;;Ibii Health Centre;;;;;
Afikpo North;Ama ogu Akpoha Ward;;Akpoha Basic Health Clinic;;;;;
Afikpo North;Amaekwu Ward;;Amaekwu Health Centre;;;;;
