LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Aninri;Mpu Ward;;Mpu Comprehensive Health Centre;;;;;
Aninri;Mpu Ward;;Umuosigide Health Post;;;;;
Aninri;Mpu Ward;;Mpu Health Centre;;;;;
Aninri;Ndeaboh Ward;;Ndeaboh Health Centre;;;;;
Aninri;Ndeaboh Ward;;Agboechara Health Centre;;;;;
Aninri;Nenwe Ward I;;Nenwe Cottage Hospital;;;;;
Aninri;Nenwe Ward I;;Zion Hospital Nenwe;;;;;
Aninri;Nenwe Ward II;;Nenwe Health Centre;;;;;
Aninri;Nenwe Ward II;;St Peter's Hospital Agbada Nenwe ;;;;;
Aninri;Nenwe Ward III;;Ndiagu Enugwunator Health Centre;;;;;
Aninri;Nenwe Ward III;;Emudo Nenwe Health Centre;;;;;
Aninri;Oduma Ward I;;Oduma Achara Health Centre;;;;;
Aninri;Oduma Ward II;;Amokwe Health Centre - (Aninri);;;;;
Aninri;Oduma Ward II;;Ameke Health Centre;;;;;
Aninri;Oduma Ward II;;Uhueze Obeagu Health Centre;;;;;
Aninri;Oduma Ward III;;Oduma Basic Health Centre;;;;;
Aninri;Oduma Ward III;;St. Luke Hospital;;;;;
Aninri;Oduma Ward IV;;Ohofia Nduneze Health Centre;;;;;
Aninri;Oduma Ward IV;;Ezinator Health Post;;;;;
Aninri;Okpanku Ward;;Okpanku Health Centre;;;;;
Awgu;Agbogugu Ward;;Chinonyelum Hospital;;;;;
Awgu;Anikenand Ward;;Awgunta Health Post;;;;;
Awgu;Anikenand Ward;;Ezere Health Centre;;;;;
Awgu;Anikenand Ward;;Nkwe Health Centre;;;;;
Awgu;Anikenand Ward;;Nenwenta Health Clinic;;;;;
Awgu;Anikenand Ward;;Ugwueme Health Centre;;;;;
Awgu;Awgu Ward 1;;Mayo Hospital (Awgu);;;;;
Awgu;Awgu Ward 1;;Jideofor Hospital and Maternity Ohaja;;;;;
Awgu;Awgu Ward 1;;Jideofor Hospital Annex Owelli;;;;;
Awgu;Awgu Ward 1;;Awgu Maternal and Child Health Clinic;;;;;
Awgu;Awgu Ward 11;;Onoli Cottage Hospital;;;;;
Awgu;Awgu Ward 11;;Sacrede Heart Hospital;;;;;
Awgu;Awgu Ward 11;;Ugwulesi Health Centre;;;;;
Awgu;Ihe Ward;;St Ann's Hospital;;;;;
Awgu;Ihe Ward;;Rhema Hospital and Maternity;;;;;
Awgu;Ihe Ward;;Beacon Hospital;;;;;
Awgu;Ihe Ward;;St Anthony Hospital (Awgu);;;;;
Awgu;Ihe Ward;;Mother of Mercy Hospital;;;;;
Awgu;Isuawaa/Agbudu Ward;;Agbudu Health Clinic (Awgu);;;;;
Awgu;Mgbidi/Mmaku Ward;;Mmaku Health Centre;;;;;
Awgu;Mgbidi/Mmaku Ward;;Mmaku Cottage Hospital;;;;;
Awgu;Mgbidi/Mmaku Ward;;Mmaku Health Post;;;;;
Awgu;Mgbidi/Mmaku Ward;;enThe Eagle Hospital and Maternity Awgu;;;;;
Awgu;Mgbidi/Mmaku Ward;;Mgbidi Cottage Hospital;;;;;
Awgu;Mgbidi/Mmaku Ward;;St Monica's Memorial Hospital,Ezioha;;;;;
Awgu;Mgbowo Ward;;Ekpulato Mgbowo Health Centre;;;;;
