LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Abaji;Alumamagi Ward;;Mawogi Health Clinic;;;;;
Abaji;Alumamagi Ward;;Mamagi Health Clinic;;;;;
Abaji;Central (Abaji) Ward;;Abaji Town Clinic;;;;;
Abaji;Central (Abaji) Ward;;Abaji Central Primary Health Clinic;;;;;
Abaji;Ebagi Rimba Ward;;Rimba Health Clinic;;;;;
Abaji;Ebagi Rimba Ward;;Ebagi Health Clinic;;;;;
Abaji;Gawu Ward;;Gigbe Clinic;;;;;
Abaji;Gawu Ward;;Gasakpa Clinic;;;;;
Abaji;Gawu Ward;;Gawu Comprehensive Health Centre;;;;;
Abaji;Gawu Ward;;Dogon Ruwa Clinic;;;;;
Abaji;Gurdi Ward;;Rafin Daji Clinic;;;;;
Abaji;Gurdi Ward;;Bari Bari Health Post;;;;;
Abaji;Gurdi Ward;;Gurdi Health Centre;;;;;
Abaji;North East Ward;;Waleco Clinic;;;;;
Abaji;North East Ward;;Abaji Maternal and Child Health Clinic;;;;;
Abaji;North East Ward;;Lafiak Hospital;;;;;
Abaji;North East Ward;;Abaji General Hospital;;;;;
Abaji;North East Ward;;Ayaura Comprehensive Health Centre;;;;;
Abaji;Nuku Sabon Gari Ward;;Nuku Primary Health Centre;;;;;
Abaji;Nuku Sabon Gari Ward;;Manderegi Clinic;;;;;
Abaji;Nuku Sabon Gari Ward;;Kekeshi Clinic;;;;;
Abaji;Nuku Sabon Gari Ward;;Abattior Clinic;;;;;
Abaji;Pandagi Agyana Ward;;Pandagi Comprehensive Health Centre;;;;;
Abaji;Pandagi Agyana Ward;;Agyana Health Clinic;;;;;
Abaji;South East Ward;;Nahareti Health Clinic;;;;;
Abaji;South East Ward;;Nima Clinic;;;;;
Abaji;Yaba Ward;;Kpache Clinic;;;;;
Abaji;Yaba Ward;;Yaba Comprehensive Health Centre;;;;;
Abaji;Yaba Ward;;Adgba Clinic;;;;;
Abuja Municipal;City Centre Ward;;Bepos Clinic and Fertility Centre;;;;;
Abuja Municipal;City Centre Ward;;Supreme Court Of Nigeria Clinic;;;;;
Abuja Municipal;Garki Ward;;Garki Hospital;;;;;
Abuja Municipal;Garki Ward;;Asokoro General Hospital;;;;;
Abuja Municipal;Garki Ward;;Dutsen Garki Health Post;;;;;
Abuja Municipal;Garki Ward;;Independent National Electoral Commission Staff Clinic (Garki);;;;;
Abuja Municipal;Garki Ward;;Kapital Hospital;;;;;
Abuja Municipal;Garki Ward;;Abuja Clinic;;;;;
Abuja Municipal;Garki Ward;;Cedar Crest Hospital;;;;;
Abuja Municipal;Garki Ward;;Ruz Medical;;;;;
Abuja Municipal;Garki Ward;;Kinectic Hospital;;;;;
Abuja Municipal;Garki Ward;;Diamond Medical Centre;;;;;
Abuja Municipal;Garki Ward;;Amana Medical Centre;;;;;
Abuja Municipal;Garki Ward;;Apo Primary Health Centre;;;;;
Abuja Municipal;Garki Ward;;Abuja Police Hospital;;;;;
Abuja Municipal;Garki Ward;;Praise Hospital;;;;;
Abuja Municipal;Garki Ward;;Kobi Health Post;;;;;
Abuja Municipal;Gui Ward;;Gosa  Primary Health Centre;;;;;
Abuja Municipal;Gui Ward;;Tungan Madaki Health Post;;;;;
Abuja Municipal;Gui Ward;;Iddo Pada Health Post;;;;;
Abuja Municipal;Gui Ward;;Al - Nur Maternity Home;;;;;
Abuja Municipal;Gwagwa Ward;;Getwell Hospital;;;;;
Abuja Municipal;Gwagwa Ward;;Kagini Primary Health Centre;;;;;
Abuja Municipal;Gwagwa Ward;;Dei Dei Primary Health Centre;;;;;
Abuja Municipal;Gwagwa Ward;;Marvellous Clinic;;;;;
Abuja Municipal;Gwagwa Ward;;Una Clinic;;;;;
Abuja Municipal;Gwagwa Ward;;Crown Hospital;;;;;
Abuja Municipal;Gwagwa Ward;;Gwagwa Health Centre;;;;;
Abuja Municipal;Gwagwa Ward;;God's Time Clinic and Maternity;;;;;
Abuja Municipal;Gwagwa Ward;;Our Lady Clinic and Maternity;;;;;
Abuja Municipal;Gwagwa Ward;;Access Hospital;;;;;
Abuja Municipal;Gwarimpa Ward;;Wildof Clinic;;;;;
Abuja Municipal;Gwarimpa Ward;;Gwarimpa General Hospital;;;;;
Abuja Municipal;Gwarimpa Ward;;Kuchingoro Primary Health Centre;;;;;
Abuja Municipal;Gwarimpa Ward;;Everlasting Care Hospital;;;;;
Abuja Municipal;Gwarimpa Ward;;Mabushi Primary Health Centre;;;;;
Abuja Municipal;Gwarimpa Ward;;Silver Fountain Medical Center;;;;;
Abuja Municipal;Gwarimpa Ward;;Piwoyi Primary Health Centre;;;;;
Abuja Municipal;Gwarimpa Ward;;Federal Staff Hospital (Abuja);;;;;
Abuja Municipal;Gwarimpa Ward;;Jahi Primary Health Centre;;;;;
Abuja Municipal;Jiwa Ward;;Hulumi Health Post;;;;;
Abuja Municipal;Jiwa Ward;;Ellan Clinic and Maternity;;;;;
Abuja Municipal;Jiwa Ward;;Jiwa Health Post;;;;;
Abuja Municipal;Jiwa Ward;;Dakwa 2 Primary Health Centre;;;;;
Abuja Municipal;Jiwa Ward;;Idu-Karmo Health Post;;;;;
Abuja Municipal;Jiwa Ward;;Precious Clinic;;;;;
