LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Akko;Akko Ward;;Bula Model Health Center;;;;;
Akko;Garko Ward;;Garko Model Health Center;;;;;
Akko;Garko Ward;;Shongo Health Clinic;;;;;
Akko;Garko Ward;;Gona Health Clinic;;;;;
Akko;Garko Ward;;Tumpure Health Clinic;;;;;
Akko;Garko Ward;;Yelwan Bogo Health Clinic;;;;;
Akko;Garko Ward;;Kundulum Health Clinic;;;;;
Akko;Garko Ward;;Gidim Health Clinic;;;;;
Akko;Garko Ward;;Arawa Health Post;;;;;
Akko;Garko Ward;;Hammadu Kafi Health Clinic;;;;;
Akko;Garko Ward;;Bogo Health Clinic;;;;;
Akko;Garko Ward;;Tabra Health Clinic;;;;;
Akko;Garko Ward;;Shongo Hamma Health Post;;;;;
Akko;Garko Ward;;Bogo Model Primary Health Center;;;;;
Akko;Kalshingi Ward;;Kalshingi Primary Health Centre;;;;;
Akko;Kalshingi Ward;;Pandaya Health Clinic;;;;;
Akko;Kalshingi Ward;;Chilo Health Clinic;;;;;
Akko;Kashere Ward;;Dongol Health Clinic;;;;;
Akko;Kashere Ward;;Kaltanga Health Post;;;;;
Akko;Kashere Ward;;Yelwa Health Post;;;;;
Akko;Kashere Ward;;Kashere Model Primary Health Centre;;;;;
Akko;Kumo Central Ward;;Kumo General Hospital;;;;;
Akko;Kumo East Ward;;Kunji Health Clinic;;;;;
Akko;Kumo East Ward;;Garin Bakari Health Clinic;;;;;
Akko;Kumo East Ward;;Kidda Health Clinic;;;;;
Akko;Kumo North Ward;;Gamawa Health Clinic;;;;;
Akko;Kumo West Ward;;Kayel Nabaga Health Post;;;;;
Akko;Kumo West Ward;;Tambe Yelo Health Clinic;;;;;
Akko;Kumo West Ward;;Gadawo Health Clinic;;;;;
Akko;Kumo West Ward;;Kobuwa Health Clinic;;;;;
Akko;Pindiga Ward;;Pindiga Primary Health Centre;;;;;
Akko;Pindiga Ward;;Garin Rijiya Health Post;;;;;
Akko;Pindiga Ward;;Lambo Daji Health Clinic;;;;;
Akko;Pindiga Ward;;Pindiga Cottage Hospital;;;;;
Akko;Tukulma Ward;;Taliyawa Model Health Center;;;;;
Akko;Tukulma Ward;;Jurara Health Post;;;;;
Akko;Tukulma Ward;;Tukulma Health Clinic;;;;;
Akko;Tukulma Ward;;Garin Galadima Health Post;;;;;
Akko;Tumu Ward;;Tumu Cottage Hospital;;;;;
Akko;Tumu Ward;;Maiganga Health Clinic;;;;;
Akko;Tumu Ward;;Piyau Health Clinic;;;;;
