LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Aboh-Mbaise;Ahiato Ward;;Ahiato Health Centre;;;;;
Aboh-Mbaise;Ahiato Ward;;Umuannuma Health Centre;;;;;
Aboh-Mbaise;Ahiato Ward;;Umueze Health Centre;;;;;
Aboh-Mbaise;Amuzu Nwe-Nkwo Ward;;Amuzu Nwenkwo Health Centre;;;;;
Aboh-Mbaise;Amuzu Ward;;Amuze Health  Center;;;;;
Aboh-Mbaise;Egbelu-Umuhu Ward;;Egbelu Umuhu Health Centre;;;;;
Aboh-Mbaise;Enyiogugu Ward;;Enyiogugu Health Center;;;;;
Aboh-Mbaise;Ibeku Ward;;Geovanna Clinic Ibeku (Mission);;;;;
Aboh-Mbaise;Lagwa Ward;;Obo-Lagwa Health Center;;;;;
Aboh-Mbaise;Lorji Ward;;Lorji Health Center;;;;;
Aboh-Mbaise;Mbutu 1 Ward;;Mbutu Health Centre;;;;;
Aboh-Mbaise;Nguru Nwankwo Ward;;Nkwogwu Health Centre;;;;;
Aboh-Mbaise;Nguru Nweke Ward;;IWC Aboh Clinic;;;;;
Aboh-Mbaise;Nguru Nweke Ward;;Aboh Mbaise General Hospital;;;;;
Aboh-Mbaise;Umuhu Ward;;Umuhu Health Center;;;;;
Aboh-Mbaise;Umuneato Ward;;Ngurunweke Health Center;;;;;
Aboh-Mbaise;Uvuru 1 Ward;;Uvuru Basic Health Centre;;;;;
Ahiazu-Mbaise;Amuzi Ward;;Amuzi Health Clinic;;;;;
Ahiazu-Mbaise;Eziama Ward;;Eziama Model Health Centre;;;;;
Ahiazu-Mbaise;Isiala/Oparanadim Ward;;Oparanadim Primary Health Centre;;;;;
Ahiazu-Mbaise;Isiala/Oparanadim Ward;;Precious Blood Clinic Umumbiri;;;;;
Ahiazu-Mbaise;Mpam Ward;;Mpam Health Center;;;;;
Ahiazu-Mbaise;Nnarambia Ward;;Nnarambia Health Centre;;;;;
Ahiazu-Mbaise;Obodo Ahiara/Ihenworie Ward;;Obodo Ahiara Health Center;;;;;
Ahiazu-Mbaise;Obodo Ahiara/Ihenworie Ward;;Ihenworie Health Centre;;;;;
Ahiazu-Mbaise;Obohia/Ekwerezu Town Ward;;Ekwereazu Town Health Center;;;;;
Ahiazu-Mbaise;Obohia/Ekwerezu Town Ward;;Elekenowasi Health Post;;;;;
Ahiazu-Mbaise;Obohia/Ekwerezu Town Ward;;Obohia Health center;;;;;
Ahiazu-Mbaise;Ogbe Ward 1;;Ogbe Primary Health Centre;;;;;
Ahiazu-Mbaise;Ogbenneisi Ward;;Ogbenneisii Health Center;;;;;
Ahiazu-Mbaise;Ogbo/Umeze Ward;;Ogbor Health Centre MDG;;;;;
Ahiazu-Mbaise;Ogbo/Umeze Ward;;Ihitteaforukwu Health Center;;;;;
Ahiazu-Mbaise;Okrikanweke 2 Ward;;Okrikanweke Health Centre;;;;;
Ahiazu-Mbaise;Okrikanwenkwo Ward;;Immaculate Heart Maternity Home;;;;;
Ahiazu-Mbaise;Okrikanwenkwo Ward;;Umuokirika Health Centre;;;;;
Ahiazu-Mbaise;Oru/Lude Ward;;Afor Oru Health Office Clinic;;;;;
Ahiazu-Mbaise;Oru/Lude Ward;;Lude Health Center;;;;;
Ahiazu-Mbaise;Otulu/Aguneze Ward;;Otulu Primary Health Centre;;;;;
Ahiazu-Mbaise;Umunumo/Umuchieze Ward;;Umuchieze Health Center;;;;;
Ehime-Mbano;Agbaja Ward (Ehime-Mbano);;Mgbam Health post;;;;;
Ehime-Mbano;Agbaja Ward (Ehime-Mbano);;Agbaja Health Centre;;;;;
Ehime-Mbano;Agbaja Ward (Ehime-Mbano);;Nneano MDG;;;;;
Ehime-Mbano;Agbaja Ward (Ehime-Mbano);;Obioma Hospital & Maternity;;;;;
Ehime-Mbano;Nsu A Ward;;Umuezeala Nsu Health Centre;;;;;
Ehime-Mbano;Nsu B Ward;;Umuduru Umuopara Nsu Health Centre;;;;;
Ehime-Mbano;Nsu B Ward;;Emmanuel Hospital and Maternity;;;;;
Ehime-Mbano;Nzerem Ward;;Nzerem/Ikpem Health Centre;;;;;
Ehime-Mbano;Nzerem Ward;;Nzerem Primary Health Centre;;;;;
Ehime-Mbano;Umuakabia Ward;;Umukabia Health Post (Ehime Mbano);;;;;
Ehime-Mbano;Umuakabia Ward;;Osuru Health Centre;;;;;
Ehime-Mbano;Umuakagu Ward;;Umuakagu Health Centre;;;;;
Ehime-Mbano;Umualumaku/Umuihim Ward;;Umualumaku Umuihim Health Post;;;;;
Ehime-Mbano;Umueleke Ward;;Umueleke Health Post;;;;;
Ehime-Mbano;Umueze 1 Ward;;Umeze Joint Hospital and Maternity;;;;;
Ehime-Mbano;Umueze 1 Ward;;Umueze 1 umuihim Health Post;;;;;
Ehime-Mbano;Umueze 1 Ward;;Umueze 1 Health Centre;;;;;
Ehime-Mbano;Umueze 2 Ward;;Umueze 2 Primary Health Centre;;;;;
Ehime-Mbano;Umueze 2 Ward;;Umudurueguelle Health Centre;;;;;
Ehime-Mbano;Umuezeala Ama 1 Ward;;Isi Ehime Health Post;;;;;
Ehime-Mbano;Umuezeala Ama 1 Ward;;Umuezeala Ogwara Health Post;;;;;
Ehime-Mbano;Umuezeala Ama 1 Ward;;C Six Hospital and Maternity;;;;;
Ehime-Mbano;Umuezeala/Owerre Ward;;Umuezeala Owerri Primary Health Centre;;;;;
Ehime-Mbano;Umunakanu Ward;;Umugolo Health Centre;;;;;
Ehime-Mbano;Umunakanu Ward;;Umunakam Primary Health Centre;;;;;
Ehime-Mbano;Umunumo Ibenkwo Ward;;Umunumo Ibenkow Basic Health Centre;;;;;
Ehime-Mbano;Umununo Ibeafor Ward;;Umunumo Ibeator Health Centre;;;;;
Ezinihitte-Mbaise;Ezinihitte-Mbaise Ward 1;;Amumara Primary Health Centre;;;;;
Ezinihitte-Mbaise;Ezinihitte-Mbaise Ward 1;;Okpanku Primary Health Centre;;;;;
Ezinihitte-Mbaise;Ezinihitte-Mbaise Ward 11;;Omokwu Primary Health Centre;;;;;
Ezinihitte-Mbaise;Ezinihitte-Mbaise Ward 13;;Ihitte Primary Health Centre;;;;;
Ezinihitte-Mbaise;Ezinihitte-Mbaise Ward 13;;Ezeagbogu Primary Health Centre;;;;;
