LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Auyo;Auyakayi Ward;;Auyakayi Health Post;;;;;
Auyo;Auyo Ward;;Auyo Primary Health Centre;;;;;
Auyo;Auyo Ward;;Gidan Dallah Health Post;;;;;
Auyo;Ayama Ward;;Safa Health Post;;;;;
Auyo;Ayama Ward;;Ayama Basic Health Clinics;;;;;
Auyo;Ayama Ward;;Safa karfi Health Post;;;;;
Auyo;Ayan Ward;;Ayan Health Post;;;;;
Auyo;Gamafai Ward;;Gasanya Health Post;;;;;
Auyo;Gamafai Ward;;Gamafai Health Post;;;;;
Auyo;Gamafai Ward;;Gandun Kadir Health Post;;;;;
Auyo;Gamsarka Ward;;Kalgwai Basic Health Clinic;;;;;
Auyo;Gamsarka Ward;;Gamsarka Health Post;;;;;
Auyo;Gamsarka Ward;;Hakudo Health Post;;;;;
Auyo;Gatafa Ward;;Gatafa Health Post;;;;;
Auyo;Kafur Ward;;Kafur Health Post;;;;;
Auyo;Kafur Ward;;Ganuwar Kuka Health Post;;;;;
Auyo;Tsidir Ward;;Bengeli Health Post;;;;;
Auyo;Tsidir Ward;;Tsidir Health Post;;;;;
Auyo;Unik Ward;;Guyu Health Post;;;;;
Auyo;Unik Ward;;Unik Dispensary;;;;;
Auyo;Unik Ward;;Kaban Health Post;;;;;
Auyo;Unik Ward;;Galdimari Health Clinic;;;;;
Auyo;Unik Ward;;Shinge Health Post;;;;;
Babura;Babura Ward;;Jarmai Health Post;;;;;
Babura;Babura Ward;;Aibat Health Clinic;;;;;
Babura;Babura Ward;;Babura General Hospital;;;;;
Babura;Batali Ward;;Batali Dispensary;;;;;
Babura;Batali Ward;;Danhalili Primary Health Clinic;;;;;
Babura;Dorawa Ward;;Dorawa Health Post;;;;;
Babura;Duzau Ward;;Dazau Dispensary;;;;;
Babura;Garu Ward;;Tasawa Health Post;;;;;
Babura;Garu Ward;;Garu Dispensary;;;;;
Babura;Gasakoli Ward;;Tashar D/Kyambo Health Clinic;;;;;
Babura;Gasakoli Ward;;Gasakoli Health Post;;;;;
Babura;Gasakoli Ward;;Lamintani Basic Health Clinic;;;;;
Babura;Gasakoli Ward;;Kyambo Health Post;;;;;
Babura;Insharuwa Ward;;Insharuwa Health Post;;;;;
Babura;Insharuwa Ward;;Aduware Health Post;;;;;
Babura;Jigawar Babura Ward;;Jigawa Babura Primary Health Centre;;;;;
Babura;Jigawar Babura Ward;;Gurfai Basic Health Clinic;;;;;
Babura;Kanya Ward (Babura);;Haladawa Health Post;;;;;
Babura;Kanya Ward (Babura);;Tsamiyar Kwanche Health Post;;;;;
Babura;Kanya Ward (Babura);;Rafin Tsamiya Health Post;;;;;
Babura;Kanya Ward (Babura);;Munar Waje Health Post;;;;;
Babura;Kanya Ward (Babura);;Kanya Health Clinic (Babura);;;;;
Babura;Kanya Ward (Babura);;Gana Dispensary;;;;;
Babura;Kuzunzumi Ward;;Kuzunzumi Health Post;;;;;
Babura;Takwasa Ward;;Manga Health Post;;;;;
Babura;Takwasa Ward;;Takwasa Health Clinic;;;;;
Babura;Takwasa Ward;;Masko Dispensary;;;;;
Babura;Takwasa Ward;;Giginya Health Post;;;;;
Birnin Kudu;Birnin Kudu Ward;;Chanda Health Post;;;;;
Birnin Kudu;Birnin Kudu Ward;;Birnin Kudu General Hospital;;;;;
Birnin Kudu;Birnin Kudu Ward;;Birnin Kudu Federal Medical Centre;;;;;
Birnin Kudu;Birnin Kudu Ward;;Magajin Gari Health Post;;;;;
Birnin Kudu;Kangire Ward;;Dumus Health Post;;;;;
Birnin Kudu;Kangire Ward;;Kangire Health Post;;;;;
Birnin Kudu;Kantoga Ward;;Kafin Gana Health Post;;;;;
Birnin Kudu;Kantoga Ward;;Kantoga Health Post;;;;;
Birnin Kudu;Kiyako Ward;;Babaldu Health Post;;;;;
Birnin Kudu;Kiyako Ward;;Kiyako Health Post;;;;;
Birnin Kudu;Kiyako Ward;;Bamaina Basic Health Clinic;;;;;
Birnin Kudu;Kwangwara Ward;;Kadangare Health Post;;;;;
Birnin Kudu;Lafiya B/Kudu Ward;;Lafia Health Post;;;;;
Birnin Kudu;Lafiya B/Kudu Ward;;Tukuda Dispensary;;;;;
Birnin Kudu;Sundimina Ward;;Kwari Dispensary;;;;;
Birnin Kudu;Sundimina Ward;;Sundimina Basic Health Clinic;;;;;
Birnin Kudu;Sundimina Ward;;Dukana Health Post;;;;;
Birnin Kudu;Sundimina Ward;;Kwatai Health Post;;;;;
Birnin Kudu;Sundimina Ward;;Kumbura Health Post;;;;;
Birnin Kudu;Sundimina Ward;;Nafara Health Post;;;;;
Birnin Kudu;Surko Ward;;Surko Health Post;;;;;
Birnin Kudu;Surko Ward;;Badingu Health Post;;;;;
Birnin Kudu;Unguwar Ya Ward;;Jiboga Basic Health Clinic ;;;;;
Birnin Kudu;Unguwar Ya Ward;;Kawo Health Post;;;;;
Birnin Kudu;Unguwar Ya Ward;;Yarma Health Post;;;;;
Birnin Kudu;Unguwar Ya Ward;;Unguwar Ya Basic Health Clinic;;;;;
Birnin Kudu;Wurno Ward;;Samamiya Dispensary;;;;;
Birnin Kudu;Wurno Ward;;Wurno Basic Health Clinic;;;;;
Birnin Kudu;Wurno Ward;;Giwa Health Post;;;;;
Birnin Kudu;Wurno Ward;;Jangargari Health Post;;;;;
Birnin Kudu;Wurno Ward;;Guna'an Damau Health Post;;;;;
Birnin Kudu;Wurno Ward;;Shungurin Health Post;;;;;
Birnin Kudu;Yalwan Damai Ward;;Yalwan Damai Primary Health Centre;;;;;
Birnin Kudu;Yalwan Damai Ward;;Iggi Dispensary;;;;;
Birnin Kudu;Yalwan Damai Ward;;Arobade Health Post;;;;;
Birnin Kudu;Yalwan Damai Ward;;Bkd Dangoli Health post;;;;;
Birnin Kudu;Yalwan Damai Ward;;Dokoki Health Post;;;;;
Birniwa;Batu Ward;;Batu Dispensary;;;;;
Birniwa;Batu Ward;;Kuka-Inkiwa Health Clinic;;;;;
Birniwa;Birniwa Ward;;Birniwa Tashia Health Post;;;;;
Birniwa;Birniwa Ward;;Birniwa General Hospital;;;;;
Birniwa;Dangwaleri Ward;;Kubuna Dispensary;;;;;
Birniwa;Dangwaleri Ward;;Munkawo Health Post;;;;;
Birniwa;Dangwaleri Ward;;Dangolori Health Post;;;;;
Birniwa;Diginsa Ward;;Kishinde Health Post;;;;;
Birniwa;Diginsa Ward;;Diginsa Health Clinic;;;;;
Birniwa;Diginsa Ward;;Balburam Health Post;;;;;
Birniwa;Fagi Ward;;Kirilla Health Post;;;;;
Birniwa;Fagi Ward;;Tsinkaina Health Post;;;;;
Birniwa;Kachallari Ward;;Kanya Health Clinic (Birniwa);;;;;
Birniwa;Kachallari Ward;;Kachallari Dispensary;;;;;
Birniwa;Karanga Ward;;Karanga Dispensary;;;;;
Birniwa;Karanga Ward;;Kilbu Dispensary;;;;;
Birniwa;Karanga Ward;;Kundi Health Post;;;;;
Birniwa;Kazura Ward;;Dolen Kwana Health Post;;;;;
Birniwa;Kazura Ward;;Kazura Primary Health Centre;;;;;
Birniwa;Machinamari Ward;;Goruba Health Post;;;;;
Birniwa;Machinamari Ward;;Kupsa Health Clinic;;;;;
Birniwa;Matamu Ward;;Matamu Health Post;;;;;
Birniwa;Matamu Ward;;Matara Uku Dispensary;;;;;
Birniwa;Nguwa Ward;;Yusufari Health Post;;;;;
Birniwa;Nguwa Ward;;Burseli Health Post;;;;;
Birniwa;Nguwa Ward;;Nguwa Dispensary;;;;;
Birniwa;Nguwa Ward;;Kukawa Health Post;;;;;
Buji;Ahoto Ward;;Tijiya Health Post;;;;;
Buji;Ahoto Ward;;Ahoto Health Post;;;;;
Buji;Buji Ward;;Chakwama Health Post;;;;;
Buji;Buji Ward;;Buji Health Clinic;;;;;
Buji;Chirbun Ward;;Unguwar Maina Health Clinic;;;;;
Buji;Chirbun Ward;;Chirbun Health Post;;;;;
Buji;Chirbun Ward;;Jajikoli Health Post;;;;;
Buji;Falageri Ward;;Gambasha Health Post;;;;;
Buji;Falageri Ward;;Falageri Health Post;;;;;
Buji;Gantsa Ward;;Gantsa Primary Health Centre;;;;;
Buji;Kawaya Ward;;Kawaya Health Post;;;;;
Buji;Kawaya Ward;;Sagu Primary Health Centre;;;;;
Buji;Kukuma Ward;;Kukuma Health Clinic;;;;;
Buji;Kukuma Ward;;Dankoshe Health Post;;;;;
Buji;Kukuma Ward;;Kwarinja Health Post;;;;;
Buji;Kukuma Ward;;Bakwarga Health Post;;;;;
Buji;Lelan Kudu Ward;;Yayarin Chakauri Health Post;;;;;
Buji;Lelan Kudu Ward;;Lelan Kudu Basic Health Clinic;;;;;
Buji;Madabe Ward;;Madabe Health Post;;;;;
Buji;Yayarin Tukur Ward;;Kafin Madaki Health Post;;;;;
Buji;Yayarin Tukur Ward;;Yayarin Tukur Health Clinic;;;;;
Buji;Yayarin Tukur Ward;;Yalwa Health Post;;;;;
Dutse;Abaya Ward;;Jg Kyaran Health Post;;;;;
Dutse;Abaya Ward;;Tabobo Health Post;;;;;
Dutse;Abaya Ward;;Dagwaje Health Post;;;;;
Dutse;Abaya Ward;;Abaya Basic Health Clinic;;;;;
Dutse;Chamo Ward;;Chaichai Dispensary;;;;;
