LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Ajingi;Ajingi Ward;;Ajingi Primary Health Centre;;;;;
Ajingi;Ajingi Ward;;Sakalawa Health Post;;;;;
Ajingi;Balare Ward;;Balare Model Primary Health Care;;;;;
Ajingi;Balare Ward;;Fulatan Health Post;;;;;
Ajingi;Balare Ward;;Tsabarawa Health Post;;;;;
Ajingi;Chula Ward;;Chula Health Clinic;;;;;
Ajingi;Chula Ward;;Kawari Health Post;;;;;
Ajingi;Dabi Ward;;Dabi Health Post;;;;;
Ajingi;Dabi Ward;;Fagawa Health Post;;;;;
Ajingi;Dabi Ward;;Marita Health Post;;;;;
Ajingi;Dundun Ward;;Maigana Health Post;;;;;
Ajingi;Dundun Ward;;Dundun Health Post;;;;;
Ajingi;Gafasa Ward;;Jiyayya Health Post;;;;;
Ajingi;Gafasa Ward;;Gafasa Health Post;;;;;
Ajingi;Gafasa Ward;;Danmalam Health Post;;;;;
Ajingi;Gurduba Ward;;Kullumi Health Post;;;;;
Ajingi;Gurduba Ward;;Zangon Gulya Health Post;;;;;
Ajingi;Gurduba Ward;;Gurduba Health Post;;;;;
Ajingi;Kunkurawa Ward;;Kiroro Health Post;;;;;
Ajingi;Kunkurawa Ward;;Kunkurawa Health Post;;;;;
Ajingi;Kunkurawa Ward;;Makarya Primary Health Center;;;;;
Ajingi;Kunkurawa Ward;;Kara Makama Health Post;;;;;
Ajingi;Toranke Ward;;Biyamusu Health Post;;;;;
Ajingi;Toranke Ward;;Toranke Health Clinic;;;;;
Ajingi;Toranke Ward;;Kawoni Health Post;;;;;
Ajingi;Toranke Ward;;Karadagaji Health Center;;;;;
Ajingi;Unguwar Bai Ward;;Kadiri Health Clinic;;;;;
Ajingi;Unguwar Bai Ward;;Gagarawa Health Post;;;;;
Ajingi;Unguwar Bai Ward;;Unguwar Bai Health Centre;;;;;
Albasu;Albasu Ward;;Albasu Cottage Hospital;;;;;
Albasu;Albasu Ward;;Albasu GGASS Clinic;;;;;
Albasu;Albasu Ward;;Jigar Health Post;;;;;
Albasu;Bataiya Ward;;Mangari Health Post;;;;;
Albasu;Bataiya Ward;;Bataiya Primary Health Centre;;;;;
Albasu;Bataiya Ward;;Baleke Health Post;;;;;
Albasu;Daho Ward;;Biskin Health Post;;;;;
Albasu;Daho Ward;;Farantama Health Post;;;;;
Albasu;Daho Ward;;Daho Health Post;;;;;
Albasu;Daho Ward;;Zuwan Hawa Health Post;;;;;
Albasu;Duja Ward;;Chamarana Health Post;;;;;
Albasu;Duja Ward;;Duja Health Post;;;;;
Albasu;Faragai Ward;;Sabon Garin Naira Health Post;;;;;
