LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Bakori;Bakori A Ward;;Afuwa Clinic;;;;;
Bakori;Bakori A Ward;;Maarrabar Danja Health Clinic;;;;;
Bakori;Bakori B Ward;;Bakori Mobile Clinic;;;;;
Bakori;Bakori B Ward;;Adako Health Clinic;;;;;
Bakori;Bakori B Ward;;Bakori Clinic;;;;;
Bakori;Bakori B Ward;;Bakori Comprehensive Health Centre;;;;;
Bakori;Bakori B Ward;;Bakori Family Support Clinic;;;;;
Bakori;Bakori B Ward;;Yanlabu Health Clinic;;;;;
Bakori;Barde;;Kwantakwaram Ward;;;;;
Bakori;Dawan Musa Ward;;Kadanyar Baushe Health Clinic;;;;;
Bakori;Dawan Musa Ward;;Kanawa Health Clinic;;;;;
Bakori;Dawan Musa Ward;;Tamarke Health Clinic;;;;;
Bakori;Dawan Musa Ward;;U Alheri Health Post;;;;;
Bakori;Dawan Musa Ward;;Unguwar Gabas Health Post;;;;;
Bakori;Dawan Musa Ward;;Yari Baso Health Clinic;;;;;
Bakori;Guga Ward;;Guga Primary Health Centre;;;;;
Bakori;Guga Ward;;Layin Nepu Health Clinic;;;;;
Bakori;Guga Ward;;Magoje Health Clinic;;;;;
Bakori;Guga Ward;;Unguwar Lamido Health Clinic;;;;;
Bakori;Guga Ward;;Yanshuni Health Clinic;;;;;
Bakori;Guga Ward;;Yar Tsakuwa Health Clinic (Bakori);;;;;
Bakori;Jar Gaba Ward;;Dangana Health Clinic;;;;;
Bakori;Jar Gaba Ward;;Jargaba Primary Health Centre;;;;;
Bakori;Jar Gaba Ward;;Shuwaki Dispensary;;;;;
Bakori;Jar Gaba Ward;;Unguwar Dogo Health Clinic;;;;;
Bakori;Kabomo Ward;;Ganjar Health Clinic;;;;;
Bakori;Kabomo Ward;;H Liman Health Clinic;;;;;
Bakori;Kabomo Ward;;K Doka Health Clinic;;;;;
Bakori;Kabomo Ward;;Kabomo Health Clinic;;;;;
Bakori;Kabomo Ward;;Layin Kuka Health Clinic;;;;;
Bakori;Kabomo Ward;;Unguwar Koshe Health Clinic;;;;;
Bakori;Kakumi Ward;;Danguza Health Clinic;;;;;
Bakori;Kakumi Ward;;Dotsa Health Clinic;;;;;
Bakori;Kakumi Ward;;Garan Gozai Health Clinic;;;;;
Bakori;Kakumi Ward;;Gidan Jaura Health Clinic;;;;;
Bakori;Kakumi Ward;;Kakumi Primary Health Centre;;;;;
Bakori;Kakumi Ward;;Layin Mukaddas Health Clinic;;;;;
Bakori;Kakumi Ward;;Macikaya Health Clinic;;;;;
Bakori;Kakumi Ward;;Tinjimawa Health Clinic;;;;;
Bakori;Kakumi Ward;;Unguwar Dandaudu Health Clinic;;;;;
Bakori;Kandarawa Ward;;Bawa Health Post;;;;;
Bakori;Kandarawa Ward;;Ala Bura Health Clinic;;;;;
Bakori;Kandarawa Ward;;Dan Baushe Health Post;;;;;
Bakori;Kandarawa Ward;;Gidan Kanawa Health Clinic;;;;;
Bakori;Kandarawa Ward;;Kandarawa Health Clinic;;;;;
Bakori;Kandarawa Ward;;Mai Yadiya Health Clinic;;;;;
Bakori;Kandarawa Ward;;Ruwan Kuri Health Clinic;;;;;
Bakori;Kandarawa Ward;;Unguwar Ardo Health Post;;;;;
Bakori;Kandarawa Ward;;Unguwar Shantali Health Clinic;;;;;
Bakori;Kurami ;; Yankwani Ward;;;;;
Bakori;Tsiga Ward;;Babban Kufai Health Clinic;;;;;
Bakori;Tsiga Ward;;Gidan Bakoshi Health Clinic;;;;;
Bakori;Tsiga Ward;;Gidan Magina Health Post;;;;;
Bakori;Tsiga Ward;;Makurdi Dispensary;;;;;
Bakori;Tsiga Ward;;Rashidawa Health Post;;;;;
Bakori;Tsiga Ward;;Tsiga Maternal and Child Health Clinic;;;;;
Bakori;Tsiga Ward;;Yar Rumfa Health Clinic;;;;;
Bakori;Kwantakwaram Ward;;Barde Dispensary;;;;;
