Kano;Kano;AKTH NCDC Laboratory;PUBLIC
Lagos;Yaba;Central Public Health Laboratory (CPHL);PUBLIC
;Idi-Araba;Lagos University Teaching Hospital (LUTH);PUBLIC
;Yaba;Institute of Lassa Fever Research and Control (ILRC), Irrua Specialist Teaching Hospital (ISTH);PUBLIC
Edo;Irrua;LAHOR Research Lab;PUBLIC
;Benin-City;National Influenza Reference Laboratory (NIRL);PUBLIC
Abuja;Asokoro;Nigerian Institute for Medical Research (NIMR);PUBLIC
Osun;Ede;African Centre of Excellence for Genomics of Infectious Disesases (ACEGID), RUN;PUBLIC
Oyo;Ibadan;University College Hospital;PUBLIC
Sokoto;Sokoto;Usmanu Danfodiyo University Teaching Hospital;PUBLIC
Borno;Maiduguri;University of Maiduguri Teaching Hospital;PUBLIC
Rivers;Port-Harcourt;University of Port Harcourt;PUBLIC
