LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Akwanga;Agyaga Ward;;Ashe Primary Health Care Clinic;;;;;
Akwanga;Agyaga Ward;;Ninga Primary Health Centre;;;;;
Akwanga;Agyaga Ward;;Lalle Primary Health Centre;;;;;
Akwanga;Agyaga Ward;;Takpir Primary Health Centre;;;;;
Akwanga;Agyaga Ward;;Buba Clinic Rinze;;;;;
Akwanga;Agyaga Ward;;Akkah Primary Health Care Clinic;;;;;
Akwanga;Agyaga Ward;;Adde Primary Health Centre;;;;;
Akwanga;Agyaga Ward;;Risha Primary Health Care Clinic;;;;;
Akwanga;Agyaga Ward;;Agyaga Primary Health Centre;;;;;
Akwanga;Agyaga Ward;;Dubu Primary Health Centre;;;;;
Akwanga;Agyaga Ward;;Kwandar Primary Health Care Clinic;;;;;
Akwanga;Agyaga Ward;;Rinze Primary Health Centre;;;;;
Akwanga;Agyaga Ward;;Nintabi Primary Health Centre;;;;;
Akwanga;Agyaga Ward;;Koko Primary Health Care Clinic;;;;;
Akwanga;Agyaga Ward;;Tidde Primary Health Care Clinic;;;;;
Akwanga;Agyaga Ward;;Aban Primary Health Centre;;;;;
Akwanga;Akwanga East Ward;;Buku Primary Health Care Clinic;;;;;
Akwanga;Akwanga East Ward;;Nasara Clinic;;;;;
Akwanga;Akwanga East Ward;;Kaigbe Primary Health Care Centre;;;;;
Akwanga;Akwanga East Ward;;Wamba Road Primary Health Centre;;;;;
Akwanga;Akwanga East Ward;;Simaard Sauki Clinic;;;;;
Akwanga;Akwanga East Ward;;Gbunchu Primary Health Care Centre (MDGs);;;;;
Akwanga;Akwanga East Ward;;Akwanga Town Primary Health Centre (MDG);;;;;
Akwanga;Akwanga East Ward;;Nchikpe Primary Health Centre;;;;;
Akwanga;Akwanga East Ward;;Orient Hospital;;;;;
Akwanga;Akwanga East Ward;;Peace Clinic and Maternity (Akwanga);;;;;
Akwanga;Akwanga West Ward;;Akpomoshi Medical Centre;;;;;
Akwanga;Akwanga West Ward;;Trust in God Clinic Akwanga;;;;;
Akwanga;Akwanga West Ward;;Akwanga College of Education Health Centre;;;;;
Akwanga;Akwanga West Ward;;Akwanga Royal Hospital;;;;;
Akwanga;Akwanga West Ward;;Redemption Clinic;;;;;
Akwanga;Akwanga West Ward;;Akwanga General Hospital;;;;;
Akwanga;Akwanga West Ward;;Baptist Clinic Nga;;;;;
Akwanga;Akwanga West Ward;;Cheto Clinic Akwanga;;;;;
Akwanga;Ancho Ward;;Gbuwhen Health Clinic;;;;;
Akwanga;Ancho Ward;;Maven Primary Health Centre;;;;;
Akwanga;Ancho Ward;;Rija Primary Health Centre;;;;;
Akwanga;Ancho Ward;;Awon Primary Health Care Clinic;;;;;
Akwanga;Ancho Ward;;Ancho 'B' Primary Health Centre (MDGs);;;;;
Akwanga;Andaha Ward;;Andaha Primary Health Centre;;;;;
Akwanga;Andaha Ward;;Kantarza Primary Health Care Andaha;;;;;
Akwanga;Andaha Ward;;Bukata Clinic;;;;;
Akwanga;Andaha Ward;;Kpukpawu Comprehensive Health Centre;;;;;
Akwanga;Gudi Ward;;Angwan Habu Primary Health Care Clinic;;;;;
Akwanga;Gudi Ward;;Gudi Primary Health Care Clinic;;;;;
Akwanga;Gudi Ward;;SSC Gudi Primary Health Care Clinic;;;;;
Akwanga;Gudi Ward;;Sudir Clinic Gudi;;;;;
Akwanga;Gwanje Ward;;Gwanje District Health Office Facility;;;;;
Akwanga;Gwanje Ward;;Gwanje Primary Health Centre;;;;;
Akwanga;Gwanje Ward;;Gbuje Primary Health Centre;;;;;
Akwanga;Moroa/Anjida Ward;;Angwan Dariya Primary Health Care Clinic;;;;;
Akwanga;Moroa/Anjida Ward;;Angwan Yara Primary Health Care Clinic (Akwanga);;;;;
Akwanga;Moroa/Anjida Ward;;Bakin Kogi Primary Health Care Clinic (Moroa);;;;;
Akwanga;Moroa/Anjida Ward;;Moroa Primary Health Centre;;;;;
Akwanga;Moroa/Anjida Ward;;Anjida Primary Health Care Clinic;;;;;
Akwanga;Moroa/Anjida Ward;;Mochu Memorial Clinic;;;;;
Akwanga;Ninghaan Ward;;Numa District Health Office Health Facility;;;;;
Akwanga;Ninghaan Ward;;Bayan Dutse Primary Health Care Centre (MDGs);;;;;
Akwanga;Ninghaan Ward;;Nidan Primary Health Care Clinic;;;;;
Akwanga;Ningo/Boher Ward;;Ngaruwa Primary Health Care Clinic;;;;;
Akwanga;Ningo/Boher Ward;;Nghangum Primary Health Care Clinic;;;;;
Akwanga;Ningo/Boher Ward;;Alan Primary Health Centre Clinic;;;;;
Akwanga;Ningo/Boher Ward;;Gbunkpan Primary Health Centre;;;;;
Akwanga;Ningo/Boher Ward;;Ngache Primary Health Centre;;;;;
Akwanga;Ningo/Boher Ward;;Tabu Primary Health Centre (MDGs);;;;;
Akwanga;Nunku Ward;;Angwan Mallam Umaru Primary Health Care Clinic;;;;;
Akwanga;Nunku Ward;;Nunku Primary Health Centre;;;;;
Akwanga;Nunku Ward;;Angwan Jatau Primary Health Care Clinic;;;;;
Akwanga;Nunku Ward;;Angwan Dorawa Health Clinic;;;;;
Akwanga;Nunku Ward;;Nukuchu Primary Health Care Clinic;;;;;
Akwanga;Nunku Ward;;Anku Primary Health Care Clinic;;;;;
Awe;Akiri Ward;;Gwam Primary Health Centre;;;;;
Awe;Akiri Ward;;Akiri Comprehensive Health Centre;;;;;
Awe;Azara Ward;;Jimi Primary Health Care;;;;;
Awe;Azara Ward;;Jatau Memorial Clinic Azara;;;;;
Awe;Azara Ward;;Azara Primary Health Care Centre;;;;;
Awe;Azara Ward;;Azara Model Primary Health Centre;;;;;
Awe;Azara Ward;;Rugwagu Primary Health Centre;;;;;
Awe;Galadima Ward;;Algon Comprehensive Health Centre ;;;;;
Awe;Galadima Ward;;Ampana Primary Health Centre;;;;;
Awe;Galadima Ward;;Mahanga Health Clinic;;;;;
Awe;Galadima Ward;;Awe Old Town Health Clinic;;;;;
Awe;Jangaru Ward;;Jangaru Health Clinic;;;;;
Awe;Kanje/Abuni Ward;;Ihuman Primary Health Centre;;;;;
Awe;Kanje/Abuni Ward;;Abuni Primary Health Centre;;;;;
Awe;Kanje/Abuni Ward;;Kanje Health Clinic (Awe);;;;;
Awe;Madaki Ward;;Awe General Hospital;;;;;
Awe;Madaki Ward;;Jangargari Health Clinic;;;;;
Awe;Madaki Ward;;Akwate Primary Health Care;;;;;
Awe;Madaki Ward;;Nakowa Clinic Awe;;;;;
Awe;Madaki Ward;;Kafin Moyi Health Clinic;;;;;
Awe;Makwangiji Ward;;Baure Health Clinic;;;;;
Awe;Makwangiji Ward;;Gidin Kade Health Clinic;;;;;
Awe;Makwangiji Ward;;Awe Federal Staff Low Cost Health Clinic;;;;;
Awe;Makwangiji Ward;;Kekura Health Clinic;;;;;
Awe;Ribi Ward;;Ibi Alago Health Clinic;;;;;
Awe;Ribi Ward;;Jangwa Health Clinic;;;;;
Awe;Ribi Ward;;Model Primary Health Centre;;;;;
Awe;Ribi Ward;;Ribi Health Clinic;;;;;
Awe;Tunga Ward;;Tunga Health Clinic (Awe);;;;;
Awe;Tunga Ward;;Tsohon Tunga Primary Health Centre;;;;;
Awe;Wuse Ward;;Kumar Primary Health Centre;;;;;
Awe;Wuse Ward;;Wuse Comprehensive Health Centre;;;;;
Doma;Agbashi Ward;;Olegaboge Health Clinic;;;;;
Doma;Agbashi Ward;;Idadu Health Clinic;;;;;
Doma;Agbashi Ward;;Iponu Health Clinic;;;;;
Doma;Agbashi Ward;;Agbashi General Hospital;;;;;
Doma;Agbashi Ward;;Okpatta Health Clinic;;;;;
Doma;Agbashi Ward;;Agbashi Health Clinic;;;;;
Doma;Agbashi Ward;;Agirma Health Clinic;;;;;
Doma;Akpanaja Ward;;Ochepe Primary Health Centre;;;;;
Doma;Akpanaja Ward;;Akure-Basa Primary Health Centre;;;;;
Doma;Akpanaja Ward;;Obendo Primary Health Care Centre;;;;;
Doma;Akpanaja Ward;;Olegopa Primary Health Centre;;;;;
Doma;Akpanaja Ward;;Akpanaja Primary Health Care Centre;;;;;
Doma;Alagye Ward;;Mallamanza Primary Health Care Centre;;;;;
Doma;Alagye Ward;;Alagye Health Clinic;;;;;
Doma;Alagye Ward;;Mudu Primary Health Care Centre;;;;;
Doma;Alagye Ward;;Ruwan Baka Primary Health Care Centre;;;;;
Doma;Alagye Ward;;Burum-Burum Health Clinic;;;;;
Doma;Alagye Ward;;Okutuwa Primary Health Care Centre;;;;;
Doma;Alagye Ward;;Ruttu Primary Health Care Doma;;;;;
Doma;Alagye Ward;;Congo Lemu Primary Health Care Centre;;;;;
Doma;Alagye Ward;;Damba Primary Health Care Centre;;;;;
Doma;Doka Ward;;Ankoma Health Clinic;;;;;
Doma;Doka Ward;;Doka Health Clinic (Doma);;;;;
Doma;Doka Ward;;Gidan Rai Health Clinic;;;;;
Doma;Doka Ward;;Igbabo Health Clinic;;;;;
Doma;Doka Ward;;Ohina Mada Primary Health Care Centre;;;;;
Doma;Doka Ward;;Yelwa Health Clinic (Doma);;;;;
Doma;Galadima Ward (Doma);;Na,Kowa Health Clinic;;;;;
