LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Abeokuta North;Iberekodo Ward 1;;Insha Alahu Eweje;;;;;
Abeokuta North;Iberekodo Ward 1;;Itun Oluwo Health Clinic;;;;;
Abeokuta North;Iberekodo Ward 2;;Ikija Health Post;;;;;
Abeokuta North;Iberekodo Ward 3;;Royal Health Clinic;;;;;
Abeokuta North;Iberekodo Ward 4;;Abiye Clinic and Maternity Home;;;;;
Abeokuta North;Iberekodo Ward 4;;De Vicosa Hospital Limited;;;;;
Abeokuta North;Iberekodo Ward 4;;Elega Health Clinic;;;;;
Abeokuta North;Iberekodo Ward 5;;Shallom Hospital.;;;;;
Abeokuta North;Iberekodo Ward 5;;Charity Clinic and Maternity Home;;;;;
Abeokuta North;Iberekodo Ward 5;;Iberekodo Health Clinic;;;;;
Abeokuta North;Idiya Ward 12;;Olomore Health Centre ;;;;;
Abeokuta North;Idiya Ward 12;;Idiya Community Health Centre;;;;;
Abeokuta North;Idiya Ward 12;;Soyoye Health Post;;;;;
Abeokuta North;Idiya Ward 12;;Ita Oshin Health Clinic;;;;;
Abeokuta North;Idiya Ward 12;;Adeun Health Clinic;;;;;
Abeokuta North;Idiya Ward 12;;Mile2 Health Post;;;;;
Abeokuta North;Ikereku i Ward 15;;Isaga Orile General Hospital;;;;;
Abeokuta North;Ikereku i Ward 15;;Ilewo Orile Health Clinic;;;;;
Abeokuta North;Ikereku i Ward 15;;Fagbenro Health Clinic;;;;;
Abeokuta North;Ikereku i Ward 15;;Ikereku Health Clinic;;;;;
Abeokuta North;Ikereku ii Ward 16;;Ile-Ise Awo Health Clinic;;;;;
Abeokuta North;Ikereku ii Ward 16;;Ibara Orile Health Clinic;;;;;
Abeokuta North;Ikereku ii Ward 16;;Idi-Ori Health Clinic;;;;;
Abeokuta North;Imala Idi-Emi Ward 14;;Idi-Emi Health Clinic;;;;;
Abeokuta North;Imala Idi-Emi Ward 14;;Anigbado Health Clinic;;;;;
Abeokuta North;Imala Idi-Emi Ward 14;;Imala Model Primary Health Care;;;;;
Abeokuta North;Olorunda Ward 13;;Olurunda Health Centre;;;;;
Abeokuta North;Olorunda Ward 13;;Keesan Health Centre;;;;;
Abeokuta North;Sabo i Ward 8;;Lafenwa Health Clinic;;;;;
Abeokuta North;Sabo i Ward 8;;Abraham Clinic and Maternity Home;;;;;
Abeokuta North;Sabo ii Ward 9;;Sabo Health Clinic;;;;;
Abeokuta North;Sabo ii Ward 9;;Oluwaseyi Clinic & Maternity Home;;;;;
Abeokuta North;Sabo ii Ward 9;;Brims Hospital;;;;;
Abeokuta North;Sabo ii Ward 9;;Ayobami Hospital;;;;;
Abeokuta North;Totoro 1 Ward 6;;Ikeye Health Clinic;;;;;
Abeokuta North;Totoro ii Ward 7;;Igosun Health Clinic;;;;;
Abeokuta North;Totoro iii Ward 10;;Enugada Health Clinic;;;;;
Abeokuta North;Totoro iv Ward 11;;Ademuyiwa Clinic Maternity Home;;;;;
Abeokuta South;Abule-Oloni/Lantoro Ward 3;;Omotolase Maternity Home ;;;;;
Abeokuta South;Abule-Oloni/Lantoro Ward 3;;Overcomer's Medical Centre;;;;;
Abeokuta South;Abule-Oloni/Lantoro Ward 3;;Abule-Oloni Health Post;;;;;
Abeokuta South;Ake Ward 1;;Royal Health Post;;;;;
Abeokuta South;Emere Kugba - Ward 8;;Kugba Health Centre;;;;;
Abeokuta South;Erunbe Ward 8;;Erunbe Health Clinic;;;;;
Abeokuta South;Ijaiye Ward 7;;Abeokuta State Hospital;;;;;
Abeokuta South;Ijaiye Ward 7;;Solar Medical and Dental Centre;;;;;
Abeokuta South;Ijaiye Ward 7;;Ijaiye Health Post;;;;;
Abeokuta South;Ijeun Titun Ward 9;;Ijeun Health Centre;;;;;
Abeokuta South;Imo/Kuto Ward;;Egbe Medical Centre;;;;;
Abeokuta South;Imo/Kuto Ward;;First Contact Hospital, Kuto;;;;;
Abeokuta South;Imo/Kuto Ward;;Imo/Kuto Health Centre;;;;;
Abeokuta South;Isale Ijeun Ward;;Isale Ijeun Health Centre;;;;;
Abeokuta South;Isale Ijeun Ward;;Oba Gbadebo Health Clinic;;;;;
Abeokuta South;Keesi/Emere Ward 4;;Keesi Primary Health Centre;;;;;
Abeokuta South;Keesi/Emere Ward 4;;Omotara Memorial Hospital;;;;;
Abeokuta South;Keesi/Emere Ward 4;;Juli-Bam Clinic;;;;;
Abeokuta South;Kemta Ward;;Apataiye Clinic;;;;;
Abeokuta South;Kugba Ward 2;;Olukoye Community Hospital;;;;;
Abeokuta South;Kugba Ward 2;;Omolabake Clinic and Maternity;;;;;
