LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Afijio;Ilora I;;Akinlolu Mat Centre;PRIMARY;PRIVATE;;;
Afijio;Ilora Ii;;Okediji Mat Center;PRIMARY;PUBLIC;;;
Afijio;Ilora Ii;;Ilora Maternity Center;PRIMARY;PUBLIC;;;
Afijio;Ilora Ii;;Emmanuel Excel Maternity;SECONDARY;PRIVATE;;;
Afijio;Ilora Ii;;Ilora Primary Health Centre;PRIMARY;PUBLIC;;;
Afijio;Ilora Ii;;Ilora General Hospital;SECONDARY;PUBLIC;;;
Afijio;Ilora Iii;;Idi Igba Health Post;PRIMARY;PUBLIC;;;
Afijio;Ilora Iii;;Asaju Health Post;PRIMARY;PUBLIC;;;
Afijio;Ilora Iii;;Bisol Medical Centre;SECONDARY;PRIVATE;;;
Afijio;Ilora Iii;;Aribombo Health Post;PRIMARY;PUBLIC;;;
Afijio;Ilora Iii;;Farm Settlement Health Post;PRIMARY;PUBLIC;;;
Afijio;Ilora Iii;;Onofa Health Post;PRIMARY;PUBLIC;;;
Afijio;Ilora Iii;;Ajayi Memorial Hospital;SECONDARY;PRIVATE;;;
Afijio;Fiditi I;;Ayetoro Health Post;PRIMARY;PUBLIC;;;
Afijio;Fiditi Ii;;Fiditi General Hospital;SECONDARY;PUBLIC;;;
Afijio;Fiditi Ii;;Fiditi Primary Health Center;PRIMARY;PUBLIC;;;
Afijio;Fiditi Ii;;Isioye Health Post;PRIMARY;PRIVATE;;;
Afijio;Awe I;;Ijaye Ojutaye Maternity Center;PRIMARY;PUBLIC;;;
Afijio;Awe Ii;;Awe Maternity Center;PRIMARY;PUBLIC;;;
Afijio;Awe Ii;;Sheperde Mat & Clinic Welfare;SECONDARY;PRIVATE;;;
Afijio;Awe Ii;;Oke Ofin Health Post;PRIMARY;PUBLIC;;;
Afijio;Akinmorin;;Oniwasi Health Post;PRIMARY;PUBLIC;;;
Afijio;Akinmorin;;Akinmorin Ecc;PRIMARY;PUBLIC;;;
Afijio;Iware;;Jobele  Maternity Center;PRIMARY;PUBLIC;;;
Afijio;Iware;;Iware Maternity Center;PRIMARY;PUBLIC;;;
Afijio;Imini ;;Aba Adio Maternity Center;PRIMARY;PUBLIC;;;
Afijio;Imini ;;Imini Maternity Center;PRIMARY;PUBLIC;;;
Afijio;Imini ;;Obanako Health Post;PRIMARY;PUBLIC;;;
Afijio;Imini ;;Iluaje Health Post;PRIMARY;PUBLIC;;;
Afijio;Imini ;;Araromi Health Post;PRIMARY;PUBLIC;;;
Akinyele;Ikereku;;Ikereku Primary Health Centre;PRIMARY;PUBLIC;;;
Akinyele;Alade;;Alade Health Centre;PRIMARY;PUBLIC;;;
Akinyele;Alade;;Pade Health Centre;PRIMARY;PUBLIC;;;
Akinyele;Aroro;;Aroro Health Centre;PRIMARY;PUBLIC;;;
Akinyele;Aroro;;Adegbite Cut Hospital;SECONDARY;PRIVATE;;;
Akinyele;Onidundun;;Onidundu Health Post;PRIMARY;PUBLIC;;;
Akinyele;Onidundun;;Ileba Health Post;PRIMARY;PUBLIC;;;
Akinyele;Moniya;;Moniya Primary Health Centre;PRIMARY;PUBLIC;;;
Akinyele;Akinyele;;Akinyele Health Centre;PRIMARY;PUBLIC;;;
Akinyele;Akinyele;;Alagba Haelth Centre;PRIMARY;PUBLIC;;;
