LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Abua/Odual;Abua/Odual Ward 1                            ;;Ogbema Model Primary Health Centre;;;;;
Abua/Odual;Abua/Odual Ward 10   ;;Okolomade Health Post;;;;;
Abua/Odual;Abua/Odual Ward 11  ;;Emago Health Post;;;;;
Abua/Odual;Abua/Odual Ward 12  ;;Amuruto Health Post;;;;;
Abua/Odual;Abua/Odual Ward 12  ;;Akani Health Post;;;;;
Abua/Odual;Abua/Odual Ward 13  ;;Anyu Model Primary Health Centre;;;;;
Abua/Odual;Abua/Odual Ward 13  ;;Emirikpoko Health Post;;;;;
Abua/Odual;Abua/Odual Ward 13  ;;Odau Health Post;;;;;
Abua/Odual;Abua/Odual Ward 2   ;;Arukwo Primary Health Clinic;;;;;
Abua/Odual;Abua/Odual Ward 3   ;;Abua General Hospital;;;;;
Abua/Odual;Abua/Odual Ward 4   ;;Ayama PHC;;;;;
Abua/Odual;Abua/Odual Ward 5   ;;Obarany Primary Health Centre;;;;;
Abua/Odual;Abua/Odual Ward 5   ;;Okoboh Primary Health Centre;;;;;
Abua/Odual;Abua/Odual Ward 5   ;;Emesu Primary Health Centre;;;;;
Abua/Odual;Abua/Odual Ward 6   ;;Aminigboko Cottage Hospital;;;;;
Abua/Odual;Abua/Odual Ward 6   ;;Aminiowere Primary Health Clinic;;;;;
Abua/Odual;Abua/Odual Ward 7   ;;Otapha Comprehensive Primary Health Centre;;;;;
Abua/Odual;Abua/Odual Ward 8   ;;Emoh Health Post;;;;;
Abua/Odual;Abua/Odual Ward 8   ;;Egbolom PHC;;;;;
Abua/Odual;Abua/Odual Ward 8   ;;Ogonokom Primary Health Centre;;;;;
Abua/Odual;Abua/Odual Ward 8   ;;Elok Primary Health Centre;;;;;
Abua/Odual;Abua/Odual Ward 8   ;;Iyak Primary Health Centre;;;;;
Abua/Odual;Abua/Odual Ward 8   ;;Agada MPHC;;;;;
Abua/Odual;Abua/Odual Ward 9   ;;Ogboloma Health Post;;;;;
Abua/Odual;Abua/Odual Ward 9   ;;Adada PHC;;;;;
Ahoada East;Ahoada East  Ward 6;;Ochigba Primary Health Centre;;;;;
Ahoada East;Ahoada East Ward 10;;Ihuama MPHC;;;;;
Ahoada East;Ahoada East Ward 10;;Ihuowo PHC;;;;;
Ahoada East;Ahoada East Ward 10;;Ihuaba Primary Health Centre;;;;;
Ahoada East;Ahoada East Ward 11;;Odhiaje Primary Health Centre;;;;;
Ahoada East;Ahoada East Ward 11;;Odiemudie Primary Health Centre;;;;;
Ahoada East;Ahoada East Ward 12;;Ihugbogo Model Primary Health Centre;;;;;
Ahoada East;Ahoada East Ward 12;;Okporomini Primary Health Centre;;;;;
Ahoada East;Ahoada East Ward 13;;Ogbo Primary Health Centre;;;;;
Ahoada East;Ahoada East Ward 13;;Ula-Ehuda Primary Health Centre;;;;;
Ahoada East;Ahoada East Ward 13;;Ihuaje Model Primary Health Centre;;;;;
Ahoada East;Ahoada East Ward 13;;Abarikpo Primary Health Centre;;;;;
Ahoada East;Ahoada East Ward 3;;Ahoada MPHC;;;;;
Ahoada East;Ahoada East Ward 4;;Ahoada General Hospital;;;;;
Ahoada East;Ahoada East Ward 4;;Okpeden Medical Centre;;;;;
Ahoada East;Ahoada East Ward 5;;Edeoha Primary Health Centre;;;;;
Ahoada East;Ahoada East Ward 7;;Ula-Upata MPHC;;;;;
Ahoada East;Ahoada East Ward 8;;Odiabidi Primary Health Centre;;;;;
Ahoada East;Ahoada East Ward 8;;Okporowo Primary Health Centre;;;;;
Ahoada East;Ahoada East Ward 9;;Ogbele Primary Health Centre;;;;;
Ahoada West;Ahoada West  Ward 1;;Akinima Model Primary Health Centre;;;;;
Ahoada West;Ahoada West  Ward 1;;Oshie PHC;;;;;
Ahoada West;Ahoada West  Ward 11;;Oyigba Primary Health Centre;;;;;
Ahoada West;Ahoada West  Ward 11;;Ubarama  Health Post;;;;;
Ahoada West;Ahoada West  Ward 11;;Ubio Health Centre;;;;;
Ahoada West;Ahoada West  Ward 12;;Ula-Ubie Health Post;;;;;
Ahoada West;Ahoada West  Ward 2;;Mbiama Primary Health Centre;;;;;
Ahoada West;Ahoada West  Ward 3;;Odawu Primary Health Centre;;;;;
Ahoada West;Ahoada West  Ward 3;;Joinkrama General Hospital;;;;;
Ahoada West;Ahoada West  Ward 4;;Ogbogolo Health Post;;;;;
Ahoada West;Ahoada West  Ward 4;;Udoda Health Post;;;;;
Ahoada West;Ahoada West  Ward 4;;Okarki Model Primary Health Centre;;;;;
Ahoada West;Ahoada West  Ward 4;;Okparaki Primary Health Centre;;;;;
Ahoada West;Ahoada West  Ward 4;;Igovia Primary Health Centre;;;;;
Ahoada West;Ahoada West  Ward 4;;Ikodi-Engeni Model Primary Health Centre;;;;;
Ahoada West;Ahoada West  Ward 4;;Akiogbologbolo Health Post;;;;;
Ahoada West;Ahoada West  Ward 5;;Ogbolobogbo Health Centre;;;;;
Ahoada West;Ahoada West  Ward 5;;Ogbede PrimaryHealth Centre;;;;;
Ahoada West;Ahoada West  Ward 5;;Okogbe Primary Health Centre;;;;;
Ahoada West;Ahoada West  Ward 6;;Ukpelede Primary Health Centre;;;;;
Ahoada West;Ahoada West  Ward 6;;Idu-Ekpeye Health Centre;;;;;
Ahoada West;Ahoada West  Ward 7;;Emezi 1 Primary Health Centre ;;;;;
Ahoada West;Ahoada West  Ward 8;;Upatabo PHC;;;;;
Ahoada West;Ahoada West  Ward 9;;Odiereke- Ubie MPHC;;;;;
Akuku Toru;Akuku Toru Ward 1;;Abonnema MPHC;;;;;
Akuku Toru;Akuku Toru Ward 13;;Abonnema General Hospital;;;;;
Akuku Toru;Akuku Toru Ward 14;;Obonoma Model Primary Health Centre;;;;;
Akuku Toru;Akuku Toru Ward 15;;Kula Comprehensive Primary Health Centre;;;;;
Akuku Toru;Akuku Toru Ward 17;;Elem-Sangama PHC;;;;;
Akuku Toru;Akuku Toru Ward 17;;Idama Primary Health Centre;;;;;
Akuku Toru;Akuku Toru Ward 17;;Abissa Primary Health Centre;;;;;
Andoni;Andoni Ward 1;;Ngo Primary Health Centre;;;;;
Andoni;Andoni Ward 1;;Ngo General Hospital;;;;;
Andoni;Andoni Ward 10;;Ataba Comprehensive Health Centre;;;;;
Andoni;Andoni Ward 2;;Egwede Health Centre;;;;;
Andoni;Andoni Ward 2;;Akaradi Health Centre;;;;;
Andoni;Andoni Ward 2;;Unyengala Comprehensive Health Centre;;;;;
Andoni;Andoni Ward 2;;Oron-Ija Health Clinic;;;;;
Andoni;Andoni Ward 3;;Oyorokoto Health Centre;;;;;
Andoni;Andoni Ward 3;;Ilotombi Health Centre;;;;;
