LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Ardo-Kola;Alingora Ward;;Sibre Maternal and Child Health Center;;;;;
Ardo-Kola;Alingora Ward;;Sebri United Methodist Church of Nigeria Clinic;;;;;
Ardo-Kola;Alingora Ward;;Aligora Maternal Child Health;;;;;
Ardo-Kola;Alingora Ward;;Gongo Ibbi Dispensary;;;;;
Ardo-Kola;Ardo-Kola Ward;;Ardo-Kola Maternal and Child Health Clinic;;;;;
Ardo-Kola;Ardo-Kola Ward;;Kondo MDG Clinic;;;;;
Ardo-Kola;Ardo-Kola Ward;;Barka .A. Dispensary;;;;;
Ardo-Kola;Ardo-Kola Ward;;Kachalla Kanku clinic;;;;;
Ardo-Kola;Bekin Duste Ward;;Kasuwan Ladi MDG Clinic;;;;;
Ardo-Kola;Bekin Duste Ward;;Danji Dispensary;;;;;
Ardo-Kola;Bekin Duste Ward;;Bakin Duste MDG Clinic;;;;;
Ardo-Kola;Bekin Duste Ward;;Bekin Dutse Town Clinic;;;;;
Ardo-Kola;Bekin Duste Ward;;Ubandoma Clinic;;;;;
Ardo-Kola;Bekin Duste Ward;;Sunkani Maternal Child Health;;;;;
Ardo-Kola;Bekin Duste Ward;;Sunkani Town Clinic;;;;;
Ardo-Kola;Bekin Duste Ward;;Garin Ayuba Dispensary;;;;;
Ardo-Kola;Bekin Duste Ward;;sunkani First Referral Hospital;;;;;
Ardo-Kola;Iware Ward;;Miyeti Allah Clinic;;;;;
Ardo-Kola;Iware Ward;;Iware Maternal and Child Health Clinic;;;;;
Ardo-Kola;Iware Ward;;Garin Jatau Dispensary;;;;;
Ardo-Kola;Iware Ward;;Jama'a Clinic;;;;;
Ardo-Kola;Jauro Yinu Ward;;Nathy Zion Clinic;;;;;
Ardo-Kola;Jauro Yinu Ward;;Murbai Dispensary;;;;;
Ardo-Kola;Jauro Yinu Ward;;Jauro Yinu Saint Peter Clinic;;;;;
Ardo-Kola;Jauro Yinu Ward;;Kofai Maternal Child Health;;;;;
Ardo-Kola;Jauro Yinu Ward;;Lafiya Clinic and Maternity;;;;;
Ardo-Kola;Lamido Borno Ward;;Ladde Dispensary;;;;;
Ardo-Kola;Lamido Borno Ward;;Cheudo Dispensary;;;;;
Ardo-Kola;Lamido Borno Ward;;Chakawo Dispensary;;;;;
Ardo-Kola;Lamido Borno Ward;;Wuro Yolde Dispensary;;;;;
Ardo-Kola;Lamido Borno Ward;;Wuro Baka 'B' Clinic;;;;;
Ardo-Kola;Lamido Borno Ward;;Lamido Borno Maternal Child Health;;;;;
Ardo-Kola;Mallum Ward  ;;Jemi Health Post;;;;;
Ardo-Kola;Mayo Renewo Ward;;Mayo-Ranewo Maternal and Child Health Clinic;;;;;
Ardo-Kola;Mayo Renewo Ward;;Munchi Health Post;;;;;
Ardo-Kola;Mayo Renewo Ward;;Gaskiya Clinic;;;;;
Ardo-Kola;Mayo Renewo Ward;;Jiru Dispensary;;;;;
Ardo-Kola;Tau Ward;;Shomogali Dispensary;;;;;
Ardo-Kola;Tau Ward;;Tau Maternal Child Health Clinic;;;;;
Ardo-Kola;Tau Ward;;Bansuwe Dispensary;;;;;
Ardo-Kola;Tau Ward;;Karin Laze Dispensary;;;;;
Ardo-Kola;Zango Kombi Ward;;Makanu Millennium Development Goal Clinic;;;;;
Ardo-Kola;Zango Kombi Ward;;Zango Kombi Maternal and Child Health Clinic;;;;;
Ardo-Kola;Zango Kombi Ward;;Ngalbije Dispensary;;;;;
Ardo-Kola;Zango Kombi Ward;;Kare-Kare Dispensary;;;;;
Bali;Bali A Ward;;Jammirri Health Clinic;;;;;
Bali;Bali A Ward;;Elshadai Clinic;;;;;
Bali;Bali A Ward;;Sancta Maria Clinic;;;;;
Bali;Bali A Ward;;Gazabu Dispensary;;;;;
Bali;Bali B Ward;;Sabon Dale Dispensary;;;;;
Bali;Bali B Ward;;Bali General Hospital;;;;;
Bali;Bali B Ward;;Bali Town Clinic;;;;;
Bali;Gang Dole Ward;;Nyawanti Dispensary;;;;;
Bali;Gang Dole Ward;;Dakka Maternal and Child Health Clinic;;;;;
Bali;Gang lari Ward;;Ganpentoni Dispensary;;;;;
Bali;Gang lari Ward;;Nyawati Dispensary;;;;;
Bali;Gang Mata Ward;;Pamanga Dispensary;;;;;
Bali;Gang Mata Ward;;Dadin Kowa Health Clinic;;;;;
Bali;Gang Tiba Ward;;Dekusum Dispensary;;;;;
Bali;Kaigama Ward;;Kwal Bati Mairuwa Health Post;;;;;
Bali;Kaigama Ward;;Maisaje Yandang Dispensary;;;;;
Bali;Kaigama Ward;;Maibultu MCH;;;;;
Bali;Kaigama Ward;;Garba Chede Basic Health Clinic;;;;;
Bali;Kussum Ward;;Mayo Kam Dispensary;;;;;
Bali;Kussum Ward;;Pangiri Dispensary;;;;;
Bali;Kussum Ward;;Sarkin Dawa Dispensary;;;;;
Bali;Kussum Ward;;Sansani Badakoshi Dispensary;;;;;
Bali;Kussum Ward;;Mayo Kam Maternal Child Health Clinic;;;;;
Bali;Maihula Ward;;Mai Hula Health Clinic;;;;;
Bali;Maihula Ward;;Dadin Kowa Dispensary;;;;;
Bali;Maihula Ward;;Mai Goro Dispensary;;;;;
Bali;Maihula Ward;;Wurbo Dispensary;;;;;
Bali;Suntai Ward           ;;Suntai Maternal and Child Health Clinic (Bali);;;;;
Bali;Suntai Ward           ;; Zagah Dispensary;;;;;
Bali;Suntai Ward           ;;Kungana Maternal Child Health Clinic;;;;;
Bali;Suntai Ward           ;;Maigoge Dispensary;;;;;
Bali;Suntai Ward           ;;Kwassa Health Clinic;;;;;
Bali;Suntai Ward           ;;Tugan Zakki Dispensary;;;;;
Bali;Taka lafiya Ward;;Mallam Yero Health Centre;;;;;
Bali;Taka lafiya Ward;;Taka Lafiya Maternal and Child Health Clinic;;;;;
Bali;Taka lafiya Ward;;Yelwa Dispensary;;;;;
Bali;Taka lafiya Ward;;Borno Kurukuru Dispensary;;;;;
Donga;Akate Ward;;Afogba Health Clinic;;;;;
Donga;Akate Ward;;Sundan Health Facility;;;;;
Donga;Akate Ward;;Akate Maternal and Child Health Clinic;;;;;
Donga;Akate Ward;;Gbundu Health Centre;;;;;
Donga;Akate Ward;;Samgambe Health Facility;;;;;
Donga;Akate Ward;;Torgenyi Health Facility;;;;;
Donga;Akate Ward;;Tor-Damisa Health Centre;;;;;
Donga;Asibiti Ward;;Ayu Health Facility;;;;;
Donga;Asibiti Ward;;Denden Health Clinic;;;;;
Donga;Asibiti Ward;;Donga First Referral Hospital;;;;;
Donga;Asibiti Ward;;Adugu Health Facility;;;;;
Donga;Asibiti Ward;;Donga Maternal and Child Health Centre;;;;;
Donga;Asibiti Ward;;Gaza Health Facility;;;;;
Donga;Asibiti Ward;;Ananum Basic Health Clinic;;;;;
Donga;Fada Ward;;Fada Health Centre;;;;;
Donga;Fada Ward;;Gidan Maimagani Health Centre;;;;;
Donga;Gayama Ward;;Tudun-Wada Health Facility;;;;;
Donga;Gayama Ward;;Tatin-Ndoro Health Facility;;;;;
Donga;Gayama Ward;;Bibinu Maternal Child Health Clinic;;;;;
Donga;Gayama Ward;;Lagos Buban Health Facility;;;;;
Donga;Gayama Ward;;Tudun Haske Health Facility;;;;;
Donga;Gayama Ward;;Tudun Beekhan Maternal Child Health Centre;;;;;
Donga;Gayama Ward;;Gbawana Health Clinic;;;;;
Donga;Gayama Ward;;Jatau Benyi Health Facility;;;;;
Donga;Gyata Aure Ward;;Donga Health Clinic (C.R.C.N );;;;;
Donga;Gyata Aure Ward;;Gyata Aure Health Centre;;;;;
Donga;Kadarko Ward;;Burkonu Health Facility;;;;;
Donga;Kadarko Ward;;Igo Health Centre;;;;;
Donga;Kadarko Ward;;Sabongida Gida Suntai Maternal Health Centre;;;;;
Donga;Kadarko Ward;;Kadarko Health Clinic;;;;;
Donga;Kadarko Ward;;Utile Health Facility;;;;;
Donga;Kumbo Ward;;Sasso Health Clinic;;;;;
Donga;Kumbo Ward;;Kumbo Maternal and Child Health Clinic;;;;;
Donga;Kumbo Ward;;Nyivo Maternal Health Clinic;;;;;
Donga;Mararaba Ward;;Gankwe Assen Health Centre;;;;;
Donga;Mararaba Ward;;Garleya Health Facility;;;;;
Donga;Mararaba Ward;;Gidan Adamu Health Clinic;;;;;
Donga;Mararaba Ward;;Mararaba Basic Health Clinic;;;;;
Donga;Mararaba Ward;;Mararraba  Health Post (C.R.C.N);;;;;
Donga;Nyita Ward;;Nhuhwa Health Clinic;;;;;
Donga;Nyita Ward;;Nyimui Health Clinic;;;;;
Donga;Nyita Ward;;Nyita Maternal and Child Health Clinic;;;;;
Donga;Suntai Ward;;Suntai Maternal and Child Health Clinic (Donga);;;;;
Donga;Suntai Ward;;Pasoki Health Clinic;;;;;
Gashaka;Galimjina Ward;;Bodel Primary Health Center;;;;;
Gashaka;Galimjina Ward;;Gamen  MCH;;;;;
Gashaka;Galimjina Ward;;Nyabar Dispensary;;;;;
Gashaka;Gangumi Ward;;Gangumi Maternity;;;;;
Gashaka;Gangumi Ward;;Kwagiri Dispensary;;;;;
Gashaka;Garbabi Ward;;Kabarin Bature Dispensary;;;;;
Gashaka;Garbabi Ward;;Garbabi Primary Health Center;;;;;
Gashaka;Garbabi Ward;;Garbabbi Maternity;;;;;
Gashaka;Gashaka Ward;;Selbe Maternity;;;;;
Gashaka;Gashaka Ward;;Gashaka NCF Clinic;;;;;
Gashaka;Gayam Ward;;Gayam  Primary Health Center;;;;;
Gashaka;Gayam Ward;;Gayam Maternity;;;;;
