LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Bade;Dagona Ward;;Bizi Health Centre;;;;;
Bade;Dagona Ward;;Dagona Health Clinic;;;;;
Bade;Dagona Ward;;Dalah Health Centre;;;;;
Bade;Dawayo Ward;;Jigawa Health Centre;;;;;
Bade;Dawayo Ward;;Azbak Health Clinic;;;;;
Bade;Dawayo Ward;;Dawayo Dispensary;;;;;
Bade;Dawayo Ward;;Azam Kura Dispensary;;;;;
Bade;Gwio Kura Ward;;Gwio Kura Maternity and Child Health;;;;;
Bade;Gwio Kura Ward;;Ngeljabe Dispensary;;;;;
Bade;Gwio Kura Ward;;Ngelbowa Health Centre;;;;;
Bade;Katuzu Ward;;Bade Clinic;;;;;
Bade;Lawan Fannami Ward;;Babuje Dispensary;;;;;
Bade;Lawan Musa Ward;;Lawan Musa Maternity and Child Health Clinic;;;;;
Bade;Sabon Gari Ward;;Gashua Sabon Gari General Hospital;;;;;
Bade;Sabon Gari Ward;;Sabon Gari Child Welfare Clinic;;;;;
Bade;Sabon Gari Ward;;Nasara Clinic;;;;;
Bade;Sarkin Hausawa Ward;;Central Dispensary;;;;;
Bade;Sugum Ward;;Tagama Dispensary;;;;;
Bade;Sugum Ward;;Sugum Dispensary;;;;;
Bade;Sugum Ward;;Tagali Dispensary;;;;;
Bade;Sugum Ward;;Sugum Comprehensive Health Centre;;;;;
Bade;Sugum Ward;;Gabarwa Dispensary;;;;;
Bade;Zango Ward;;Zango Dispensary;;;;;
Bursari;Bayamari Ward;;Damaya Dispensary;;;;;
Bursari;Bayamari Ward;;Bayamari Maternity and Child Health Clinic;;;;;
Bursari;Danani Lawanti Ward;;Turbangida Dispensary;;;;;
Bursari;Danani Lawanti Ward;;Danani Dispensary;;;;;
Bursari;Danani Lawanti Ward;;Lawanti Dispensary;;;;;
Bursari;Dapchi Ward;;Ibrahim GeidamMaternity and Child Health Clinic;;;;;
Bursari;Dapchi Ward;;Bade Gana Dispensary;;;;;
Bursari;Dapchi Ward;;Jaba Dispensary;;;;;
Bursari;Dapchi Ward;;Dapchi General Hospital;;;;;
Bursari;Guba Dapso Ward;;Gilbasu Dispensary;;;;;
Bursari;Guba Dapso Ward;;Marari Dispensary;;;;;
Bursari;Guba Dapso Ward;;Sunowa Dispensary;;;;;
Bursari;Guba Dapso Ward;;Garin Kabaju Dispensary;;;;;
Bursari;Guba Dapso Ward;;Dapso Dispensary;;;;;
Bursari;Guba Dapso Ward;;Kankare Dispensary;;;;;
Bursari;Guba Dapso Ward;;Guba Health Clinic;;;;;
Bursari;Guji Metalari Ward;;Dalari Health Clinic;;;;;
Bursari;Guji Metalari Ward;;Bururu Dispensary;;;;;
Bursari;Guji Metalari Ward;;Kujikujiri Dispensary;;;;;
Bursari;Guji Metalari Ward;;Ajiri Dispensary;;;;;
Bursari;Jawa Garun Dole Ward;;Garun Dole Dispensary;;;;;
Bursari;Jawa Garun Dole Ward;;Renukunu Dispensary;;;;;
Bursari;Jawa Garun Dole Ward;;Tarbutu Dispensary;;;;;
Bursari;Jawa Garun Dole Ward;;Koromari Dispensary;;;;;
Bursari;Jawa Garun Dole Ward;;Garin Alkali Dispensary;;;;;
Bursari;Jawa Garun Dole Ward;;Ilela Dispensary;;;;;
Bursari;Jawa Garun Dole Ward;;Girim Dispensary;;;;;
Bursari;Juliri Damnawa Ward;;Juluri Dispensary;;;;;
Bursari;Kaliyari Ward;;Kaliyari Dispensary;;;;;
Bursari;Kaliyari Ward;;Warodi Dispensary;;;;;
Bursari;Kurnawa Ward;;Abbari Dispensary;;;;;
Bursari;Kurnawa Ward;;Kurnawa Mother and Child Health Centre;;;;;
Bursari;Masaba Ward;;Dumburi Dispensary;;;;;
Bursari;Masaba Ward;;Dadigar Dispensary;;;;;
Bursari;Masaba Ward;;Gadine Dispensary;;;;;
Bursari;Masaba Ward;;Gangawa Dispensary;;;;;
Bursari;Masaba Ward;;Masaba Health Clinic;;;;;
Damaturu;Bindigari Pawari Ward;;Damaturu FSP Maternal and Child Health Clinic;;;;;
Damaturu;Damakasu Ward;;Damakasu Dispensary;;;;;
Damaturu;Damaturu Central Ward;;State Specialist Hospital;;;;;
Damaturu;Damaturu Central Ward;;Damaturu Nigerian Police Force Clinic;;;;;
Damaturu;Damaturu Central Ward;;Ajari Dispensary;;;;;
Damaturu;Gambir Moduri Ward;;Gambir Dispensary;;;;;
Damaturu;Gwange Njiwaji Ward;;Gwange Maternity and Child Health Clinic;;;;;
Damaturu;Kallalawa Gabai Ward;;Kalallawa Dispensary;;;;;
Damaturu;Kallalawa Gabai Ward;;Gabai Dispensary;;;;;
Damaturu;Kukareta Warsala Ward;;Kukareta Maternity and Child Health Clinic;;;;;
Damaturu;Maisandari W Ibrahim Ward;;Maisandari Clinic;;;;;
Damaturu;Murfa Kalam Ward;;Murfa Kalam Dispensary;;;;;
Damaturu;Murfa Kalam Ward;;Dikumari Dispensary;;;;;
Damaturu;Nayinanawa Ward;;Nayinawa Dispensary;;;;;
Damaturu;Sasawa Kabaru Ward;;Sasawa Dispensary;;;;;
Fika;Fika Anze Ward;;Fika Maternity and Child Health Clinic;;;;;
Fika;Fika Anze Ward;;Fika General Hospital;;;;;
Fika;Fika Anze Ward;;Fika Community Sunna Clinic;;;;;
Fika;Gadaka Shembire Ward;;Garin Goge Dispensary;;;;;
Fika;Gadaka Shembire Ward;;Garin Gamji Health Clinic;;;;;
Fika;Gadaka Shembire Ward;;Gadaka Model Primary Health Centre;;;;;
Fika;Gadaka Shembire Ward;;Zamba Health Post;;;;;
Fika;Gadaka Shembire Ward;;Koyaya Health Clinic;;;;;
Fika;Garu Ward;;Garin Tongo Health Post;;;;;
Fika;Garu Ward;;Kukar Gadu Health Clinic;;;;;
Fika;Garu Ward;;Daya Health Clinic;;;;;
Fika;Garu Ward;;Chana Dispensary;;;;;
Fika;Garu Ward;;Yelwa Dispensary;;;;;
Fika;Garu Ward;;Siminti Model Primary Health Clinic;;;;;
Fika;Gudi Dozi Ward;;Garin Alaramma Health Post;;;;;
Fika;Gudi Dozi Ward;;Dole Health Post;;;;;
Fika;Gudi Dozi Ward;;Godowoli Dispensary;;;;;
Fika;Gudi Dozi Ward;;Garkuwa Health Clinic;;;;;
Fika;Gudi Dozi Ward;;Kabano Health Clinic;;;;;
Fika;Gudi Dozi Ward;;Lewe Health Clinic;;;;;
Fika;Gudi Dozi Ward;;Doto Fara Health Clinic;;;;;
Fika;Gudi Dozi Ward;;Zadawa Health Clinic;;;;;
Fika;Janga Ward;;Janga Dole Health Clinic;;;;;
Fika;Janga Ward;;Gashaka Health Clinic;;;;;
Fika;Janga Ward;;Kurmi Dispensary;;;;;
Fika;Janga Ward;;Janga Siri Health Post;;;;;
Fika;Janga Ward;;Dogo Abare Health Clinic;;;;;
Fika;Mubi Fusami Ward;;Garin Wayo Health Clinic;;;;;
Fika;Ngalda Dumbulwa Ward;;Ngalda Dispensary;;;;;
