LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Ahafo-Ano North;Anyinasuso;;Kyekyewere (Ahafo Ano North) CHPS Zone;;;;;
Ahafo-Ano North;Anyinasuso;;Ama Tettehkrom CHPS Compound;;;;;
Ahafo-Ano North;Anyinasuso;;Anyinasuso CHPS Zone;;;;;
Ahafo-Ano North;Anyinasuso;;Anyinasuso Health Centre;;;;;
Ahafo-Ano North;Anyinasuso;;Boagyaa No. 2 CHPS Zone;;;;;
Ahafo-Ano North;Anyinasuso;;Bonkrom CHPS Zone;;;;;
Ahafo-Ano North;Anyinasuso;;Jacobu CHPS Zone;;;;;
Ahafo-Ano North;Betiako;;Abonsuaso CHPS Zone;;;;;
Ahafo-Ano North;Betiako;;Betiako CHPS Zone;;;;;
Ahafo-Ano North;Betiako;;Betiako Health Centre;;;;;
Ahafo-Ano North;Betiako;;Gyamenakrom CHPS Zone;;;;;
Ahafo-Ano North;Betiako;;Katapei CHPS Zone;;;;;
Ahafo-Ano North;Betiako;;Mmofranfadwen CHPS Zone;;;;;
Ahafo-Ano North;Betiako;;Suponso CHPS Zone;;;;;
Ahafo-Ano North;Betiako;;Tafo CHPS (Betiako) Zone;;;;;
Ahafo-Ano North;Manfo;;Achina CHPS Zone;;;;;
Ahafo-Ano North;Manfo;;AKROFONSO CHPS Zone;;;;;
Ahafo-Ano North;Manfo;;ANKAASE CHPS Zone;;;;;
Ahafo-Ano North;Manfo;;Asuhyiae CHPS Compound;;;;;
Ahafo-Ano North;Manfo;;ASUHYIAE CHPS Zone;;;;;
Ahafo-Ano North;Manfo;;BOSIKESE CHPS Zone;;;;;
Ahafo-Ano North;Manfo;;DOTOAM CHPS Zone;;;;;
Ahafo-Ano North;Manfo;;DWAAHO CHPS Zone;;;;;
Ahafo-Ano North;Manfo;;Krakosua CHPS Compound;;;;;
Ahafo-Ano North;Manfo;;MANFO CHPS Zone;;;;;
Ahafo-Ano North;Manfo;;Manfo Health Centre;;;;;
Ahafo-Ano North;Manfo;;NFANIBU CHPS Zone;;;;;
Ahafo-Ano North;Manfo;;TWABIDI CHPS Zone;;;;;
Ahafo-Ano North;Manfo;;Twabidi Health Centre;;;;;
Ahafo-Ano North;Subriso;;Keniago (Ahafo Ano North) CHPS Zone;;;;;
Ahafo-Ano North;Subriso;;NFANTI CHPS Zone;;;;;
Ahafo-Ano North;Subriso;;NUMASUA CHPS Zone;;;;;
Ahafo-Ano North;Subriso;;ODUMASE CHPS Zone;;;;;
Ahafo-Ano North;Subriso;;SUBRISO CHPS Zone;;;;;
Ahafo-Ano North;Subriso;;Subriso Health Centre;;;;;
Ahafo-Ano North;Tepa;;Akwasiase CHPS Compound;;;;;
Ahafo-Ano North;Tepa;;AKWASIASE ZONGO CHPS Zone;;;;;
Ahafo-Ano North;Tepa;;Anane Aya Maternity;;;;;
Ahafo-Ano North;Tepa;;BEPOSO CHPS Zone;;;;;
Ahafo-Ano North;Tepa;;BOAGYAA NO. 1 CHPS Zone;;;;;
Ahafo-Ano North;Tepa;;KATABO (WARD 1) CHPS Zone;;;;;
Ahafo-Ano North;Tepa;;KRUBOA CHPS Zone;;;;;
Ahafo-Ano North;Tepa;;Mabang Clinic;;;;;
Ahafo-Ano North;Tepa;;MARBANG CHPS Zone;;;;;
Ahafo-Ano North;Tepa;;ODUMASE (WARD 2) CHPS Zone;;;;;
Ahafo-Ano North;Tepa;;Tepa Government Hospital;;;;;
Ahafo-Ano North;Tepa;;TEPA ZONGO CHPS Zone;;;;;
Ahafo-Ano North;Tepa;;WARD 4 CHPS Zone;;;;;
Ahafo-Ano North;Tepa;;WAWASE (WARD 3) CHPS Zone;;;;;
Ahafo-Ano South;Biemso;;Adom (Ahafo Ano South) Maternity;;;;;
Ahafo-Ano South;Biemso;;Amakom CHPS Zone;;;;;
Ahafo-Ano South;Biemso;;Asempanaye CHPS Zone;;;;;
Ahafo-Ano South;Biemso;;Biemso No. 2 CHPS Compound;;;;;
Ahafo-Ano South;Biemso;;Biemso RCH;;;;;
Ahafo-Ano South;Biemso;;Dwinyama CHPS Zone;;;;;
Ahafo-Ano South;Biemso;;Nana Afua Kobi Hospital;;;;;
Ahafo-Ano South;Biemso;;St. Edwards Clinic;;;;;
Ahafo-Ano South;Mankranso;;Afresini CHPS Zone;;;;;
Ahafo-Ano South;Mankranso;;Agyebi CHPS Zone;;;;;
Ahafo-Ano South;Mankranso;;Bonkwaso CHPS Zone;;;;;
Ahafo-Ano South;Mankranso;;Kunsu Camp CHPS Zone;;;;;
Ahafo-Ano South;Mankranso;;Kunsu Dotiem CHPS Zone;;;;;
Ahafo-Ano South;Mankranso;;Mankranso CHPS Zone;;;;;
