LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Asutifi North;Gambia;;Biaso CHPS;;;;;
Asutifi North;Gambia;;Gambia Health Centre;;;;;
Asutifi North;Gambia;;Gambia No. 2 (Yaw Zambrama CHPS);;;;;
Asutifi North;Gambia;;Gambia No. 2 CHPS (Akokrabaako CHPS);;;;;
Asutifi North;Gambia;;Krakyekrom CHPS;;;;;
Asutifi North;Gambia;;Kwabenafo/Kasapin CHPS Zone;;;;;
Asutifi North;Gambia;;NSUTA CHPS ZONE;;;;;
Asutifi North;Goamu-Koforidua;;Atwedie CHPS (Asutifi North);;;;;
Asutifi North;Goamu-Koforidua;;Goamu Koforidua CHPS;;;;;
Asutifi North;Goamu-Koforidua;;Kensere CHPS;;;;;
Asutifi North;Goamu-Koforidua;;Kenyasi St Elizbeth Maternity Home;;;;;
Asutifi North;Goamu-Koforidua;;Kramokrom CHPS (Asutifi North);;;;;
Asutifi North;Gyedu;;Achiase CHPS;;;;;
Asutifi North;Gyedu;;Amomaso CHPS Zone;;;;;
Asutifi North;Gyedu;;Gyedu Health Centre;;;;;
Asutifi North;Gyedu;;Newsite/Manushed CHPS zone;;;;;
Asutifi North;Gyedu;;Ntotroso CHPS;;;;;
Asutifi North;Gyedu;;Wamahiniso CHPS;;;;;
Asutifi North;Gyedu;;Yawusukrom CHPS;;;;;
Asutifi North;Kenyasi;;Adum/Kwadaso CHPS;;;;;
Asutifi North;Kenyasi;;ASEMPANEYE/KWAKURI CHPS ZONE;;;;;
Asutifi North;Kenyasi;;BOGYAMPA CHPS ZONE;;;;;
Asutifi North;Kenyasi;;CARE PLUS CLINIC;;;;;
Asutifi North;Kenyasi;;Esther Maternity Home;;;;;
Asutifi North;Kenyasi;;Isos (asutifi) Clinic;;;;;
Asutifi North;Kenyasi;;JERICHO/AMPEDWE CHPS ZONE;;;;;
Asutifi North;Kenyasi;;Kenyasi Health Centre;;;;;
Asutifi North;Kenyasi;;Kenyasi No. 1 CHPS;;;;;
Asutifi North;Kenyasi;;Kenyasi No. 1 Habita CHPS;;;;;
Asutifi North;Kenyasi;;Newsite CHPS;;;;;
Asutifi North;Kenyasi;;Obengkrom CHPS;;;;;
Asutifi North;Kenyasi;;TUTUKA CHPS ZONE;;;;;
Asutifi South;Acherensua;;Acherensua Health Centre;;;;;
Asutifi South;Acherensua;;Akwamuhene Chps;;;;;
Asutifi South;Acherensua;;Atuahene Chps;;;;;
Asutifi South;Acherensua;;Konkontreso Chps;;;;;
Asutifi South;Acherensua;;Mantukwa Chps;;;;;
Asutifi South;Dadiesoaba;;Akotosu Chps;;;;;
Asutifi South;Dadiesoaba;;Apebuoso CHPS;;;;;
Asutifi South;Dadiesoaba;;Beposo Chps;;;;;
Asutifi South;Dadiesoaba;;Blessed Family Maternity Home;;;;;
Asutifi South;Dadiesoaba;;Dadiesoaba Health Centre;;;;;
Asutifi South;Dadiesoaba;;Manhyia Chps;;;;;
Asutifi South;Dadiesoaba;;Mehame Chpsy;;;;;
Asutifi South;Dadiesoaba;;Nana Konto CHPS;;;;;
Asutifi South;Dadiesoaba;;Sienchem Rural Clinic;;;;;
Asutifi South;Dadiesoaba;;Sunkwa Chps;;;;;
Asutifi South;Dadiesoaba;;Twabidi Chps;;;;;
Asutifi South;Dadiesoaba;;Wantase Chps;;;;;
Asutifi South;Hwidiem;;Asanteagya CHPS;;;;;
Asutifi South;Hwidiem;;Asona CHPS;;;;;
Asutifi South;Hwidiem;;Family Planning Clinic;;;;;
Asutifi South;Hwidiem;;Hwidiem St Elizabeth Hospital;;;;;
Asutifi South;Hwidiem;;Hwidiem Township Rch Clinic;;;;;
Asutifi South;Hwidiem;;Sorogya CHPS;;;;;
Asutifi South;Nkaseim;;Apenemadi CHPS Compound;;;;;
Asutifi South;Nkaseim;;Apotoyowa Chps;;;;;
Asutifi South;Nkaseim;;Beposo East CHPS;;;;;
Asutifi South;Nkaseim;;Beposo South CHPS;;;;;
Asutifi South;Nkaseim;;Bonmu CHPS;;;;;
Asutifi South;Nkaseim;;Nkaseim Health Center;;;;;
Asutifi South;Nkaseim;;Nkrankrom Chps;;;;;
