LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Akyemansa;Abenase;;Abenase Health Centre;;;;;
Akyemansa;Abenase;;Gyaha Health Center;;;;;
Akyemansa;Abenase;;Mukyia CHPS;;;;;
Akyemansa;Akokoaso;;Adwafo CHPS;;;;;
Akyemansa;Akokoaso;;Akokoaso Health Center;;;;;
Akyemansa;Akokoaso;;Akyem Takyiman CHPS;;;;;
Akyemansa;Akokoaso;;Boso Villa CHPS;;;;;
Akyemansa;Anyinase;;Adwobue CHPS;;;;;
Akyemansa;Anyinase;;Anyinase Health Centre;;;;;
Akyemansa;Anyinase;;Zevor CHPS;;;;;
Akyemansa;Ayirebi;;Adubiase CHPS;;;;;
Akyemansa;Ayirebi;;Ayirebi Health Centre;;;;;
Akyemansa;Ayirebi;;Gyewani Nkwanta CHPS;;;;;
Akyemansa;Ayirebi;;Kofi Nimo CHPS;;;;;
Akyemansa;Ayirebi;;Nyamebekyere (akyemansa) CHPS;;;;;
Akyemansa;Ayirebi;;Odumase CHPS;;;;;
Akyemansa;Brenase;;Brenase Health Centre;;;;;
Akyemansa;Brenase;;Chia CHPS;;;;;
Akyemansa;Brenase;;Kotokuom (akyemansa) CHPS;;;;;
Akyemansa;Ofoase (eastern);;Asuboa North CHPS;;;;;
Akyemansa;Ofoase (eastern);;Bontodiase CHPS;;;;;
Akyemansa;Ofoase (eastern);;Holy Horniel Maternity Clinic;;;;;
Akyemansa;Ofoase (eastern);;Ofoase Urban CHPS;;;;;
Akyemansa;Ofoase (eastern);;St Johns (akyemansa) Clinic;;;;;
Akyemansa;Otwereso;;Akyekrom CHPS;;;;;
Akyemansa;Otwereso;;Asabidie CHPS;;;;;
Akyemansa;Otwereso;;Kwaboadi No 2 CHPS;;;;;
Akyemansa;Otwereso;;Otwereso CHPS;;;;;
Akwapim North;Adawso;;Aboabo CHPS;;;;;
Akwapim North;Adawso;;Adawso Health Center;;;;;
Akwapim North;Adawso;;Addo Nkwanta CHPS;;;;;
Akwapim North;Adawso;;Ahenkorase Zngo CHPS;;;;;
Akwapim North;Adawso;;BAWARE CHPS;;;;;
Akwapim North;Adawso;;Kwamoso CHPS;;;;;
Akwapim North;Adawso;;Tadankro CHPS;;;;;
Akwapim North;Adawso;;Tandakro CHPS;;;;;
Akwapim North;Adukrom;;ABONSE CHPS;;;;;
Akwapim North;Adukrom;;Adukrom Health Center;;;;;
Akwapim North;Adukrom;;AKUNI;;;;;
Akwapim North;Adukrom;;Apirede CHPS;;;;;
Akwapim North;Adukrom;;Aseseeso Clinic;;;;;
Akwapim North;Adukrom;;Bepoase Nifa CHPS;;;;;
Akwapim North;Adukrom;;Kwamanteng CHPS;;;;;
Akwapim North;Akropong (eastern);;Abiriw CHPS;;;;;
