LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Accra;Ablekuma;;Abodwe Clinic;;;;;
Accra;Ablekuma;;Adaamaami CHPS Zone;;;;;
Accra;Ablekuma;;Adam Family Mat Home;;;;;
Accra;Ablekuma;;Amoah Memorial Hospital;;;;;
Accra;Ablekuma;;Armah Memorial Clinic;;;;;
Accra;Ablekuma;;Asomdwoe-Hene Mat Home;;;;;
Accra;Ablekuma;;Brazza Maternity Home;;;;;
Accra;Ablekuma;;Central Dansoman Clinic;;;;;
Accra;Ablekuma;;Dam Side Maternity and Clinic;;;;;
Accra;Ablekuma;;Dansoman Polyclinic;;;;;
Accra;Ablekuma;;Darkuman CHPS ZONE;;;;;
Accra;Ablekuma;;Ebenezer Down CHPS Zone;;;;;
Accra;Ablekuma;;El-shaddai Clinic;;;;;
Accra;Ablekuma;;Emmanuel Maternity Home;;;;;
Accra;Ablekuma;;Eric Herman Clinic;;;;;
Accra;Ablekuma;;Family Maternity;;;;;
Accra;Ablekuma;;Felidan Maternity Home;;;;;
Accra;Ablekuma;;First Foundation Clinic;;;;;
Accra;Ablekuma;;Glefe CHPS Compound;;;;;
Accra;Ablekuma;;Hanson Mem. Med. Centre;;;;;
Accra;Ablekuma;;Holycross Clinic and Mat. Home;;;;;
Accra;Ablekuma;;Joy Clinic;;;;;
Accra;Ablekuma;;Karikari Brobbey Hospital;;;;;
Accra;Ablekuma;;Korle Gonno Polyclinic;;;;;
Accra;Ablekuma;;Korle-bu Teaching Hospital;;;;;
Accra;Ablekuma;;Laura's Maternity Home;;;;;
Accra;Ablekuma;;Link Road Hospital;;;;;
Accra;Ablekuma;;Lower Zongo CHPS Zone;;;;;
Accra;Ablekuma;;MAB International;;;;;
Accra;Ablekuma;;Mamprobi Polyclinic;;;;;
Accra;Ablekuma;;May Fair Maternity;;;;;
Accra;Ablekuma;;Mercy Clinic;;;;;
Accra;Ablekuma;;New Generation Maternity Home;;;;;
Accra;Ablekuma;;Nightingale Clinic;;;;;
Accra;Ablekuma;;Nyame Adom Mat Home;;;;;
Accra;Ablekuma;;Odokor CHPS Zone;;;;;
Accra;Ablekuma;;Opoku Ware Hospital;;;;;
Accra;Ablekuma;;Paradise Agape;;;;;
Accra;Ablekuma;;Paradise Maternity Home;;;;;
Accra;Ablekuma;;PPAG;;;;;
Accra;Ablekuma;;Prime Care;;;;;
Accra;Ablekuma;;Rehoboth Maternity and Clinic;;;;;
Accra;Ablekuma;;Rose Clinic;;;;;
Accra;Ablekuma;;Royal Community Clinic;;;;;
Accra;Ablekuma;;Shukura CHPS;;;;;
Accra;Ablekuma;;Specialist Hospital;;;;;
Accra;Ablekuma;;St. Gloria Clinic;;;;;
Accra;Ablekuma;;Star Academy CHPS Zone;;;;;
Accra;Ablekuma;;Suhuyini Maternity Home;;;;;
Accra;Ablekuma;;Sukura Community Clinic;;;;;
Accra;Ablekuma;;Sukura Community Hospital;;;;;
Accra;Ablekuma;;Sunrise Clinic;;;;;
Accra;Ablekuma;;The Rock Hospital;;;;;
Accra;Ablekuma;;University of Ghana Medical School Clinic;;;;;
Accra;Ablekuma;;Vicom Specialist Hospital;;;;;
Accra;Ablekuma;;Zamarama CHPS ZONE;;;;;
Accra;Ablekuma;;Zoti Medical Centre;;;;;
Accra;Ashiedu Keteke;;Adehye Clinic;;;;;
Accra;Ashiedu Keteke;;Adormens Community Clinic;;;;;
Accra;Ashiedu Keteke;;Adormens Comunty Clinic;;;;;
Accra;Ashiedu Keteke;;Bukom (Cathedral Clinic);;;;;
Accra;Ashiedu Keteke;;Cathedral Clinic;;;;;
Accra;Ashiedu Keteke;;Chalton Clinic;;;;;
Accra;Ashiedu Keteke;;Club Road Clinic;;;;;
Accra;Ashiedu Keteke;;Dr Plange Memorial Clinic;;;;;
Accra;Ashiedu Keteke;;Fire Medical Centre;;;;;
Accra;Ashiedu Keteke;;Ghana Post Clinic;;;;;
Accra;Ashiedu Keteke;;James Town (accra) Maternity Home;;;;;
Accra;Ashiedu Keteke;;James Town Beach Clinic;;;;;
Accra;Ashiedu Keteke;;Judicial Service Clinic;;;;;
Accra;Ashiedu Keteke;;Kokomba CHPS Zone;;;;;
Accra;Ashiedu Keteke;;Living Clinic;;;;;
Accra;Ashiedu Keteke;;Makola Clinic;;;;;
Accra;Ashiedu Keteke;;May Day Clinic;;;;;
Accra;Ashiedu Keteke;;Memorial Clinic;;;;;
Accra;Ashiedu Keteke;;Pml Hospital;;;;;
Accra;Ashiedu Keteke;;Ramzie Medical Centre;;;;;
Accra;Ashiedu Keteke;;Ramzie Medical centre;;;;;
Accra;Ashiedu Keteke;;Sea View Clinic;;;;;
Accra;Ashiedu Keteke;;Static Clinic (Ussher);;;;;
Accra;Ashiedu Keteke;;Ussher Polyclinic;;;;;
Accra;Ashiedu Keteke;;Ayawaso;;;;;
Accra;Ashiedu Keteke;;37 Military Hospital;;;;;
Accra;Ashiedu Keteke;;Abelekpe CHPS;;;;;
Accra;Ashiedu Keteke;;Agblashie CHPS;;;;;
Accra;Ashiedu Keteke;;Agblasie CHPS;;;;;
Accra;Ashiedu Keteke;;Airport Women's Hospital;;;;;
Accra;Ashiedu Keteke;;Alajo Clinic;;;;;
Accra;Ashiedu Keteke;;Alajo Park CHPS;;;;;
Accra;Ashiedu Keteke;;Alaska CHPS Zone;;;;;
Accra;Ashiedu Keteke;;Amanda Mat. Home;;;;;
Accra;Ashiedu Keteke;;Anthon Medicare;;;;;
Accra;Ashiedu Keteke;;Asamoah Clinic;;;;;
Accra;Ashiedu Keteke;;Ayidiki CHPS Zone;;;;;
Accra;Ashiedu Keteke;;Bennet Clinic;;;;;
Accra;Ashiedu Keteke;;Cyndan Clinic;;;;;
Accra;Ashiedu Keteke;;Delape Clinic;;;;;
Accra;Ashiedu Keteke;;Dell International Hospital;;;;;
Accra;Ashiedu Keteke;;Effan Victory Clinic;;;;;
Accra;Ashiedu Keteke;;Egon Clinic;;;;;
Accra;Ashiedu Keteke;;GIMPA Clinic;;;;;
Accra;Ashiedu Keteke;;Hajia Damata Mat. Home;;;;;
Accra;Ashiedu Keteke;;Henrieta Maternity Home;;;;;
Accra;Ashiedu Keteke;;James Fort Borstal Clinic;;;;;
Accra;Ashiedu Keteke;;Jophat Clinic;;;;;
Accra;Ashiedu Keteke;;King David;;;;;
