LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Bole;Bamboi;;Babator CHPS;;;;;
Bole;Bamboi;;Bamboi Health Centre;;;;;
Bole;Bamboi;;Carpenter CHPS;;;;;
Bole;Bamboi;;Chibriyoa CHPS;;;;;
Bole;Bole;;Bole District Hospital;;;;;
Bole;Bole;;Bole Health Centre;;;;;
Bole;Bole;;Catholic Phc (bole);;;;;
Bole;Bole;;Dakuripe CHPS;;;;;
Bole;Bole;;Kalidu CHPS;;;;;
Bole;Bole;;Gbenfu CHPS;;;;;
Bole;Bole;;Sakpa CHPS;;;;;
Bole;Bole;;Seripe CHPS;;;;;
Bole;Bole;;Sonyo CHPS;;;;;
Bole;Jama;;Banda Nkwanta CHPS;;;;;
Bole;Jama;;Jama Health Centre;;;;;
Bole;Mandari;;Chache CHPS;;;;;
Bole;Mandari;;Mandari Health Centre;;;;;
Bole;Mankuma;;Kakiasi CHPS;;;;;
Bole;Mankuma;;Mankuma Health Centre;;;;;
Bole;Tinga;;Kui CHPS;;;;;
Bole;Tinga;;Kwame Kwesi CHPS;;;;;
Bole;Tinga;;Kambatiak CHPS;;;;;
Bole;Tinga;;Maluwe CHPS;;;;;
Bole;Tinga;;Tinga Health Centre;;;;;
Bole;Tinga;;Wakawaka CHPS;;;;;
Bunkpurugu-Yunyuo;Binde;;Binde Rural Hospital;;;;;
Bunkpurugu-Yunyuo;Binde;;Gbankoni Chps;;;;;
Bunkpurugu-Yunyuo;Binde;;Kambatiak CHPS;;;;;
Bunkpurugu-Yunyuo;Binde;;Kunkwadaan CHPS;;;;;
Bunkpurugu-Yunyuo;Binde;;Najon 1 &2 CHPS;;;;;
Bunkpurugu-Yunyuo;Binde;;Ngama Chps;;;;;
Bunkpurugu-Yunyuo;Bunkpurugu;;Bunkpurugu Health Centre;;;;;
Bunkpurugu-Yunyuo;Bunkpurugu;;Gbankurugu CHPS;;;;;
Bunkpurugu-Yunyuo;Bunkpurugu;;Gbingbani Health Centre;;;;;
Bunkpurugu-Yunyuo;Bunkpurugu;;Kambagu CHPS;;;;;
Bunkpurugu-Yunyuo;Bunkpurugu;;Pagnatic CHPS;;;;;
Bunkpurugu-Yunyuo;Bunkpurugu;;Kinkango CHPS;;;;;
Bunkpurugu-Yunyuo;Bunkpurugu;;Rabito (Bunkpurugu) Clinic;;;;;
Bunkpurugu-Yunyuo;Bunkpurugu;;Tojing CHPS;;;;;
Bunkpurugu-Yunyuo;Nakpanduri;;Bimbagu CHPS;;;;;
Bunkpurugu-Yunyuo;Nakpanduri;;Boatelegu CHPS;;;;;
Bunkpurugu-Yunyuo;Nakpanduri;;Gbingbananchet CHPS;;;;;
Bunkpurugu-Yunyuo;Nakpanduri;;Faith Community Clinic;;;;;
Bunkpurugu-Yunyuo;Nakpanduri;;Nakpanduri Health Centre;;;;;
Bunkpurugu-Yunyuo;Nakpanduri;;Nakpantibauk CHPS;;;;;
Bunkpurugu-Yunyuo;Nakpanduri;;Tusuk CHPS;;;;;
Bunkpurugu-Yunyuo;Nasuan;;Montana CHPS;;;;;
Bunkpurugu-Yunyuo;Nasuan;;Namongo CHPS;;;;;
Bunkpurugu-Yunyuo;Nasuan;;Nasuan Health Centre;;;;;
Bunkpurugu-Yunyuo;Nasuan;;Temaa Chps;;;;;
Bunkpurugu-Yunyuo;Nasuan;;Tuna CHPS;;;;;
Bunkpurugu-Yunyuo;Yunyoo;;Bumnuna CHPS;;;;;
Bunkpurugu-Yunyuo;Yunyoo;;Jimbale CHPS;;;;;
Bunkpurugu-Yunyuo;Yunyoo;;Mozio CHPS;;;;;
Bunkpurugu-Yunyuo;Yunyoo;;Sambik CHPS;;;;;
Bunkpurugu-Yunyuo;Yunyoo;;Yunyoo Health Centre;;;;;
Central Gonja;Buipe;;Boachipe CHPS;;;;;
Central Gonja;Buipe;;Buipe Polyclinic;;;;;
Central Gonja;Buipe;;Domeabra CHPS;;;;;
Central Gonja;Buipe;;Holistic Medicare;;;;;
Central Gonja;Buipe;;Kabilpe CHPS;;;;;
Central Gonja;Buipe;;Lito CHPS;;;;;
Central Gonja;Buipe;;Mankpan CHPS;;;;;
Central Gonja;Kusawgu;;Zanzugu Yipala CHPS;;;;;
Central Gonja;Kusawgu;;Wambong CHPS;;;;;
Central Gonja;Kusawgu;;Sankpala Health Center;;;;;
Central Gonja;Kusawgu;;Kusawgu Health Centre;;;;;
Central Gonja;Kusawgu;;Jukuku CHPS;;;;;
Central Gonja;Mpaha;;Kpasara CHPS;;;;;
Central Gonja;Mpaha;;Mpaha Health Centre;;;;;
Central Gonja;Mpaha;;Sheri Chps;;;;;
Central Gonja;Tulwei;;Tulwei CHPS;;;;;
Central Gonja;Tulwei;;Chama CHPS;;;;;
Central Gonja;Yala;;Yala CHPS;;;;;
Central Gonja;Yapei;;Amedzrovi CHPS;;;;;
Central Gonja;Yapei;;Bonyase CHPS;;;;;
Central Gonja;Yapei;;Fufulso Juction CHPS;;;;;
Central Gonja;Yapei;;Yapei Health Centre;;;;;
Chereponi;Bumburiga;;Bumburiga CHPS;;;;;
Chereponi;Bumburiga;;Tigenga CHPS;;;;;
Chereponi;Bumburiga;;Kwabena Kabosu CHPS;;;;;
Chereponi;Chereponi;;Chereponi Government Hospital;;;;;
Chereponi;Chereponi;;Chereponi Health Center;;;;;
Chereponi;Chereponi;;Kpamamba CHPS;;;;;
Chereponi;Chereponi;;Nansoni CHPS;;;;;
Chereponi;Chereponi;;Tusunga CHPS;;;;;
Chereponi;Garinkuka;;Garinkuka CHPS;;;;;
Chereponi;Garinkuka;;Mabanbori CHPS;;;;;
Chereponi;Garinkuka;;Naduni CHPS;;;;;
Chereponi;Garinkuka;;Tachieku CHPS;;;;;
Chereponi;Garinkuka;;Tiekasu CHPS;;;;;
Chereponi;Garinkuka;;Tombu CHPS;;;;;
Chereponi;Wenchiki;;Kwanu Nansoni CHPS;;;;;
Chereponi;Wenchiki;;Naja CHPS;;;;;
Chereponi;Wenchiki;;Nyagbandi CHPS;;;;;
Chereponi;Wenchiki;;Tambong CHPS;;;;;
Chereponi;Wenchiki;;Waku CHPS;;;;;
Chereponi;Wenchiki;;Wenchiki Health Centre;;;;;
Chereponi;Wonjuga;;Famisah CHPS;;;;;
Chereponi;Wonjuga;;Kudani CHPS;;;;;
Chereponi;Wonjuga;;Wonjuga CHPS;;;;;
Chereponi;Wonjuga;;Yorgu CHPS;;;;;
East Gonja;Banjai;;Bunjai CHPS;;;;;
East Gonja;Banjai;;Latinkpa chps;;;;;
East Gonja;Buma;;Abrumase Clinic;;;;;
East Gonja;Buma;;Akomade chps;;;;;
East Gonja;Buma;;Buma Clinic;;;;;
East Gonja;Buma;;Kigbatitu chps;;;;;
