LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Bawku;Barbari/Bador;;Bador CHPS;;;;;
Bawku;Barbari/Bador;;Baribari CHPS;;;;;
Bawku;Kuka East;;Kuka CHPS;;;;;
Bawku;Kuka East;;Megogo CHPS;;;;;
Bawku;Kuka West;;Asikiri CHPS;;;;;
Bawku;Kuka West;;Bugre Corner Health Center;;;;;
Bawku;Mognori;;Bugzunde CHPS;;;;;
Bawku;Mognori;;Gentiga CHPS;;;;;
Bawku;Mognori;;Mognori Health Centre;;;;;
Bawku;North Natinga;;Islam Matenity Home;;;;;
Bawku;North Natinga;;Urban (bawku) Health Centre;;;;;
Bawku;South Natinga;;Bawku Presby Hospital;;;;;
Bawku;South Natinga;;Kpalore CHPS;;;;;
Bawku;South Natinga;;Millennium Laafi Doog;;;;;
Bawku;Urban West;;Case Medical Center;;;;;
Bawku;Urban West;;Dan's Clinic;;;;;
Bawku;Urban West;;Everjoy Medical Center;;;;;
Bawku;Urban West;;Quality (bawku) Medical Centre;;;;;
Bawku;Urban West;;Tensungu CHPS;;;;;
Bawku;Urban West;;Urban West Health Centre (Bawku);;;;;
Bawku;Urban West;;Vineyard Hospital;;;;;
Binduri;Aniisi;;Aniisi CHPS;;;;;
Binduri;Aniisi;;Kukparigu CHPS;;;;;
Binduri;Aniisi;;Tetauko CHPS;;;;;
Binduri;Aluba;;Nafkolga CHPS;;;;;
Binduri;Bazua;;Asugtaaba Clinic;;;;;
Binduri;Bazua;;Bazua Clinic;;;;;
Binduri;Binduri;;Azum-Sapeliga CHPS;;;;;
Binduri;Binduri;;Binduri Health Centre;;;;;
Binduri;Manga;;Goore Clinic;;;;;
Binduri;Manga;;Manga CHPS;;;;;
Binduri;Zawse;;Bansi CHPS;;;;;
Binduri;Zawse;;Zawse CHPS;;;;;
Bawku West;Binaba;;Azuwera CHPS;;;;;
Bawku West;Binaba;;Binaba Health Centre;;;;;
Bawku West;Binaba;;Kopella CHPS;;;;;
Bawku West;Boya;;Boya CHPS;;;;;
Bawku West;Boya;;Gbantango Clinic;;;;;
Bawku West;Boya;;Yelwoko Clinic;;;;;
Bawku West;Sapelliga Googo;;Agatusi CHPS;;;;;
Bawku West;Sapelliga Googo;;Galaka CHPS;;;;;
Bawku West;Sapelliga Googo;;Googo Clinic;;;;;
Bawku West;Sapelliga Googo;;Salpiiga CHPS;;;;;
Bawku West;Sapelliga Googo;;Sapelliga Health Centre;;;;;
Bawku West;Tanga;;Biringu CHPS;;;;;
Bawku West;Tanga;;Gozeisi CHPS;;;;;
Bawku West;Tanga;;Tanga CHPS;;;;;
Bawku West;Tanga;;Timonde Health Centre;;;;;
Bawku West;Tanga;;Tonde CHPS;;;;;
Bawku West;Tilli Widnaba;;Tarikom CHPS;;;;;
Bawku West;Tilli Widnaba;;Tilli Clinic;;;;;
Bawku West;Tilli Widnaba;;Widnaba Clinic;;;;;
Bawku West;Zebilla North;;Kansoongu CHPS;;;;;
Bawku West;Zebilla North;;Soogo CHPS;;;;;
Bawku West;Zebilla North;;Teshie CHPS;;;;;
Bawku West;Zebilla South;;Faith (bawku West) Clinic;;;;;
Bawku West;Zebilla South;;Gossips Clinic;;;;;
Bawku West;Zebilla South;;Kobore CHPS;;;;;
Bawku West;Zebilla South;;Naaba Akparibilla Medical Centre;;;;;
Bawku West;Zebilla South;;Yarigu CHPS;;;;;
Bawku West;Zebilla South;;Zebilla Hospital;;;;;
Bawku West;Zebilla South;;Zebilla RCH;;;;;
Bawku West;Zebilla South;;Zebilla SHS Clinic;;;;;
Bawku West;Zebilla South;;Zebilla Town Clinic;;;;;
Bawku West;Zongoire;;Apodapogo CHPS;;;;;
Bawku West;Zongoire;;Dagunba CHPS;;;;;
Bawku West;Zongoire;;Zongoire CHPS;;;;;
Bawku West;Zongoire;;Zongoire Health Centre;;;;;
Bolgatanga;Bolga Central;;Bolga Health Centre;;;;;
Bolgatanga;Bolga Central;;Kalbeo CHPS;;;;;
Bolgatanga;Bolga Central;;Police Clinic, Bolgatanga;;;;;
Bolgatanga;Bolga Central;;Rhema Maternity;;;;;
Bolgatanga;Bolga Central;;Tindonsobligo CHPS;;;;;
Bolgatanga;Bolga North;;Kunkwa CHPS;;;;;
Bolgatanga;Bolga North;;Madina CHPS;;;;;
Bolgatanga;Bolga North;;Nyariga Clinic;;;;;
Bolgatanga;Bolga North;;Presby Eye Clinic;;;;;
Bolgatanga;Bolga North;;Yorogo CHPS;;;;;
Bolgatanga;Bolga South;;Sokabisi Health Centre;;;;;
Bolgatanga;Bolga South;;Yikene CHPS;;;;;
Bolgatanga;Gambibgo;;Gambibgo Clinic;;;;;
Bolgatanga;Gambibgo;;Yarigabisi CHPS;;;;;
Bolgatanga;Plaza;;Afrikids Medical Centre;;;;;
Bolgatanga;Plaza;;Amiah Clinic;;;;;
Bolgatanga;Plaza;;Asakunde Memorial Clinic;;;;;
Bolgatanga;Plaza;;Coronation Health Centre;;;;;
Bolgatanga;Plaza;;Presby Clinic;;;;;
Bolgatanga;Plaza;;Regional Hospital, Bolgatanga;;;;;
Bolgatanga;Plaza;;Yipala (Bolga) CHPS;;;;;
Bolgatanga;Sumbrungu;;Dorongo CHPS;;;;;
Bolgatanga;Sumbrungu;;Nyokorko CHPS;;;;;
Bolgatanga;Sumbrungu;;Pumpongo CHPS;;;;;
Bolgatanga;Sumbrungu;;Sherigu Health Centre;;;;;
Bolgatanga;Sumbrungu;;Aguusi CHPS;;;;;
Bolgatanga;Sumbrungu;;Anateem CHPS;;;;;
Bolgatanga;Sumbrungu;;Azorebisi CHPS;;;;;
Bolgatanga;Sumbrungu;;Dazongo CHPS;;;;;
Bolgatanga;Sumbrungu;;Kulbia CHPS;;;;;
Bolgatanga;Sumbrungu;;Sumbrungu Health Centre;;;;;
Bolgatanga;Sumbrungu;;Yelbongo CHPS;;;;;
Bolgatanga;Zuarungu;;Dulugu CHPS;;;;;
Bolgatanga;Zuarungu;;Kumbosco CHPS;;;;;
Bolgatanga;Zuarungu;;Zono CHPS;;;;;
Bolgatanga;Zuarungu;;Zuarungu Health Centre;;;;;
Bolgatanga;Zuarungu-Moshie;;Dachio CHPS;;;;;
Bolgatanga;Zuarungu-Moshie;;Katanga CHPS;;;;;
Bolgatanga;Zuarungu-Moshie;;Zuarungu-moshie Clinic;;;;;
Bongo;Bongo Beo;;Adaboya CHPS;;;;;
Bongo;Bongo Beo;;Akanaba CHPS;;;;;
Bongo;Bongo Beo;;Apatanga CHPS;;;;;
Bongo;Bongo Beo;;Apuwongo CHPS;;;;;
Bongo;Bongo Beo;;Beo Tanko CHPS;;;;;
Bongo;Bongo Beo;;Dua Health Centre;;;;;
Bongo;Bongo Beo;;Wagliga CHPS;;;;;
Bongo;Bongo Central;;Anafobisi CHPS;;;;;
Bongo;Bongo Central;;Anafobisi Clinic;;;;;
Bongo;Bongo Central;;Atampintin CHPS;;;;;
Bongo;Bongo Central;;Atampisi CHPS;;;;;
Bongo;Bongo Central;;Balungu CHPS;;;;;
Bongo;Bongo Central;;Bongo Hospital;;;;;
Bongo;Bongo Central;;Borigo CHPS;;;;;
Bongo;Bongo Central;;Kuyelgo CHPS;;;;;
Bongo;Bongo Central;;Lungu CHPS;;;;;
Bongo;Bongo Soe;;Akolposiga CHPS;;;;;
Bongo;Namoo;;Asologo CHPS;;;;;
Bongo;Namoo;;Awisi CHPS;;;;;
Bongo;Namoo;;Ayelbia CHPS;;;;;
Bongo;Namoo;;Ayopia CHPS;;;;;
Bongo;Namoo;;Bongo Soe Health Centre;;;;;
Bongo;Namoo;;Feo CHPS;;;;;
Bongo;Namoo;;Kabre CHPS;;;;;
Bongo;Namoo;;Abokobisi CHPS;;;;;
Bongo;Namoo;;Amanga CHPS;;;;;
Bongo;Namoo;;Boko CHPS;;;;;
Bongo;Namoo;;Namoo Health Centre;;;;;
Bongo;Namoo;;Nayorigo CHPS;;;;;
Bongo;Namoo;;Sambolgo-moo CHPS;;;;;
Bongo;Namoo;;Sikabisi CHPS;;;;;
Bongo;Valley Zone;;Gowrie CHPS;;;;;
Bongo;Valley Zone;;Kulpelliga CHPS;;;;;
Bongo;Valley Zone;;Kunkua CHPS;;;;;
Bongo;Valley Zone;;Nyariga CHPS;;;;;
Bongo;Valley Zone;;Tangapore CHPS;;;;;
