LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Daffiama-Bussie-Issa;Bussie;;Bussie Health Centre;;;;;
Daffiama-Bussie-Issa;Bussie;;Kamahegu CHPS;;;;;
Daffiama-Bussie-Issa;Daffiama;;Daffiama Health Centre;;;;;
Daffiama-Bussie-Issa;Daffiama;;Dakyie CHPS;;;;;
Daffiama-Bussie-Issa;Daffiama;;Konzokala CHPS;;;;;
Daffiama-Bussie-Issa;Daffiama;;Owlo CHPS;;;;;
Daffiama-Bussie-Issa;Daffiama;;Tuori - Woogberi CHPS;;;;;
Daffiama-Bussie-Issa;Fian;;Fian Health Center;;;;;
Daffiama-Bussie-Issa;Issa;;Duang CHPS;;;;;
Daffiama-Bussie-Issa;Issa;;Issa Health Centre;;;;;
Daffiama-Bussie-Issa;Issa;;Samanbo CHPS;;;;;
Daffiama-Bussie-Issa;Issa;;Sazie CHPS;;;;;
Daffiama-Bussie-Issa;Issa;;Tabiesi CHPS;;;;;
Daffiama-Bussie-Issa;Issa;;Wogu CHPS;;;;;
Daffiama-Bussie-Issa;Kojokperi;;Challa CHPS;;;;;
Daffiama-Bussie-Issa;Kojokperi;;Jinpensi CHPS;;;;;
Daffiama-Bussie-Issa;Kojokperi;;Jollinyiri CHPS;;;;;
Daffiama-Bussie-Issa;Kojokperi;;Kojokperi Health Centre;;;;;
Jirapa;Duori;;Degri CHPS;;;;;
Jirapa;Duori;;Duori Health Centre;;;;;
Jirapa;Duori;;Tamapuo CHPS;;;;;
Jirapa;Hain;;Chapuri CHPS;;;;;
Jirapa;Hain;;Hain Polyclinic;;;;;
Jirapa;Hain;;Ping CHPS;;;;;
Jirapa;Hain;;Uollo/Uol-Kuu CHPS;;;;;
Jirapa;Jirapa;;Gbare CHPS;;;;;
Jirapa;Jirapa;;Jirapa Urban Health Center;;;;;
Jirapa;Jirapa;;Kuncheni CHPS;;;;;
Jirapa;Jirapa;;Nambeg CHPS;;;;;
Jirapa;Jirapa;;Piiyiri CHPS;;;;;
Jirapa;Jirapa;;Saawie CHPS;;;;;
Jirapa;Jirapa;;Sigri CHPS;;;;;
Jirapa;Jirapa;;Siiri CHPS;;;;;
Jirapa;Jirapa;;St. Joseph's Hospital;;;;;
Jirapa;Jirapa;;Tampaala CHPS;;;;;
Jirapa;Jirapa;;Tampoe CHPS;;;;;
Jirapa;Sabuli;;Guo/ Chacha CHPS;;;;;
Jirapa;Sabuli;;Sabuli Health Centre;;;;;
Jirapa;Sabuli;;Somboro CHPS;;;;;
Jirapa;Tizza;;Tizza Health centre;;;;;
Jirapa;Tizza;;Zingpuuroyiri CHPS;;;;;
Jirapa;Tuggo;;Doggo/ Konzokala CHPS;;;;;
Jirapa;Tuggo;;Tuggo Health Centre;;;;;
Jirapa;Ullo;;Kogri CHPS;;;;;
Jirapa;Ullo;;Ulkpong CHPS;;;;;
Jirapa;Ullo;;Ullo Health Centre;;;;;
Jirapa;Yagha;;Guoripuo CHPS;;;;;
Jirapa;Yagha;;Tie/Tikpe CHPS;;;;;
Jirapa;Yagha;;Yagha Health Centre;;;;;
Lambussie-Karni;Billaw;;Billaw Health Centre;;;;;
Lambussie-Karni;Billaw;;Chebogo CHPS;;;;;
Lambussie-Karni;Billaw;;Hinenteng CHPS;;;;;
Lambussie-Karni;Billaw;;Kadiligor CHPS;;;;;
Lambussie-Karni;Billaw;;Nabaala CHPS;;;;;
Lambussie-Karni;Hamile;;Bamwon CHPS;;;;;
Lambussie-Karni;Hamile;;Chetu CHPS;;;;;
Lambussie-Karni;Hamile;;Dahile CHPS;;;;;
Lambussie-Karni;Hamile;;Hamile Health Center;;;;;
Lambussie-Karni;Hamile;;Happah B-line CHPS;;;;;
Lambussie-Karni;Hamile;;Kanyir Maternity Home;;;;;
Lambussie-Karni;Hamile;;Muslim Clinic;;;;;
Lambussie-Karni;Karne;;Karne Health Center;;;;;
Lambussie-Karni;Karne;;Kpaare CHPS;;;;;
Lambussie-Karni;Karne;;Kulkarni CHPS;;;;;
Lambussie-Karni;Lambussie;;Kukuo CHPS;;;;;
Lambussie-Karni;Lambussie;;Lambussie Polyclinic;;;;;
Lambussie-Karni;Piina;;Hachagagan CHPS;;;;;
Lambussie-Karni;Piina;;Piina Health Center;;;;;
Lambussie-Karni;Piina;;Sentu CHPS;;;;;
Lambussie-Karni;Samoa;;Bognuor CHPS;;;;;
Lambussie-Karni;Samoa;;Chognuor CHPS;;;;;
Lambussie-Karni;Samoa;;Koro CHPS;;;;;
Lambussie-Karni;Samoa;;Nawie CHPS;;;;;
Lambussie-Karni;Samoa;;Samoa Health Centre;;;;;
Lambussie-Karni;Samoa;;Sina-Dindee CHPS;;;;;
Lambussie-Karni;Samoa;;Suke CHPS;;;;;
Lawra;Babile;;Babile Health Centre;;;;;
Lawra;Babile;;Babile Polyclinic;;;;;
Lawra;Babile;;Biro CHPS;;;;;
Lawra;Babile;;Brifoh Cha CHPS;;;;;
Lawra;Babile;;Tanchara CHPS;;;;;
Lawra;Dowine;;Baazing CHPS;;;;;
