LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Adaklu-Anyigbe;Ahunda;;Ahunda CHPS zone;;;;;
Adaklu-Anyigbe;Ahunda;;Ahunda Health Center;;;;;
Adaklu-Anyigbe;Ahunda;;Hlihave CHPS;;;;;
Adaklu-Anyigbe;Ahunda;;Kpetsu CHPS compound;;;;;
Adaklu-Anyigbe;Helekpe;;Abuadi CHPS zone;;;;;
Adaklu-Anyigbe;Helekpe;;Adaklu Kordiabe CHPS;;;;;
Adaklu-Anyigbe;Helekpe;;Have CHPS;;;;;
Adaklu-Anyigbe;Helekpe;;Helekpe CHPS zone;;;;;
Adaklu-Anyigbe;Helekpe;;Helekpe Health Centre;;;;;
Adaklu-Anyigbe;Helekpe;;Kodzobi CHPS;;;;;
Adaklu-Anyigbe;Helekpe;;Nutifafa Health Centre;;;;;
Adaklu-Anyigbe;Helekpe;;Tsrefe CHPS compound;;;;;
Adaklu-Anyigbe;Sopa-Torda;;Ablornu CHPS;;;;;
Adaklu-Anyigbe;Sopa-Torda;;Sofa CHPS;;;;;
Adaklu-Anyigbe;Sopa-Torda;;Sofa Health Center(Salvation Army);;;;;
Adaklu-Anyigbe;Sopa-Torda;;Torda CHPS;;;;;
Adaklu-Anyigbe;Waya;;Amuzudeve CHPS;;;;;
Adaklu-Anyigbe;Waya;;Waya CHPS Zone;;;;;
Adaklu-Anyigbe;Waya;;Waya Health Centre;;;;;
Adaklu-Anyigbe;Waya;;Wumenu Clinic;;;;;
Afadjato;Have;;Emli Bazeh CHPS;;;;;
Afadjato;Have;;Have Health Center;;;;;
Afadjato;Have;;Nyagbo Gagbefe Health Centre;;;;;
Afadjato;Have;;Nyagbo Sroe CHPS;;;;;
Afadjato;Leklebi;;Leklebi Duga Health Center;;;;;
Afadjato;Leklebi;;Leklebi Kame Health Center;;;;;
Afadjato;Leklebi;;Leklebi Worbe CHPS;;;;;
Afadjato;Liati;;Liati Soba Health Center;;;;;
Afadjato;Liati;;Liati St. George Mission Clinic;;;;;
Afadjato;Liati;;Liati Wote CHPS;;;;;
Afadjato;Logba Tafi;;Faith of Fire Clinic;;;;;
Afadjato;Logba Tafi;;Logba Alakpeti CHPS;;;;;
Afadjato;Logba Tafi;;Logba Tota Health Center;;;;;
Afadjato;Logba Tafi;;Logba Vuinta Health Center;;;;;
Afadjato;Logba Tafi;;Tafi Agome CHPS;;;;;
Afadjato;Logba Tafi;;Tafi Atome CHPS;;;;;
Afadjato;Ve;;Specialist Clinic( Rose Mompi Eye Clinic);;;;;
Afadjato;Ve;;Ve Golokwati Health Center;;;;;
Afadjato;Ve;;Ve- Koloenu Revival Maternity Home;;;;;
Afadjato;Ve;;Ve-Hoeme Health Center (Ve-GHAD);;;;;
Afadjato;Ve;;Ve-koloenu CHPS;;;;;
Afadjato;Weto;;Goviefe Agodome Health Center;;;;;
Afadjato;Weto;;Goviefe Todzi CHPS;;;;;
Afadjato;Weto;;Kpeve Health Centre;;;;;
Agotime-Ziope;Afegame;;Afegame CHPS;;;;;
Agotime-Ziope;Afegame;;Agbesia CHPS Zone;;;;;
Agotime-Ziope;Afegame;;Akwettey CHPS Zone;;;;;
Agotime-Ziope;Afegame;;Menji Maternity Home;;;;;
Agotime-Ziope;Keyime;;Keyime CHPS Zone;;;;;
Agotime-Ziope;Keyime;;Keyime Health Centre;;;;;
Agotime-Ziope;Keyime;;Kortrala CHPS Zone;;;;;
Agotime-Ziope;Keyime;;Wudzedeke CHPS;;;;;
Agotime-Ziope;Kpetoe;;Kpetoe CHPS Zones;;;;;
Agotime-Ziope;Kpetoe;;Kpetoe Health Center;;;;;
Agotime-Ziope;Kpetoe;;Obemla CHPS Zone;;;;;
Agotime-Ziope;Sarakope;;Akpokope CHPS;;;;;
Agotime-Ziope;Sarakope;;Sarakope CHPS;;;;;
Agotime-Ziope;Ziope;;Dramave CHPS Zone;;;;;
Agotime-Ziope;Ziope;;Silandre CHPS Zone;;;;;
Agotime-Ziope;Ziope;;Yevi CHPS Zone;;;;;
Agotime-Ziope;Ziope;;Ziope CHPS Zone;;;;;
Agotime-Ziope;Ziope;;Ziope Health Centre;;;;;
Akatsi North;Agormor;;Agormor CHPS;;;;;
Akatsi North;Agormor;;Zemu CHPS;;;;;
Akatsi North;Ave - Dakpa;;Ave-dakpa Health Centre;;;;;
Akatsi North;Ave - Dakpa;;Kpeduhoe CHPS;;;;;
Akatsi North;Ave Afiadenyigbe;;Ashiagborvi CHPS;;;;;
Akatsi North;Ave Afiadenyigbe;;Ave-afiadenyigba Health Centre;;;;;
Akatsi North;Ave Afiadenyigbe;;Ave-xevi CHPS;;;;;
Akatsi North;Ave Afiadenyigbe;;Ettekorpe CHPS;;;;;
Akatsi North;Ave Dzalele;;Ave-dzalele CHPS;;;;;
Akatsi North;Ave Dzalele;;Avoryikorpe CHPS;;;;;
Akatsi North;Avenu;;Avega Gornu CHPS;;;;;
Akatsi North;Avenu;;Avevi CHPS;;;;;
Akatsi South;Akatsi;;Akatsi District Hospital;;;;;
Akatsi South;Akatsi;;Anyidzime-Zuta CHPS;;;;;
Akatsi South;Akatsi;;Anyiheme CHPS;;;;;
Akatsi South;Akatsi;;Atsekpui CHPS;;;;;
Akatsi South;Akatsi;;Hoggar Clinic;;;;;
Akatsi South;Akatsi;;Live CHPS;;;;;
Akatsi South;Akatsi;;Livega CHPS;;;;;
Akatsi South;Akatsi;;Nissi Maternity Home;;;;;
Akatsi South;Akatsi;;Sepe Clinic;;;;;
Akatsi South;Akatsi;;St Paul (akatsi) Hospital;;;;;
Akatsi South;Akatsi;;Tatorme CHPS;;;;;
Akatsi South;Akatsi;;Tobacco -Shell CHPS;;;;;
Akatsi South;Akatsi;;Torve CHPS;;;;;
Akatsi South;Avenorpedo;;Akuave CHPS;;;;;
Akatsi South;Avenorpedo;;Atidzive CHPS;;;;;
Akatsi South;Avenorpedo;;Avenorpedo Health Centre;;;;;
Akatsi South;Avenorpedo;;Dagbamate CHPS;;;;;
Akatsi South;Avenorpedo;;Dzogadze CHPS;;;;;
Akatsi South;Avenorpedo;;Monome-Drakate CHPS;;;;;
Akatsi South;Avenorpedo;;Agbedrafor CHPS;;;;;
Akatsi South;Avenorpedo;;Apeyime CHPS;;;;;
Akatsi South;Avenorpedo;;Avenorpeme Health Centre;;;;;
Akatsi South;Avenorpedo;;Dzigbene-Lofotsume CHPS;;;;;
Akatsi South;Avenorpedo;;Gui CHPS;;;;;
Akatsi South;Avenorpedo;;Xavi CHPS;;;;;
Akatsi South;Gefia;;Ahlepedo CHPS;;;;;
Akatsi South;Gefia;;Asafotsi CHPS;;;;;
Akatsi South;Gefia;;Bata CHPS;;;;;
Akatsi South;Gefia;;CUNIBERTO CLINIC;;;;;
Akatsi South;Gefia;;Gefia Health Centre;;;;;
Akatsi South;Gefia;;Lume Hugakope CHPS;;;;;
Akatsi South;Gefia;;Xetorlogo CHPS;;;;;
Akatsi South;Wute;;Adaheta CHPS;;;;;
Akatsi South;Wute;;Avadre CHPS;;;;;
Akatsi South;Wute;;Gornikorpe CHPS;;;;;
