LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Wassa-Amenfi East;AFRANSIE;;Adom (wassa Amenfi East) Clinic;;;;;
Wassa-Amenfi East;AFRANSIE;;Afransie Health Centre;;;;;
Wassa-Amenfi East;AFRANSIE;;Aserewadi CHPS;;;;;
Wassa-Amenfi East;AFRANSIE;;Asuogya Krobo CHPS;;;;;
Wassa-Amenfi East;AFRANSIE;;Beposo CHPS;;;;;
Wassa-Amenfi East;AFRANSIE;;Dikoto Nsuaem CHPS;;;;;
Wassa-Amenfi East;AFRANSIE;;Dokoto Junction CHPS;;;;;
Wassa-Amenfi East;AFRANSIE;;Gyedua CHPS;;;;;
Wassa-Amenfi East;AFRANSIE;;Jukwa Heman CHPS;;;;;
Wassa-Amenfi East;AFRANSIE;;Tieku CHPS;;;;;
Wassa-Amenfi East;AFRANSIE;;Wantram CHPS;;;;;
Wassa-Amenfi East;AFRANSIE;;Wassa Dikoto CHPS;;;;;
Wassa-Amenfi East;Akropong (WAE);;Abesewa Gyamang CHPS;;;;;
Wassa-Amenfi East;Akropong (WAE);;Adanse CHPS;;;;;
Wassa-Amenfi East;Akropong (WAE);;Adesu CHPS;;;;;
Wassa-Amenfi East;Akropong (WAE);;Amenss Infirmary;;;;;
Wassa-Amenfi East;Akropong (WAE);;Dadieso CHPS;;;;;
Wassa-Amenfi East;Akropong (WAE);;Domeabra CHPS;;;;;
Wassa-Amenfi East;Akropong (WAE);;Dompoase CHPS;;;;;
Wassa-Amenfi East;Akropong (WAE);;Grumisa CHPS;;;;;
Wassa-Amenfi East;Akropong (WAE);;Holy Angels Clinic;;;;;
Wassa-Amenfi East;Akropong (WAE);;Japa CHPS;;;;;
Wassa-Amenfi East;Akropong (WAE);;Moseaso CHPS;;;;;
Wassa-Amenfi East;Akropong (WAE);;Saamang CHPS;;;;;
Wassa-Amenfi East;Akropong (WAE);;St George Maternity;;;;;
Wassa-Amenfi East;Akropong (WAE);;St. Mark Hospital;;;;;
Wassa-Amenfi East;Akropong (WAE);;Wassa Akropong Govt Hospital;;;;;
Wassa-Amenfi East;Bawdie;;Abotareye CHPS;;;;;
Wassa-Amenfi East;Bawdie;;Asikuma CHPS (WAE);;;;;
Wassa-Amenfi East;Bawdie;;Asundua CHPS;;;;;
Wassa-Amenfi East;Bawdie;;Bawdie CHPS;;;;;
Wassa-Amenfi East;Bawdie;;El-shiva Clinic;;;;;
Wassa-Amenfi East;Dawurampong;;Appiah Nkwanta CHPS;;;;;
Wassa-Amenfi East;Dawurampong;;Brepro CHPS;;;;;
Wassa-Amenfi East;Dawurampong;;Dawurampong CHPS;;;;;
Wassa-Amenfi East;Dawurampong;;Mansiso CHPS;;;;;
Wassa-Amenfi East;Dawurampong;;Suhyenso CHPS;;;;;
Wassa-Amenfi East;Mampong (WAE);;Adjumako CHPS;;;;;
Wassa-Amenfi East;Mampong (WAE);;Assesensu CHPS;;;;;
Wassa-Amenfi East;Mampong (WAE);;Mampong (WAE) Health Centre;;;;;
Wassa-Amenfi East;Nananko;;Djorboah CHPS;;;;;
Wassa-Amenfi East;Nananko;;Marfo CHPS;;;;;
Wassa-Amenfi East;Nananko;;Nananko CHPS;;;;;
Wassa-Amenfi East;Nananko;;New Somanya CHPS;;;;;
Wassa-Amenfi East;Nananko;;Nkonya CHPS;;;;;
Wassa-Amenfi East;Nananko;;Nsuaem (WAE) No 2 CHPS;;;;;
Wassa-Amenfi East;Oppon Valley;;Darmang (WAE) CHPS;;;;;
Wassa-Amenfi East;Oppon Valley;;Nyamebekyere CHPS;;;;;
Wassa-Amenfi East;Oppon Valley;;Oppon Valley Health Centre;;;;;
Wassa-Amenfi East;Saa;;Abrokyire Krobo CHPS;;;;;
Wassa-Amenfi East;Saa;;Pewuako Chps;;;;;
Wassa-Amenfi East;Saa;;Saa Health Centre;;;;;
Wassa-Amenfi West;Asankran Breman;;Afiena CHPS;;;;;
Wassa-Amenfi West;Asankran Breman;;Asankran Breman Health Centre;;;;;
Wassa-Amenfi West;Asankran Breman;;Bokakore CHPS;;;;;
Wassa-Amenfi West;Asankran Breman;;Fordjourkrom CHPS;;;;;
Wassa-Amenfi West;Asankran Breman;;Juantoa CHPS;;;;;
Wassa-Amenfi West;Asankran Breman;;Moseaso CHPS;;;;;
Wassa-Amenfi West;Asankran Breman;;Odakotoamso CHPS;;;;;
Wassa-Amenfi West;Asankran Breman;;Odakrofofrom CHPS;;;;;
Wassa-Amenfi West;Asankran Breman;;Odumase CHPS;;;;;
Wassa-Amenfi West;Asankran-Saa;;Asankran Saa Clinic;;;;;
Wassa-Amenfi West;Asankran-Saa;;Kwabeng CHPS;;;;;
Wassa-Amenfi West;Asankran-Saa;;Nana Gyamfi Amoonu Maternity Home;;;;;
Wassa-Amenfi West;Asankran-Saa;;Nkwantanum (Wassa Amenfi West) CHPS;;;;;
Wassa-Amenfi West;Asankran-Saa;;Nyamendae CHPS;;;;;
Wassa-Amenfi West;Asankrangwa;;Amoakokrom CHPS;;;;;
Wassa-Amenfi West;Asankrangwa;;Asanco SHS CHPS;;;;;
Wassa-Amenfi West;Asankrangwa;;Asankrangwa CHPS;;;;;
Wassa-Amenfi West;Asankrangwa;;Asectech CHPS;;;;;
Wassa-Amenfi West;Asankrangwa;;Father Thomas Alan Rooney Memorial Hospital;;;;;
Wassa-Amenfi West;Asankrangwa;;Sika Nti CHPS;;;;;
Wassa-Amenfi West;Asankrangwa;;Vintage Hospital;;;;;
Wassa-Amenfi West;Asankrangwa;;Wesley (Wassa Amenfi West) Clinic;;;;;
Wassa-Amenfi West;Attobrakrom;;Abekoase CHPS;;;;;
Wassa-Amenfi West;Attobrakrom;;Asuohyiam CHPS;;;;;
Wassa-Amenfi West;Attobrakrom;;Attobrakrom CHPS;;;;;
Wassa-Amenfi West;Attobrakrom;;Kamaso CHPS;;;;;
Wassa-Amenfi West;Bisaaso;;Aworabo CHPS;;;;;
Wassa-Amenfi West;Bisaaso;;Bena Fie CHPS;;;;;
Wassa-Amenfi West;Bisaaso;;Bena Nkwanta CHPS;;;;;
Wassa-Amenfi West;Bisaaso;;Berekum CHPS;;;;;
Wassa-Amenfi West;Bisaaso;;Bisaaso Health Centre;;;;;
Wassa-Amenfi West;Bisaaso;;Mumuni CHPS;;;;;
Wassa-Amenfi West;Bisaaso;;Nyamebekyere CHPS;;;;;
Wassa-Amenfi West;Bisaaso;;Ohiampeanika CHPS;;;;;
Wassa-Amenfi West;Bisaaso;;Tekpekrom (Bisaaso) CHPS;;;;;
Wassa-Amenfi West;Gravel Yard;;Ayensu CHPS;;;;;
Wassa-Amenfi West;Gravel Yard;;Domeabra (Wassa Amenfi West) CHPS;;;;;
Wassa-Amenfi West;Gravel Yard;;Dorcas CHPS;;;;;
Wassa-Amenfi West;Gravel Yard;;Gravel Yard CHPS;;;;;
Wassa-Amenfi West;Gravel Yard;;Mmofra Nfa Dwen CHPS;;;;;
Wassa-Amenfi West;Gravel Yard;;Prestea Nkwanta CHPS;;;;;
Wassa-Amenfi West;Gravel Yard;;St Theresa (Wassa Amenfi West) Clinic;;;;;
Wassa-Amenfi West;Gravel Yard;;Torompan CHPS;;;;;
Wassa-Amenfi West;Samreboi;;Aggreso CHPS;;;;;
Wassa-Amenfi West;Samreboi;;Amuaku CHPS;;;;;
Wassa-Amenfi West;Samreboi;;Appiahkrom CHPS;;;;;
Wassa-Amenfi West;Samreboi;;Kokoase (Wassa Amenfi West) CHPS;;;;;
Wassa-Amenfi West;Samreboi;;Ohiamatuo Clinic;;;;;
Wassa-Amenfi West;Samreboi;;Samartex Hospital;;;;;
Wassa-Amenfi West;Samreboi;;Simpa CHPS;;;;;
Wassa-Amenfi West;Samreboi;;Tanokrom (Samreboi) CHPS;;;;;
Wassa-Amenfi West;Samreboi;;Tigarikrom CHPS;;;;;
Wassa-Amenfi West;Samreboi;;Woman No Good CHPS;;;;;
Wassa-Amenfi West;Wassa Dunkwa;;Aborekrom CHPS;;;;;
Wassa-Amenfi West;Wassa Dunkwa;;Pantooso CHPS;;;;;
Wassa-Amenfi West;Wassa Dunkwa;;Wassa Dunkwa CHPS;;;;;
Wassa-Amenfi West;Wassa Dunkwa;;Yirase CHPS;;;;;
Ahanta West;Agona;;A Lang CHPS;;;;;
Ahanta West;Agona;;Abura CHPS;;;;;
Ahanta West;Agona;;Abura Clinic;;;;;
Ahanta West;Agona;;Adjumako Mpatase CHPS;;;;;
Ahanta West;Agona;;Agona Fie CHPS;;;;;
Ahanta West;Agona;;Agona Health Centre;;;;;
Ahanta West;Agona;;Agona Nkwanta CHPS;;;;;
Ahanta West;Agona;;Akatenchie CHPS;;;;;
Ahanta West;Agona;;Apimenyim-Banso CHPS;;;;;
Ahanta West;Agona;;Domeabra (Western) CHPS;;;;;
Ahanta West;Agona;;Ewusiejoe CHPS;;;;;
Ahanta West;Agona;;Fasin CHPS;;;;;
