LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Demsa;Bille Ward;;Bille Maternal and Child Health Clinic;;;;;
Demsa;Bille Ward;;Terreh Primary Health Centre;;;;;
Demsa;Bille Ward;;Daksung Health Clinic;;;;;
Demsa;Bille Ward;;Gajembo Health Post;;;;;
Demsa;Borrong Ward;;Tikka Health Clinic;;;;;
Demsa;Borrong Ward;;Borrong Health Clinic;;;;;
Demsa;Demsa Ward;;Murgaran Health Clinic;;;;;
Demsa;Demsa Ward;;Demsa Maternal and Child Health Clinic;;;;;
Demsa;Demsa Ward;;Kodomon Primary Health Care Centre;;;;;
Demsa;Demsa Ward;;Kudiri Primary Health Centre;;;;;
Demsa;Dilli Ward;;Billachi Health Clinic;;;;;
Demsa;Dilli Ward;;Loh Primary Health Centre;;;;;
Demsa;Dilli Ward;;Dilli Health Clinic;;;;;
Demsa;Dong Ward;;Dong Maternal Health Clinic;;;;;
Demsa;Dong Ward;;Bidoma Primary Health Centre;;;;;
Demsa;Dong Ward;;Januawuri Health Clinic;;;;;
Demsa;Dwam Ward;;Dowaya Primary Health Centre;;;;;
Demsa;Dwam Ward;;Dwam Maternal and Child Health Clinic;;;;;
Demsa;Dwam Ward;;Sabon Gari Health Clinic;;;;;
Demsa;Gwamba Ward;;Lassala Health Post;;;;;
Demsa;Gwamba Ward;;Sundi Health Post;;;;;
Demsa;Gwamba Ward;;Gwamba Health Clinic;;;;;
Demsa;Kpasham Ward;;Kpasham Maternal and Child Health Clinic;;;;;
Demsa;Kpasham Ward;;Tagwambali Health Clinic;;;;;
Demsa;Kpasham Ward;;Bali Health Clinic;;;;;
Demsa;Mbula Ward;;Kpakmyagi Health Clinic;;;;;
Demsa;Mbula Ward;;Tahau Maternity Health Clinic;;;;;
Demsa;Mbula Ward;;Mbula Maternal and Child Health Clinic;;;;;
Demsa;Nassarawo Demsa Ward;;Model Health Care Clinic;;;;;
Demsa;Nassarawo Demsa Ward;;Kedemure Primary Health Centre;;;;;
Demsa;Nassarawo Demsa Ward;;Gadina Health Post;;;;;
Fufore;Beti Ward;;Belichuti Primary Health Clinic;;;;;
Fufore;Beti Ward;;Beti Health Clinic;;;;;
Fufore;Beti Ward;;Wuro Ardo Health Clinic;;;;;
Fufore;Beti Ward;;Garin Chekkel Health Post;;;;;
Fufore;Beti Ward;;Chigari Health Center;;;;;
Fufore;Farang Ward;;Magdari Health Post;;;;;
Fufore;Farang Ward;;Kuriyaji Health Post;;;;;
Fufore;Farang Ward;;Mubako Health Clinic;;;;;
Fufore;Farang Ward;;Ribadu Malabu Health Post;;;;;
Fufore;Farang Ward;;Daware Health Clinic;;;;;
Fufore;Farang Ward;;Farang Maternal and Child Health Clinic;;;;;
Fufore;Fufore Ward;;Fufore Maternal and Child Health Clinic;;;;;
Fufore;Fufore Ward;;Fufore Model Health Clinic;;;;;
Fufore;Gurin Ward;;Nelbi Health Post;;;;;
Fufore;Gurin Ward;;Chikito Health Clinic;;;;;
Fufore;Gurin Ward;;Gurin Maternal and Child Health Clinic;;;;;
Fufore;Gurin Ward;;Muniga Maternal and Child Health Clinic;;;;;
Fufore;Gurin Ward;;Parda Health Clinic;;;;;
Fufore;Karlahi Ward;;Gogora Health Post;;;;;
Fufore;Karlahi Ward;;Karlahi Maternal and Child Health Clinic;;;;;
Fufore;Mayo-Ine Ward;;Gatiro Health Clinic;;;;;
Fufore;Mayo-Ine Ward;;Mayo-Ine Maternal and Child Health Clinic;;;;;
Fufore;Mayo-Ine Ward;;Kabillo Maternal and Child Health Clinic;;;;;
Fufore;Mayo-Ine Ward;;Gatugel Health Post;;;;;
Fufore;Mayo-Ine Ward;;Kiri Health Post;;;;;
Fufore;Mayo-Ine Ward;;Wuro Lamido Health Clinic;;;;;
Fufore;Pariya Ward;;Wuro-Yolde Health Post;;;;;
Fufore;Pariya Ward;;Furo B Health Clinic;;;;;
Fufore;Pariya Ward;;Kadarbu Health Clinic;;;;;
Fufore;Pariya Ward;;Bengo Health Clinic;;;;;
Fufore;Pariya Ward;;Daware Health Clinic;;;;;
Fufore;Pariya Ward;;Bagale Health Clinic;;;;;
Fufore;Pariya Ward;;Pariya Maternal and Child Health Clinic;;;;;
Fufore;Pariya Ward;;Holmano Health Clinic;;;;;
Fufore;Ribadu Ward;;Dulo Bwatiye Health Post;;;;;
Fufore;Ribadu Ward;;Dason Bwatiye Health Post;;;;;
Fufore;Ribadu Ward;;Dasin Federal Model Health Centre;;;;;
Fufore;Ribadu Ward;;Chajaule Health Clinic;;;;;
Fufore;Ribadu Ward;;Ribadu Maternal and Child Health Clinic;;;;;
Fufore;Ribadu Ward;;Dulo Fulani Health Post;;;;;
Fufore;Uki-Tuki Ward;;Choli Health Clinic;;;;;
Fufore;Uki-Tuki Ward;;Gabsin Health Clinic;;;;;
Fufore;Uki-Tuki Ward;;Tawa Health Post;;;;;
Fufore;Uki-Tuki Ward;;Koksupwa Health Post;;;;;
Fufore;Wuro-Bokki Ward;;Wuro-Bokki Maternal and Child Health Clinic;;;;;
Fufore;Wuro-Bokki Ward;;Malabu Maternal and Child Health Clinic;;;;;
Fufore;Yadim Ward;;Bati Health Post;;;;;
Fufore;Yadim Ward;;Ogburi Health Post;;;;;
Fufore;Yadim Ward;;St Mary Primary Health Clinic;;;;;
Fufore;Yadim Ward;;Wuitere Health Post;;;;;
Fufore;Yadim Ward;;Lainde Health Post;;;;;
Fufore;Yadim Ward;;Yadim Maternal and Child Health Centre;;;;;
Fufore;Yadim Ward;;Nyibango Health Post (Fufore);;;;;
Ganye;Bakari Goso Ward;;Babidi Health Clinic;;;;;
Ganye;Bakari Goso Ward;;Dirdiu Health Clinic;;;;;
Ganye;Bakari Goso Ward;;Bakari-Goso Health Post;;;;;
Ganye;Gamu Ward;;Dissol Health Post;;;;;
Ganye;Gamu Ward;;Sankom Health Clinic;;;;;
Ganye;Gamu Ward;;Gamu Health Clinic;;;;;
Ganye;Ganye 1 Ward;;Old Market Health Clinic;;;;;
Ganye;Ganye 1 Ward;;New Market Health Post;;;;;
Ganye;Ganye 2 Ward;;Ganye General Hospital;;;;;
Ganye;Ganye 2 Ward;;Pessi Health Post;;;;;
Ganye;Ganye 2 Ward;;Gandona Health Clinic;;;;;
Ganye;Ganye 2 Ward;;Gangwokki Health Post;;;;;
Ganye;Ganye 2 Ward;;Dadiri Health Post;;;;;
Ganye;Gurum Pawo Ward;;Guding Health Post;;;;;
Ganye;Gurum Pawo Ward;;Gurum Pawo Health Clinic;;;;;
Ganye;Gurum Pawo Ward;;Gangjaen Health Post;;;;;
Ganye;Gurum Pawo Ward;;Sammeri Health Post;;;;;
Ganye;Jaggu Ward;;Garamba Health Post;;;;;
Ganye;Jaggu Ward;;Banda Tsarga Health Post;;;;;
Ganye;Jaggu Ward;;Jaggu Health Clinic;;;;;
Ganye;Sangassumi Ward;;Sangassumi Health Clinic;;;;;
Ganye;Sugu Ward;;Gangwon Health Clinic;;;;;
Ganye;Sugu Ward;;Gangtum Health Clinic;;;;;
Ganye;Sugu Ward;;Sugu Health Centre;;;;;
Ganye;Timdore Ward;;Yelwa Health Clinic;;;;;
Ganye;Timdore Ward;;Sansiri Health Post;;;;;
Ganye;Timdore Ward;;Gurum Nonvan Health Post;;;;;
Ganye;Timdore Ward;;Dabora Health Post;;;;;
Ganye;Timdore Ward;;Sanjo JPRM Health Clinic;;;;;
Ganye;Timdore Ward;;Daksam Health Post;;;;;
Ganye;Yebbi Ward;;Gangjubi Health Post;;;;;
Ganye;Yebbi Ward;;Gangjari Health Post;;;;;
Ganye;Yebbi Ward;;Gbani Health Post;;;;;
Ganye;Yebbi Ward;;Janpuli Health Post;;;;;
Ganye;Yebbi Ward;;Kaika Health Post;;;;;
Ganye;Yebbi Ward;;Yebbi Health Clinic;;;;;
Girei;Dakri Ward;;Federal Housing Primary Health Centre;;;;;
Girei;Dakri Ward;;Dakri Health Clinic;;;;;
Girei;Dakri Ward;;Labondo Health Post;;;;;
Girei;Damare Ward;;Damare Maternal and Child Health Clinic;;;;;
Girei;Damare Ward;;Bajabure Health Post;;;;;
Girei;Gereng Ward;;Gereng Primary Health Centre;;;;;
Girei;Gereng Ward;;Kangling Health Clinic;;;;;
