LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Abak;Otoro 2 Ward;;Ikot Osom Health Post;;;;;
Abak;Abak Urban 1 Ward;;Ukpom Health Centre;;;;;
Abak;Abak Urban 1 Ward;;Ibanang Ediene Health Centre;;;;;
Abak;Abak Urban 1 Ward;;Ukpom General Hospital;;;;;
Abak;Abak Urban 2 Ward;;Ibagwa Maternal  & Child Health;;;;;
Abak;Abak Urban 2 Ward;;Itung Health Centre;;;;;
Abak;Abak Urban 3 Ward;;Abak Cedar & Olive Clinic;;;;;
Abak;Abak Urban 3 Ward;;Abak UduakAbasi Clinic;;;;;
Abak;Abak Urban 3 Ward;;Abak Mercy Hospital;;;;;
Abak;Abak Urban 3 Ward;;Abak Divine Medical Centre;;;;;
Abak;Abak Urban 3 Ward;;Abak Op Base Primary Health Centre;;;;;
Abak;Abak Urban 4 Ward;;Ikot Ebak Health Post;;;;;
Abak;Abak Urban 4 Ward;;Abak Itenge Health Post;;;;;
Abak;Afaha Obong 1 Ward;;Ikot Akpan Ikpong Health Post;;;;;
Abak;Afaha Obong 2 Ward;;Afaha Obong Health Centre;;;;;
Abak;Midim 1 Ward;;Midim Health Centre;;;;;
Abak;Midim 2 Ward;;Ikot Edong Health Post;;;;;
Abak;Otoro 1 Ward;;Abiakpo Health Centre;;;;;
Abak;Otoro 3 Ward;;Ibong Otoro Health Centre;;;;;
Abak;Otoro 3 Ward;;Ikot Etuk Udo Health Centre;;;;;
Eastern Obolo;Eastern Obolo 1 Ward;;Okoroette Primary Health Centre;;;;;
Eastern Obolo;Eastern Obolo 1 Ward;;Okoroette Cottage Hospital;;;;;
Eastern Obolo;Eastern Obolo 10 Ward;;Atabrikang HP;;;;;
Eastern Obolo;Eastern Obolo 2 Ward;;Okoromboko Health Post;;;;;
Eastern Obolo;Eastern Obolo 3 Ward;;Amadaka Health Centre;;;;;
Eastern Obolo;Eastern Obolo 4 Ward;;Elekpon Health Post;;;;;
Eastern Obolo;Eastern Obolo 5 Ward;;Emereoko Health Centre;;;;;
Eastern Obolo;Eastern Obolo 6 Ward;;Amauka Primary Health Centre;;;;;
Eastern Obolo;Eastern Obolo 6 Ward;;Amanglas Primary Health Centre;;;;;
