LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Aguata;Achina ward I;;Oye Achina Primary Health Centre;;;;;
Aguata;Achina ward I;;Obimkpa Achina Primary Health Centre;;;;;
Aguata;Achina ward II;;Ebele Achina Primary Health Centre;;;;;
Aguata;Agulu Ezechukwu ward;;Agulu Ezechukwu Primary Health Centre;;;;;
Aguata;Agulu Ezechukwu ward;;Aguluezechukwu Health Post;;;;;
Aguata;Ekwuluobia ward I;;Aguata Primary Health Centre;;;;;
Aguata;Ekwuluobia ward II;;Ula  Ekwulobia Primary Health Centre;;;;;
Aguata;Ekwuluobia ward II;;Ula Ekwulobia Health Post;;;;;
Aguata;Ezinifite ward I;;Aku Ezinifite Primary Health Centre;;;;;
Aguata;Ezinifite ward II;;Ifite Ezinifite Primary Health Centre;;;;;
Aguata;Igboukwu ward 11;;Ifite Igboukwu Primary Health Centre;;;;;
Aguata;Igboukwu ward I;;Obiuno Igboukwu Primary Health Centre;;;;;
Aguata;Ikenga ward;;Ikenga Primary Health Centre;;;;;
Aguata;Isuofia ward;;Isiaku Isuofia Health Post;;;;;
Aguata;Isuofia ward;;Ozala Isuofia Primary Health Centre;;;;;
Aguata;Isuofia ward;;Umueze Isuofia Primary Health Centre;;;;;
Aguata;Isuofia ward;;Ezioka Isuofia Health Post;;;;;
Aguata;Isuofia ward;;Ekwusigo Isuofia Health Centre;;;;;
Aguata;Mkpologwu ward;;Nkpologwu Health Post;;;;;
Aguata;Mkpologwu ward;;Nkpologwu Model Primary Health Centre;;;;;
Aguata;Ora-Eri ward;;Oraeri Primary Health Centre;;;;;
Aguata;Uga ward 1;;Umueze Uga Health Post;;;;;
Aguata;Uga ward 1;;Umuoru Uga Model Primary Health Centre;;;;;
Aguata;Uga ward 1;;Umoru Uga Health Post;;;;;
Aguata;Uga ward 11;;Oka Uga Health Post;;;;;
Aguata;Uga ward 11;;Awalasi Uga Health Post;;;;;
Aguata;Uga ward 11;;Awalasi Uga Model Primary Health Centre;;;;;
Aguata;Uga ward 11;;Nkwo Uga Primary Health Centre;;;;;
Aguata;Umuchu ward 1;;General Hospital Umuchu;;;;;
Aguata;Umuchu ward 1;;Ugwuakwu Umuchu Primary Health Centre;;;;;
Aguata;Umuchu ward 1;;Amihie Umuchu Primary Health Centre;;;;;
Aguata;Umuchu ward 11;;Achala Umuchu Health Post;;;;;
Aguata;Umuchu ward 11;;Ozalla Akukwa Umuchu Primary Health Centre;;;;;
Aguata;Umuona ward;;Umuona Health Centre;;;;;
Anambra East;Aguleri  Ward II;;Enugu Aguleri Primary Health Centre;;;;;
Anambra East;Aguleri Ward I;;Chidera Hosp. Aguleri;;;;;
Anambra East;Aguleri Ward I;;Chidubem Hosp. Aguleri;;;;;
Anambra East;Aguleri Ward I;;Ifite Aguleri Prim. Health Centre;;;;;
Anambra East;Enugwu-Otu ward;;Enugu Otu Primary Health Centre;;;;;
Anambra East;Enugwu-Otu ward;;Enugwu Otu Model Primary Health Center;;;;;
Anambra East;Eziagulu otu ward;;Eziagulu Otu Primary Health Centre;;;;;
Anambra East;Igbariam ward 1;;Igariam II (New) Prim. Health Centre;;;;;
Anambra East;Igbariam ward 1;;Igbariam farm Prim Health Centre;;;;;
