LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Brass;Brass 1 Ward 1;;Glorious Clinic;;;;;
Brass;Brass 1 Ward 1;;Twon-Brass Comprehensive Health Centre;;;;;
Brass;Brass 2 Ward 2;;Tim/Dan Maternity Imbikiri;;;;;
Brass;Brass 2 Ward 2;;Dogas Hospital;;;;;
Brass;Brass 2 Ward 2;;Twon Brass General Hospital;;;;;
Brass;Cape Femosa Ward 6;;Egweama Primary Health Centre;;;;;
Brass;Minibie Ward 9;;Minibie Primary Health Centre;;;;;
Brass;Minibie Ward 9;;Bekekiri Comprehensive Health Centre;;;;;
Brass;Odioma/Diema Ward 5;;Diema Primary Health Centre;;;;;
Brass;Odioma/Diema Ward 5;;Ibidi Model Primary Health Centre;;;;;
Brass;Odioma/Diema Ward 5;;Odioma Primary Health Centre;;;;;
Brass;Okpoama Ward 4;;Iseleama Primary Health Centre;;;;;
Brass;Okpoama Ward 4;;Okpoama Cottage Hospital;;;;;
Brass;Sangana Ward 10;;Sangana Cottage Hospital;;;;;
Ekeremor;Iduwini I Ward 12;;Agge Primary Health Centre;;;;;
Ekeremor;Iduwini II Ward 12;;Egbemo-Angalabiri Model Primary Health Centre;;;;;
Ekeremor;Iduwini II Ward 12;;Agbidi-ama Primary Health Centre;;;;;
Ekeremor;Iduwini II Ward 12;;Letubgene Primary Health Centre;;;;;
Ekeremor;Iduwini II Ward 12;;Orobiri Primary Health Centre;;;;;
Ekeremor;Iduwini II Ward 12;;Azagbene Primary Health Centre;;;;;
Ekeremor;Oporomor 1 Ward 6;;Amabolou Comprehensive Health Centre;;;;;
Ekeremor;Oporomor 11 Ward 5;;Norgbene Primary Health Centre;;;;;
Ekeremor;By Oporomor II Ward 7;;Tamogbene Primary Health Centre;;;;;
Ekeremor;By Oporomor II Ward 7;;Tamogbene Cottage Hospital;;;;;
Ekeremor;Oporomor III Ward 8;;Ekeremor Comprehensive Health Centre;;;;;
Ekeremor;Oporomor IV Ward 9;;Peretorugbene Cottage Hospital;;;;;
Ekeremor;Oporomor IV Ward 9;;Peretorugbene Comprehensive Health Centre;;;;;
Ekeremor;Oporomor V Ward 10;;Toru-Ndoro Comprehensive Health Centre;;;;;
Ekeremor;Oyiakiri I Ward 2;;Aleibiri Comprehensive Health Centre;;;;;
Ekeremor;Oyiakiri IV Ward 5;;Ogbogbene Primary Health Centre;;;;;
Ekeremor;Oyiakiri IV Ward 5;;Lalagbene Primary Health Centre;;;;;
Ekeremor;Tarakiri Ward 1;;Ayamasa Primary Health Centre;;;;;
Ekeremor;Tarakiri Ward 1;;Isampou Primary Health Centre;;;;;
Kolokuma/Opokuma;Igbedi Ward 11;;Igbedi Primary Health Centre;;;;;
Kolokuma/Opokuma;Kaiama Ward 4;;Kaiama Cottage Hospital;;;;;
Kolokuma/Opokuma;Kaiama Ward 4;;Kaiama Comprehensive Health Centre;;;;;
Kolokuma/Opokuma;Odi Ward 2 ;;Odi Comprehensive Health Centre;;;;;
Kolokuma/Opokuma;Odi Ward 3;;Odi General Hospital;;;;;
Kolokuma/Opokuma;Okoloba Ward 10;;Okoloba Comprehensive Health Centre;;;;;
Kolokuma/Opokuma;Opokuma North Ward 7;;Opokuma North Primary Health Centre;;;;;
Kolokuma/Opokuma;Opokuma North Ward 7;;Alaere Alaibe Primary Health Centre;;;;;
Kolokuma/Opokuma;Opokuma South Ward 8;;Opokuma South Comprehensive Health Centre;;;;;
Kolokuma/Opokuma;Sabagreia Ward 9;;Sabagreia Primary Health Centre;;;;;
Kolokuma/Opokuma;Sampou/Kalama Ward 6;;Sampou Primary Health Centre;;;;;
Nembe;Bassambiri Ward 2;;Bassambiri Comprehensive Health Centre;;;;;
Nembe;Igbeta-Ewo-Ama Ward 8;;Nembe Creek Primary Health Centre;;;;;
Nembe;Igbeta-Ewo-Ama Ward 8;;Sabatoru Primary Health Centre;;;;;
Nembe;Igbeta-Ewo-Ama Ward 8;;Agbakabiriyai Primary Health Centre;;;;;
Nembe;Igbeta-Ewo-Ama Ward 8;;Ewelesuo Primary Health Centre;;;;;
Nembe;Igbeta-Ewo-Ama Ward 8;;Igbeta-Ewo-Ama Primary Health Centre;;;;;
Nembe;Ikensi Ward 12;;Obiata Primary Health Centre;;;;;
Nembe;Ikensi Ward 12;;Atubo Primary Health Centre;;;;;
Nembe;Ikensi Ward 12;;Ikensi Primary Health Centre;;;;;
Nembe;Mini Ward 11;;Iseleogono Primary Health Centre;;;;;
Nembe;Mini Ward 11;;Agrisaba Primary Health Centre;;;;;
Nembe;Obioku Ward 7;;Obioku Primary Health Centre;;;;;
Nembe;Ogbolomabiri Ward 2;;Nembe Comprehensive Health Centre;;;;;
Nembe;Okipiri Ward 6;;Okipiri Primary Health Centre;;;;;
Nembe;Okoroma Ward 1;;Ologoama Primary Health Centre;;;;;
Nembe;Okoroma Ward 1;;Akakumama Primary Health Centre;;;;;
Nembe;Okoroma Ward 2;;Oguama Primary Health Centre;;;;;
Nembe;Oluasiri Ward 13;;Otumo-Ama Primary Health Centre;;;;;
Nembe;Oluasiri Ward 13;;Isaiah-Ama Primary Health Centre;;;;;
Ogbia;Anyama Ward;;Anyama Primary Health Centre;;;;;
Ogbia;Imiringi Ward;;Elebele Primary Health Centre;;;;;
Ogbia;Imiringi Ward;;Christ The King Catholic Hospital;;;;;
Ogbia;Ogbia Town Ward;;Ogbia Town Comprehensive Health Centre;;;;;
Ogbia;Ogbia Town Ward;;Ibelebiri Primary Health Centre;;;;;
Ogbia;Ologi Ward;;Ayakoro Primary Health Centre;;;;;
Ogbia;Opume Ward;;Opume Comprehensive Health Centre;;;;;
Ogbia;Otuasega Ward;;Oruma Primary Health Centre;;;;;
Ogbia;Otuokpoti Ward;;Onuebum Primary Health Centre;;;;;
Sagbama;Adagbabiri Ward 13;;Adagbabiri Model Primary Health Centre;;;;;
Sagbama;Adagbabiri Ward 13;;Anibeze Community Primary Health Centre;;;;;
Sagbama;Adagbabiri Ward 13;;Tungbabiri Primary Health Centre;;;;;
Sagbama;Adagbabiri Ward 13;;Tungbo Basic Primary Health Centre;;;;;
Sagbama;Agbere Ward;;Agbere Cottage Hospital;;;;;
Sagbama;Agoro Ward;;Agorogbene Primary Health Centre;;;;;
Sagbama;Agoro Ward;;Eriama Primary Health Centre;;;;;
Sagbama;Agoro Ward;;Agoro Primary Health Centre ;;;;;
Sagbama;Angalabiri Ward;;Angalabiri Primary Health Centre;;;;;
Sagbama;Angalabiri Ward;;Bulou-Orua Comprehensive Health Centre;;;;;
Sagbama;Asamabiri Ward;;Elemebiri Comprehensive Health Centre;;;;;
Sagbama;Asamabiri Ward;;Ekpeiware Primary Health Centre;;;;;
Sagbama;Asamabiri Ward;;Asamabiri Comprehensive Health Centre;;;;;
Sagbama;Ebedebiri Ward;;Toru-Angiama Primary Health Centre;;;;;
Sagbama;Ebedebiri Ward;;Ebedebiri Comprehensive Health Centre;;;;;
Sagbama;Odoni Ward;;Odoni Primary Health Centre;;;;;
Sagbama;Ofoni Ward;;Ofoni Comprehensive Health Centre;;;;;
Sagbama;Osekwenike Ward;;Osifo Primary Health Centre;;;;;
Sagbama;Osekwenike Ward;;Osikwenike Primary Health Centre;;;;;
Sagbama;Ossiama Ward;;Egbepulou-ama Primary Health Centre;;;;;
Sagbama;Ossiama Ward;;Ossiama Primary Health Centre;;;;;
Sagbama;Ossiama Ward;;Isoni Comprehensive Health Centre;;;;;
Sagbama;Sagbama Ward;;Sagbama General Hospital;;;;;
Sagbama;Sagbama Ward;;Sagbama Comprehsive Health Centre;;;;;
Sagbama;Toru-Ebeni Ward;;Anyama-Ibeni Primary Health Centre;;;;;
Southern Ijaw;Amassoma Ward 10;;Amatolo Primary Health Centre;;;;;
Southern Ijaw;Amassoma Ward 10;;Amassoma Comprehensive Health Centre;;;;;
Southern Ijaw;Amassoma Ward 11;;Amassoma General Hospital;;;;;
Southern Ijaw;Apoi Ward 15;;Gbanraun Primary Health Centre;;;;;
Southern Ijaw;Ekowe Ward 7;;Ekowe Primary Health Centre;;;;;
Southern Ijaw;Olodiama I Ward 3;;Korokorosei Comprehensive Health Centre;;;;;
Southern Ijaw;Olodiama II Ward 4;;Olugbobiri Primary Health Centre;;;;;
Southern Ijaw;Oporoma II Ward 2;;Anyama Primary Health Centre;;;;;
Southern Ijaw;Opuama Ward 6;;Opuama Primary Health Centre;;;;;
Southern Ijaw;Otuan Ward 5;;Otuan Comprehensive Health Centre;;;;;
Southern Ijaw;Peremabiri Ward 8;;Peremabiri Primary Health Centre;;;;;
Southern Ijaw;Peremabiri Ward 8;;Peremabiri Cottage Hospital;;;;;
Yenagoa;Atissa II / Famgbe Ward 2;;Famgbe Primary Health Centre;;;;;
Yenagoa;Atissa II / Famgbe Ward 2;;Yenaka Primary Health Centre;;;;;
Yenagoa;Atissa III Ward 3;;Agbura Primary Health Centre;;;;;
Yenagoa;Biseni I Ward 12;;Biseni Cottage Hospital;;;;;
Yenagoa;Biseni II Ward 13;;Egbebiri Primary Health Centre;;;;;
Yenagoa;Ekpetiama I Ward 10;;Bomoundi Primay Health Centre;;;;;
Yenagoa;Ekpetiama I Ward 10;;Agudama-Ekpetiama General Hospital;;;;;
Yenagoa;Ekpetiama II Ward 11;;Tombia Primary Health Centre;;;;;
Yenagoa;Epie I Ward 4;;King Malla Sasime Medical Health Centre;;;;;
Yenagoa;Epie I Ward 4;;Yenegwe Primary Health Centre;;;;;
Yenagoa;Epie I Ward 4;;Agudama Epie Comprehensive Health Centre;;;;;
Yenagoa;Epie II Ward 5;;Mieye Clinic;;;;;
Yenagoa;Epie II Ward 5;;Opolo-Epie Primary Health Centre;;;;;
Yenagoa;Epie II Ward 5;;Diete Koki Memorial Hospital;;;;;
Yenagoa;Epie II Ward 5;;Yenezue-Gene Primary Health Centre;;;;;
Yenagoa;Epie II Ward 5;;Kuro Specialist Clinic;;;;;
Yenagoa;Epie III Ward 6;;Okaka Primary Health Centre;;;;;
Yenagoa;Epie III Ward 6;;Amarata Primary Health Centre;;;;;
Yenagoa;Gbarain I Ward 7;;Nedugo-Agbia Primary Health Centre;;;;;
Yenagoa;Gbarain II Ward 8;;Divine Grace Medical Centre ;;;;;
Yenagoa;Gbarain II Ward 8;;Niger Delta University Teaching Hospital;;;;;
