LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Ado;Akpoge/Ogbilolo Ward;;Aganacha Family Support Programme Clinic;;;;;
Ado;Akpoge/Ogbilolo Ward;;Agila Primary Health Centre;;;;;
Ado;Apa Ward;;Okpobila LG Health Post;;;;;
Ado;Apa Ward;;Ogebe LG Health Post;;;;;
Ado;Apa Ward;;Apa Basic Health Clinic;;;;;
Ado;Ekile Ward;;Ekpufu Health Post;;;;;
Ado;Ekile Ward;;Ekile Primary Health Centre;;;;;
Ado;Igumale Ward I;;Igumale Primary Health Centre;;;;;
Ado;Igumale Ward II;;Etenyi I Primary Health Centre;;;;;
Ado;Ijigban Ward;;Ijigban Primary Health Centre;;;;;
Ado;Ogege Ward;;Ogi LG Health Post;;;;;
Ado;Ogege Ward;;Ikpomolokpo Health Post;;;;;
Ado;Ogege Ward;;Rijo Primary Health Centre;;;;;
Ado;Ogege Ward;;Ikara LG Health Post;;;;;
Ado;Ogege Ward;;Watuolo LG Health Post;;;;;
Ado;Okwonyo Ward;;Ndekema Primary Health Centre;;;;;
Ado;Okwonyo Ward;;Ojije LG Health Post;;;;;
Ado;Okwonyo Ward;;Utonkon Comprehensive Health Centre;;;;;
Ado;Royongo Ward;;Udebo Igba Health Post;;;;;
Ado;Royongo Ward;;Ujol Health Post;;;;;
Ado;Royongo Ward;;Ojenyo Primary Health Centre;;;;;
Ado;Royongo Ward;;Adochi LG Health Post;;;;;
Ado;Royongo Ward;;Udebo-Ojenyo Primary Health Centre;;;;;
Ado;Ulayi Ward;;Ulayi Primary Health Centre;;;;;
Ado;Ulayi Ward;;Inikiri LG Health Post;;;;;
Agatu;Egba Ward;;Adagbo Health Post;;;;;
Agatu;Egba Ward;;Abugbe Primary Health Centre;;;;;
Agatu;Egba Ward;;Egba Health Post;;;;;
Agatu;Enungba Ward;;Enungba Primary Health Centre;;;;;
Agatu;Enungba Ward;;Ichogolugwu Health Post;;;;;
Agatu;Enungba Ward;;Ogbangede Primary Health Centre;;;;;
Agatu;Obagaji Ward;;Obagaji Primary Health Centre;;;;;
Agatu;Obagaji Ward;;Obagaji Comprehensive Health Centre;;;;;
Agatu;Obagaji Ward;;Obishu Health Post;;;;;
Agatu;Odugbeho Ward;;Odejo Primary Health Centre;;;;;
Agatu;Odugbeho Ward;;Odugbeho Primary Health Centre;;;;;
Agatu;Odugbeho Ward;;Ugboju Health Post;;;;;
Agatu;Ogbaulu Ward;;Olegabulu Health Post;;;;;
Agatu;Ogbaulu Ward;;Ogbaulu Primary Health Centre;;;;;
Agatu;Ogwule-Kaduna Ward;;Olegentonu Health Post;;;;;
Agatu;Ogwule-Kaduna Ward;;Akele Health Post;;;;;
Agatu;Ogwule-Kaduna Ward;;Ekwo-Okpanchenyi Primary Health Centre;;;;;
