LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Askira/Uba;Askira East Ward;;Askira Family Support Programme Clinic;;;;;
Askira/Uba;Askira East Ward;;Yimit Ali Health Clinic;;;;;
Askira/Uba;Delle Huyam Ward;;Delle Dispensary;;;;;
Askira/Uba;Hussara Tampul Ward;;Hussara Health Clinic;;;;;
Askira/Uba;Hussara Zajawa Ward;;Askira General Hospital;;;;;
Askira/Uba;Hussara Zajawa Ward;;Leho Dispensary;;;;;
Askira/Uba;Lassa Ward;;Lassa General Hospital;;;;;
Askira/Uba;Mussa Ward;;Mussa Primary Health Centre;;;;;
Askira/Uba;Mussa Ward;;Mussa Dispensary;;;;;
Askira/Uba;Ngohi Ward;;Kilangal Dispensary;;;;;
Askira/Uba;Ngohi Ward;;Ngohi Dispensary;;;;;
Askira/Uba;Ngulde Ward;;Grambal Health Clinic;;;;;
Askira/Uba;Ngulde Ward;;Ngulde Dispensary;;;;;
Askira/Uba;Rumirgo Chull Ward;;Remirgo Dispensary;;;;;
Askira/Uba;Uba Ward;;Uba Dispensary;;;;;
Askira/Uba;Uba Ward;;Uba General Hospital;;;;;
Askira/Uba;Uvu Uda Ward;;Udah Dispensary;;;;;
Askira/Uba;Uvu Uda Ward;;Uvu Health Clinic;;;;;
Askira/Uba;Wamdio Ward;;Wamdio Dispensary;;;;;
Askira/Uba;Wamdio Ward;;Giwi Dispensary;;;;;
Askira/Uba;Wamdio Ward;;EYN Dispensary (Askira/Uba);;;;;
Bayo;Balbaya Ward;;Balbaya Dispensary;;;;;
Bayo;Briyel Ward;;Fikeheil Dispensary;;;;;
Bayo;Briyel Ward;;Briyel Maternal and Child Health Centre;;;;;
Bayo;Gamadadi Ward;;Gamadadi Health Clinic;;;;;
Bayo;J/Gol Ward;;Korko Dispensary;;;;;
Bayo;Jaradali Ward;;Guvayako Dispensary;;;;;
Bayo;Jaradali Ward;;Zange Dispensary;;;;;
Bayo;Jaradali Ward;;Jaradali Dispensary;;;;;
Bayo;Teli Ward;;Garingado Dispensary;;;;;
Bayo;Teli Ward;;Limanti Dispensary;;;;;
Bayo;Teli Ward;;Teli Dispensary;;;;;
Bayo;Wuyo Ward;;Gaidam Dispensary;;;;;
Bayo;Wuyo Ward;;Guburnde Dispensary;;;;;
