LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Ado Ekiti;Ago Aduloju Ward;;Ago Adoluju Basic Health Clinic;;;;;
Ado Ekiti;Ago Aduloju Ward;;Eminrin Health Centre;;;;;
Ado Ekiti;Ago Aduloju Ward;;Erifun Basic Health Clinic;;;;;
Ado Ekiti;Ago Aduloju Ward;;Temidire Esumo Primary Health Centre;;;;;
Ado Ekiti;Basiri Ward;;Victory Hospital;;;;;
Ado Ekiti;Basiri Ward;;Judiciary Staff Clinic Ado-Ekiti;;;;;
Ado Ekiti;Basiri Ward;;Mercyland Clinic;;;;;
Ado Ekiti;Basiri Ward;;Bikky Maximum Hospital;;;;;
Ado Ekiti;Basiri Ward;;St Gregory Hospital;;;;;
Ado Ekiti;Basiri Ward;;Basiri Basic Health Clinic;;;;;
Ado Ekiti;Basiri Ward;;Oreofe Oluwa Clinic;;;;;
Ado Ekiti;Ekute Ward;;Okeoniyo Basic Health Clinic;;;;;
Ado Ekiti;Ekute Ward;;Ade Tade Hospital;;;;;
Ado Ekiti;Ekute Ward;;Itunuoluwa Medical Centre;;;;;
Ado Ekiti;Ekute Ward;;EK FOLA MAYOWA CLINIC & MATERNITY;;;;;
Ado Ekiti;Igirigiri Ward;;Igirigiri Basic Health Clinic;;;;;
Ado Ekiti;Ijigbo Ward;;Idolofin Basic Health Clinic;;;;;
Ado Ekiti;Irona Wad;;Ile Abiye Hospital;;;;;
Ado Ekiti;Irona Wad;;Oke Aso Basic Health Clinic;;;;;
Ado Ekiti;Irona Wad;;Irona Basic Health Clinic;;;;;
Ado Ekiti;Irona Wad;;Oke Osun Basic Health Clinic;;;;;
Ado Ekiti;Irona Wad;;Ileri Oluwa Clinic;;;;;
Ado Ekiti;Irona Wad;;Oguntoye Hospital;;;;;
Ado Ekiti;Odo Ward;;Eden Life Specialist Hospital;;;;;
Ado Ekiti;Odo Ward;;Odo Basic Health Clinic;;;;;
Ado Ekiti;Odo Ward;;Gilead Specialist Hospital;;;;;
Ado Ekiti;Odo-Ado Ward;;Ado Grammar School;;;;;
Ado Ekiti;Odo-Ado Ward;;Odo Ado Basic Health Clinic;;;;;
Ado Ekiti;Odo-Ado Ward;;Fountain of Hope Medical Centre;;;;;
Ado Ekiti;Odo-Ado Ward;;Idofin Basic Health Clinic;;;;;
Ado Ekiti;Odo-Ado Ward;;Shekinah medical clinic;;;;;
Ado Ekiti;Oke Ila Ward;;Abek Hospital;;;;;
