LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Birnin Gwari;Damari Ward;;Takama Health Clinic;;;;;
Birnin Gwari;Damari Ward;;Gwanda Health Clinic;;;;;
Birnin Gwari;Damari Ward;;Damari Health Clinic (Birnin Gwari);;;;;
Birnin Gwari;Damari Ward;;Ingade Health Clinic;;;;;
Birnin Gwari;Dogon Dawa Ward;;Funtuwan Badadi Health Clinic;;;;;
Birnin Gwari;Dogon Dawa Ward;;Dogon Dawa Priamry Health Clinic;;;;;
Birnin Gwari;Dogon Dawa Ward;;Unguwar Danko Health Clinic;;;;;
Birnin Gwari;Gayam Ward;;Palwaya Health Clinic;;;;;
Birnin Gwari;Gayam Ward;;Rumana Health Clinic;;;;;
Birnin Gwari;Gayam Ward;;Gayam Health Clinic;;;;;
Birnin Gwari;Gayam Ward;;Kwaga Health Clinic;;;;;
Birnin Gwari;Gayam Ward;;Mando Health Clinic;;;;;
Birnin Gwari;Gayam Ward;;Kamfanin Doka Health Clinic;;;;;
Birnin Gwari;Gayam Ward;;Layin Maigwari Health Clinic;;;;;
Birnin Gwari;Gayam Ward;;Labi Health Clinic;;;;;
Birnin Gwari;Kakangi Ward (Birnin Gwari);;Kakangi Health Clinic (Birnin Gwari);;;;;
Birnin Gwari;Kakangi Ward (Birnin Gwari);;Katakaki Health Clinic;;;;;
Birnin Gwari;Kakangi Ward (Birnin Gwari);;Unguwar Zakara Health Clinic;;;;;
Birnin Gwari;Kakangi Ward (Birnin Gwari);;Gagumi Health Clinic;;;;;
Birnin Gwari;Kakangi Ward (Birnin Gwari);;Tashar Keji Health Clinic;;;;;
Birnin Gwari;Kakangi Ward (Birnin Gwari);;Sabon Layi Health Clinic;;;;;
Birnin Gwari;Kakangi Ward (Birnin Gwari);;Unguwar Bagudu Health Clinic;;;;;
Birnin Gwari;Kutemeshi Ward;;Kutemeshe Health Clinic;;;;;
Birnin Gwari;Kutemeshi Ward;;Unguwar Gajere Health Clinic;;;;;
Birnin Gwari;Kuyello Ward;;Shado Health Clinic;;;;;
Birnin Gwari;Kuyello Ward;;Kuyello Priamry Health Clinic;;;;;
Birnin Gwari;Kuyello Ward;;Old Kuyello Health Clinic;;;;;
Birnin Gwari;Kuyello Ward;;Kwasa Kwasa Health Clinic;;;;;
Birnin Gwari;Kuyello Ward;;Dinya Health Centre;;;;;
Birnin Gwari;Magajin Gari 1 Ward;;Birnin Gwari Maternal and Child Health Clinic;;;;;
Birnin Gwari;Magajin Gari 1 Ward;;Anguwar Shitu Health Clinic;;;;;
Birnin Gwari;Magajin Gari 1 Ward;;Kagi Health Clinic;;;;;
Birnin Gwari;Magajin Gari 2 Ward;;Bugai Health Clinic;;;;;
Birnin Gwari;Magajin Gari 2 Ward;;Awaro Health Clinic;;;;;
Birnin Gwari;Magajin Gari 2 Ward;;Anguwar Haladu Priamry Health Centre;;;;;
Birnin Gwari;Magajin Gari 2 Ward;;Jibrin Maigwari General Hospital;;;;;
Birnin Gwari;Magajin Gari 3 Ward;;Saulawa Health Clinic;;;;;
Birnin Gwari;Magajin Gari 3 Ward;;Unguwar Nachibi Health Clinic;;;;;
Birnin Gwari;Magajin Gari 3 Ward;;Maganda Health Clinic;;;;;
Birnin Gwari;Magajin Gari 3 Ward;;Gwaska Health Clinic;;;;;
Birnin Gwari;Randagi Ward;;Dawakin Bassa Health Clinic;;;;;
Birnin Gwari;Randagi Ward;;Nassarawa Health Clinic (Birnin Gwari);;;;;
Birnin Gwari;Randagi Ward;;Ijinga Health Clinic;;;;;
Birnin Gwari;Randagi Ward;;Shirya Health Clinic;;;;;
Birnin Gwari;Randagi Ward;;Kungi Health Clinic;;;;;
Birnin Gwari;Randagi Ward;;Kuki Health Clinic;;;;;
Birnin Gwari;Randagi Ward;;Randagi Health Clinic;;;;;
Birnin Gwari;Randagi Ward;;Kimbi Health Clinic;;;;;
Birnin Gwari;Randagi Ward;;Ukuga Health Clinic;;;;;
Birnin Gwari;Tabanni Ward;;Tabanni Primary Health Clinic;;;;;
Birnin Gwari;Tabanni Ward;;Layin Lassan Health Clinic;;;;;
Birnin Gwari;Tabanni Ward;;Old Tabanni Health Clinic;;;;;
Chikun;Chikun Unknown Ward;;Mio Prince Clinical;;;;;
Chikun;Chikun Unknown Ward;;Top Clinic and Maternity;;;;;
Chikun;Chikun Ward;;Katarma Health Clinic;;;;;
Chikun;Chikun Ward;;Gadan Health Centre;;;;;
Chikun;Chikun Ward;;Chikun Health Clinic;;;;;
Chikun;Chikun Ward;;Dakunu Health Centre;;;;;
Chikun;Gwagwada Ward;;Gwagwada Health Clinic;;;;;
Chikun;Gwagwada Ward;;Ungwan Turai Primary Health Centre;;;;;
