LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Aleiro;Dan Galadima I Ward;;Dan Galadima Dispensary;;;;;
Aleiro;Dan Galadima II Ward;;Gumin Dari Dispensary;;;;;
Aleiro;Dan Galadima II Ward;;Saddam Dispensary;;;;;
Aleiro;Danwarai Ward;;Danwarai Dispensary;;;;;
Aleiro;Jiga Birni Ward;;Gangije Health Clinic;;;;;
Aleiro;Jiga Birni Ward;;Jiga Dispensary;;;;;
Aleiro;Jiga Makera Ward;;Jiga Kambarori Health Clinic;;;;;
Aleiro;Jiga Makera Ward;;Jiga Sala Dispensary;;;;;
Aleiro;Kashin Zama Ward;;Kashin Zama Dispensary;;;;;
Aleiro;Rafin Bauna Ward;;Unguwar Galadima Primary Health Clinic;;;;;
Aleiro;Rafin Bauna Ward;;Unguwar Alu Health Clinic;;;;;
Aleiro;Rafin Bauna Ward;;Rafin Bauna Dispensary;;;;;
Aleiro;Rafin Bauna Ward;;Unguwar Basharu Dispensary;;;;;
Aleiro;Sabiyel Ward;;Sabiyel Dispensary;;;;;
Aleiro;Sabiyel Ward;;Dakalaa Dispensary;;;;;
Aleiro;Sabiyel Ward;;Marmaro Dispensary;;;;;
Aleiro;Sarkin Fada I Ward;;University Clinic;;;;;
Aleiro;Sarkin Fada II Ward;;Dorawai Dispensary;;;;;
Aleiro;Sarkin Fada II Ward;;General Hospital Aliero;;;;;
Aleiro;Sarkin Fada II Ward;;Gumbulu Dispensary;;;;;
Arewa;Bachaka Ward;;Daura Dispensary;;;;;
Arewa;Bachaka Ward;;Bachaka Dispensary;;;;;
Arewa;Bui Ward;;Mamunu Dispensary;;;;;
Arewa;Bui Ward;;Model Primary Health Centre Bui;;;;;
Arewa;Bui Ward;;Tungar Tsoho Health Clinic (MDG);;;;;
Arewa;Bui Ward;;Gigane Dispensary;;;;;
Arewa;Bui Ward;;Taggo Dispensary;;;;;
Arewa;Bui Ward;;Dangongora Dispensary;;;;;
Arewa;Chibike Ward;;Dogon Daji Primary Health Centre;;;;;
Arewa;Chibike Ward;;Farsango Dispensary;;;;;
Arewa;Chibike Ward;;Marake Dispensary;;;;;
Arewa;Chibike Ward;;Chibike Dispensary;;;;;
Arewa;Falde Ward;;Falde Dispensary;;;;;
Arewa;Falde Ward;;Baraya Dispensary;;;;;
Arewa;Feske/Jafeji Ward;;Amagwaro Dispensary;;;;;
Arewa;Feske/Jafeji Ward;;Feske Tudu Dispensary;;;;;
Arewa;Feske/Jafeji Ward;;Ganza Dispensary;;;;;
Arewa;Gorin Dikko Ward;;Sabaru Dispensary;;;;;
Arewa;Gorin Dikko Ward;;Gorun Dikko Dispensary;;;;;
Arewa;Gumudai/R/Tsaka WArd;;Gumundai Dispensary;;;;;
Arewa;Gumudai/R/Tsaka WArd;;Gorun Ango Dispensary;;;;;
Arewa;Gumudai/R/Tsaka WArd;;Rafin Tsaka Upgraded Dispensary;;;;;
