LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Adavi;Adavi-Eba Ward;;Talk Health Clinic;;;;;
Adavi;Adavi-Eba Ward;;Gods Glory Hospital;;;;;
Adavi;Adavi-Eba Ward;;Adavi Eba Cottage Hospital;;;;;
Adavi;Adavi-Eba Ward;;Agape Clinic;;;;;
Adavi;Adavi-Eba Ward;;Adavi-Eba Primary Health Centre;;;;;
Adavi;Adavi-Eba Ward;;Osoma Primary Health Centre;;;;;
Adavi;Egge Ward;;Adavi Basic Health Clinic (Egge);;;;;
Adavi;Egge Ward;;Egge Primary Health Centre;;;;;
Adavi;Idanuha Ward;;Obuburu Primary Health Centre;;;;;
Adavi;Inioziomi Ward;;Apasi Clinic;;;;;
Adavi;Inioziomi Ward;;Oyiza Hospital;;;;;
Adavi;Karaworo Ward;;Iresuha Primary Health Centre;;;;;
Adavi;Karaworo Ward;;Amoyiza Clinic;;;;;
Adavi;Kuroko 1 Ward;;Adavi Evangelical Church of West Africa (ECWA) Hospital;;;;;
Adavi;Kuroko 1 Ward;;Adavi Family Support Programme Maternity Clinic;;;;;
Adavi;Kuroko 2 Ward;;Adavi Basic Health Clinic (Kuroko 2);;;;;
Adavi;Nagazi Ward;;Osara Modern Primary Health Centre;;;;;
Adavi;Nagazi Ward;;Adavi Government Secondary School Clinic;;;;;
Adavi;Nagazi Ward;;Deeza Hospital;;;;;
Adavi;Nagazi Ward;;Peoples Clinic;;;;;
Adavi;Nagazi Ward;;Utoro Primary Health Centre;;;;;
Adavi;Nagazi Ward;;Fati Memorial Clinic;;;;;
Adavi;Nagazi Ward;;CSS School Clinic;;;;;
Adavi;Nagazi Ward;;Irewagere Primary Health Centre;;;;;
Adavi;Nagazi Ward;;Nagazi Comprehensive Health Centre;;;;;
Adavi;Nagazi Ward;;Nagazi Clinic and Maternity;;;;;
Adavi;Nagazi Ward;;Aku Primary Health Centre;;;;;
Adavi;Nagazi Ward;;Oziokutu Modern Primary Health Centre;;;;;
Adavi;Nagazi Ward;;Irepene Primary Health Centre;;;;;
Adavi;Nagazi Ward;;Atami Primary Health Centre;;;;;
Adavi;Nagazi Ward;;Ogaminana Clinic;;;;;
Adavi;Okunchi Ward;;Ozuri Modern Primary Health Centre;;;;;
Adavi;Okunchi Ward;;Ozuri School Clinic;;;;;
Adavi;Okunchi Ward;;Ada-Ohi Primary Health Care Centre;;;;;
Adavi;Okunchi Ward;;Mercy Clinic;;;;;
Adavi;Osisi Ipaku Ward;;Osisi Maternity;;;;;
Adavi;Uhucheba Ward;;Victory Clinic;;;;;
Ajaokuta; Odonu/Ohuege Ward;;Ayello Clinic;;;;;
Ajaokuta;Adogo Ward;;Adogo Cottage Hospital;;;;;
Ajaokuta;Adogo Ward;;Adogo Primary Health Centre;;;;;
Ajaokuta;Adogwu / Ogodo Ward;;Ogodo Primary Health Centre;;;;;
Ajaokuta;Ajaokuta Ward;;Oguro Primary Health Centre;;;;;
Ajaokuta;Ajaokuta Ward;;KM 18 Primary Health Centre;;;;;
Ajaokuta;Ajaokuta Ward;;Ajaokuta Primary Health Centre;;;;;
Ajaokuta;Ebiya North Ward;;Okuha Obanyi Primary Health Centre;;;;;
Ajaokuta;Ebiya South Ward;;Apanko Primary Health Centre;;;;;
Ajaokuta;Geregu Ward;;Geregu Primary Health Centre;;;;;
Ajaokuta;Geregu Ward;;Asco Medical Center, Ajaokuta;;;;;
Ajaokuta;Geregu Ward;;Larouk Clinic;;;;;
Ajaokuta;Geregu Ward;;Township Clinic;;;;;
Ajaokuta;Geregu Ward;;Elaite Primary Health Centre;;;;;
Ajaokuta;Geregu Ward;;Ukporoko Primary Health Centre;;;;;
Ajaokuta;Geregu Ward;;Emiworo Primary Health Centre;;;;;
Ajaokuta;Geregu Ward;;Duro Soloye Clinic;;;;;
Ajaokuta;Geregu Ward;;Emi Adiko Primary Health Centre;;;;;
Ajaokuta;Geregu Ward;;Ganaja Primary Health Centre;;;;;
Ajaokuta;Geregu Ward;;Ko Unique Clinic;;;;;
Ajaokuta;Ogigiri Ward;;Ogigiri Primary Health Centre;;;;;
Ajaokuta;Patesi Abodu Ward;;Petesi Primary Health Centre;;;;;
Ajaokuta;Ukpake Ward;;Obangede Primary Health Centre;;;;;
Ajaokuta;Unosi Omgbo Ward;;Unosi Primary Health Centre;;;;;
Ajaokuta;Upaja/Uchuwa Ward;;Inayere Primary Health Centre;;;;;
Ankpa;Ankpa Subbub 1 Ward;;Egbeche Primary Health Centre;;;;;
Ankpa;Ankpa Subbub 1 Ward;;Acheka Medical Centre;;;;;
Ankpa;Ankpa Subbub 1 Ward;;Ojogobi Primary Health Centre;;;;;
Ankpa;Ankpa Subbub 1 Ward;;Emanyi Primary Health Centre;;;;;
Ankpa;Ankpa Subbub 1 Ward;;Owelle Primary Health Centre;;;;;
Ankpa;Ankpa Subbub 2 Ward;;Ochi-Otago Primary Health Centre;;;;;
Ankpa;Ankpa Subbub 2 Ward;;Ogodo Primary Health Centre (Ankpa);;;;;
Ankpa;Ankpa Subbub 2 Ward;;Acharane Primary Health Centre;;;;;
Ankpa;Ankpa Subbub 2 Ward;;Akuh Primary Health Centre;;;;;
Ankpa;Ankpa Subbub 2 Ward;;Lagos Ochi Primary Health Centre;;;;;
Ankpa;Ankpa Township Ward;;Ankpa Family Support Programme Clinic;;;;;
Ankpa;Ankpa Township Ward;;Ogaji Primary Health Centre;;;;;
Ankpa;Ankpa Township Ward;;Ankpa Staff Clinic;;;;;
Ankpa;Ankpa Township Ward;;Mother and Child Clinic;;;;;
Ankpa;Ankpa Township Ward;;Amazing Grace Clinic;;;;;
Ankpa;Ankpa Township Ward;;Ankpa General Hospital;;;;;
Ankpa;Ankpa Township Ward;;Angwa Primary Health Centre;;;;;
Ankpa;Ankpa Township Ward;;Enopkoli Primary Health Centre;;;;;
Ankpa;Ankpa Township Ward;;Ankpa Primary Health Centre;;;;;
Ankpa;Ankpa Ward 1;;Emere Primary Health Centre;;;;;
Ankpa;Ankpa Ward 1;;Enelie Primary Health Care Centre;;;;;
Ankpa;Ankpa Ward 1;;Emekutu Primary Health Centre;;;;;
Ankpa;Ankpa Ward 1;;Ejegbo Primary Health Centre;;;;;
Ankpa;Ankpa Ward 1;;Ikanekpo Primary Health Centre;;;;;
Ankpa;Ankpa Ward 1;;Ojapata Primary Health Centre;;;;;
Ankpa;Ankpa Ward 1;;El-Nasir Clinic (Ankpa);;;;;
Ankpa;Ankpa Ward 2;;Ochunobi Primary Health Centre;;;;;
Ankpa;Ankpa Ward 2;;Uboji Primary Health Centre;;;;;
Ankpa;Ankpa Ward 2;;Amoke Primary Health Centre;;;;;
Ankpa;Ankpa Ward 2;;Ejinya Efofe Primary Health Centre;;;;;
Ankpa;Ankpa Ward 2;;Ejinya Okenyi Primary Health Centre;;;;;
Ankpa;Ankpa Ward 2;;Abache Primary Health Centre;;;;;
Ankpa;Enjema 1 Ward;;Emabu Primary Health Centre;;;;;
Ankpa;Enjema 1 Ward;;Okobo Opiko Primary Health Centre;;;;;
Ankpa;Enjema 1 Ward;;Odagba Primary Health Centre;;;;;
Ankpa;Enjema 1 Ward;;Enabo Model Primary Health Centre;;;;;
Ankpa;Enjema 1 Ward;;Enagbede Primary Health Centre;;;;;
Ankpa;Enjema 1 Ward;;Okobo Primary Health Centre;;;;;
Ankpa;Enjema 1 Ward;;Ko New Odagba Primary Health Care;;;;;
Ankpa;Enjema 1 Ward;;Enjema Primary Health Centre;;;;;
Ankpa;Enjema 2 Ward;;Aforgamgam Primary Health Centre;;;;;
Ankpa;Enjema 2 Ward;;Ofugo Maternity;;;;;
Ankpa;Enjema 2 Ward;;Ukpolobia Primary Health Care Centre;;;;;
Ankpa;Enjema 2 Ward;;Olufofo Primary Health Care Centre;;;;;
Ankpa;Enjema 2 Ward;;Ofugo Dispensary;;;;;
Ankpa;Enjema 3 Ward;;MPHCDA Centre;;;;;
Ankpa;Enjema 3 Ward;;Agbeneba Primary Health Centre;;;;;
Ankpa;Enjema 3 Ward;;Inye Maternity Centre;;;;;
Ankpa;Enjema 4 Ward;;Ko Ajitata Primary Health Centre;;;;;
Ankpa;Enjema 4 Ward;;Awulu Primary Health Centre;;;;;
Ankpa;Enjema 4 Ward;;Achele Primary Health Centre;;;;;
Ankpa;Enjema 4 Ward;;Agumagu Primary Health Centre;;;;;
Ankpa;Enjema 4 Ward;;Ikalorin Primary Health Centre;;;;;
Ankpa;Enjema 4 Ward;;Odopono Primary Health Centre;;;;;
Ankpa;Enjema 4 Ward;;Ika Christan Hospital;;;;;
Ankpa;Ojoku 1 Ward;;Odogomu Primary Health Centre;;;;;
Ankpa;Ojoku 1 Ward;;Ojoku Primary Health Centre;;;;;
