LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Asa;Aboto-Odo-Ode Ward;;Aboto Oja Maternity and Dispensary;;;;;
Asa;Aboto-Odo-Ode Ward;;Odoode Dispensary;;;;;
Asa;Afon Ward;;Igboroko  Cottage Hospital;;;;;
Asa;Afon Ward;;Afon District Health Unit Clinic;;;;;
Asa;Afon Ward;;Afon General Hospital;;;;;
Asa;Agbona / Elebue Fata Ward;;Elubue Health Clinic;;;;;
Asa;Agbona / Elebue Fata Ward;;Budo-Tuntun Primary Health centre;;;;;
Asa;Agbona / Elebue Fata Ward;;Agbona Primary Health Centre;;;;;
Asa;Alapa / Onire/Odegiwa Ward;;Alapa Maternity  and Dispensary;;;;;
Asa;Alapa / Onire/Odegiwa Ward;;Onikeke Health Clinic;;;;;
Asa;Awe / Orimaro Ward;;Afo - Oja Primary Health Care ;;;;;
Asa;Awe / Orimaro Ward;;Awe Primary Health Centre;;;;;
Asa;Budo Egba Ward;;Olusola Saraki Cottage Hospital;;;;;
Asa;Efue / Berikodi Ward;;Efue Primary Health Centre;;;;;
Asa;Gambari / Ayekale Ward;;Bukola Saraki Primary Health Centre;;;;;
Asa;Ila - Oja Ward;;Olomoda Dispensary;;;;;
Asa;Ila - Oja Ward;;Igbo Aran Maternity and Dispensary;;;;;
Asa;Ila - Oja Ward;;Sapati Oko Maternity and Dispensary;;;;;
Asa;Ila - Oja Ward;;Aboto Alfa Maternity and Dspensary;;;;;
Asa;Ila - Oja Ward;;Ajagusi Primary Health Centre;;;;;
Asa;Laduba Ward;;Ago Oja Maternity and Dispensary;;;;;
Asa;Laduba Ward;; Laduba Primary Health Centre;;;;;
Asa;Laduba Ward;;Spati ile Health Facility;;;;;
Asa;Ogbondoroko Ward;;Ogbodoroko Reke Health Facility;;;;;
Asa;Ogele Ward;;Ogele Dispensary;;;;;
Asa;Ogele Ward;;Pampo Haelth Facility;;;;;
Asa;Okeso/Afeyin Ward;;Okeso Health Clinic;;;;;
Asa;Okeweru / Yowere II Ward ;;Bakase Health Clinic;;;;;
Asa;Otte / Balla Ward;;Balla Dispensary;;;;;
Asa;Otte / Balla Ward;;Eyenkorin Dispensary;;;;;
Asa;Otte / Balla Ward;;Lasoju Health Clinic;;;;;
Asa;Otte / Balla Ward;;Akopari Comprehensive Health Centre;;;;;
Asa;Otte / Balla Ward;;Otte Comprehensive Health Centre;;;;;
Asa;Sosoki / Yowere I Ward;;Yowere Dispensary;;;;;
Baruten;Bode/Babane Ward;;Gukombu L. G. Clinic ;;;;;
Baruten;Bode/Babane Ward;;Bode LG Clinic;;;;;
Baruten;Boriya/Shiya Ward;;Shiya LG Health Clinic;;;;;
Baruten;Boriya/Shiya Ward;;Kpaluru LG Clinic;;;;;
Baruten;Bwen/Kiyoru Ward;;Gbabe LG Clinic;;;;;
Baruten;Bwen/Kiyoru Ward;;Budo Aiki Health Clinic;;;;;
Baruten;Bwen/Kiyoru Ward;;Dameru L. G. Clinic;;;;;
Baruten;Bwen/Kiyoru Ward;;Biogberu Health Clinic;;;;;
Baruten;Bwen/Kiyoru Ward;;Kw Bwen L G Clinic;;;;;
