LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Agege;Atobaje Ward;;Adu Medical Clinic;;;;;
Agege;Awori Ward;;May-Fair Medical Centre;;;;;
Agege;Awori Ward;;Habibat Memorial Convalescent Home;;;;;
Agege;Awori Ward;;Motolani Medical Centre;;;;;
Agege;Dopemu Ward;;Mobonike Hospital;;;;;
Agege;Dopemu Ward;;Promise Medical Centre;;;;;
Agege;Dopemu Ward;;Sikiratullah Medical Clinic;;;;;
Agege;Dopemu Ward;;Al-Imaan Hospital and Maternity Home;;;;;
Agege;Dopemu Ward;;Glorious Favour Hospital;;;;;
Agege;Dopemu Ward;;Keeb Ideal Surgical Hospital;;;;;
Agege;Dopemu Ward;;Olaotan Nursing Home;;;;;
Agege;Dopemu Ward;;The Hamfar Hospital;;;;;
Agege;Dopemu Ward;;Oluayomide Convalescent Home;;;;;
Agege;Isale Odo Ward;;Beta Hospital;;;;;
Agege;Isale Odo Ward;;Shonowo Hospital;;;;;
Agege;Isale Odo Ward;;De-Kem Hospital;;;;;
Agege;Isale Odo Ward;;Salem Specialist Hospital;;;;;
Agege;Isale Odo Ward;;De Kem Nursing Home;;;;;
Agege;Isale Odo Ward;;Country Home Clinic;;;;;
Agege;Isale Oja Ward;;Krobon Hospital;;;;;
Agege;Isale Oja Ward;;Dopemu Primary Health Centre;;;;;
Agege;Isale Oja Ward;;St Sabina Hospital;;;;;
Agege;Isale Oja Ward;;Olive Medical Care;;;;;
Agege;Isale Oja Ward;;St Victoria Clinic;;;;;
Agege;Isale Oja Ward;;Iloro Primary Health Centre;;;;;
Agege;Isale Oja Ward;;Prime Health Gate Medicare;;;;;
Agege;Isale Oja Ward;;Happy Home Clinic;;;;;
Agege;Isale Oja Ward;;Getwell Hospital;;;;;
Agege;Keke Ward;;The Apostolic Church , Agege Area Medical Centre;;;;;
Agege;Keke Ward;;Mount Zion Convalescent Home;;;;;
Agege;Keke Ward;;Fanimed Hospitals;;;;;
Agege;Keke Ward;;Sango Primary Health Centre;;;;;
Agege;Keke Ward;;Bankole Hospital;;;;;
Agege;Kwakwa Uku Ward;;Kwa Kwa Uku PHC;;;;;
Agege;Oke Koto Ward;;All Souls Infla Hospital;;;;;
Agege;Oke Koto Ward;;Todays Medicare;;;;;
Agege;Oke Koto Ward;;Adeoti Nursing Home;;;;;
Agege;Oke Koto Ward;;Methodist church clinic;;;;;
Agege;Oke Koto Ward;;Omoyeni Clinic;;;;;
Agege;Orile Ward (Agege);;Rambola Abiola Memorial Hospital;;;;;
Agege;Orile Ward (Agege);;Orile Agege General Hospital;;;;;
Agege;Orile Ward (Agege);;Mabol Clinic;;;;;
Agege;Orile Ward (Agege);;Soretire Primary Health Care;;;;;
Agege;Orile Ward (Agege);;Olu-Adebo Hospital;;;;;
Agege;Orile Ward (Agege);;Power-Line Primary Health Centre;;;;;
Agege;Oyewole Ward;;Divine Hills Maternity Centre;;;;;
