LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Akoko North East;Edo Ward;;Isakunmi Primary Health Centre;;;;;
Akoko North East;Ekan Ward;;Ekan Basic Health Centre;;;;;
Akoko North East;Ikado 1 Ward;;Okela Basic Health Centre;;;;;
Akoko North East;Ikado 1 Ward;;Adeola Patent Medicine Store;;;;;
Akoko North East;Ikado 2 Ward ;;Jubilee Basic Health centre;;;;;
Akoko North East;Ikado 2 Ward ;;Iyame Basic Health  Centre;;;;;
Akoko North East;Ilepa 1 Ward;;Aba Patent Medicine Store;;;;;
Akoko North East;Ilepa 1 Ward;;Iso Onisu Basic Health Centre;;;;;
Akoko North East;Ilepa 2 Ward;;Alapata Basic Health Centre;;;;;
Akoko North East;Ilepa 2 Ward;;Ikare State Specialist Hospital;;;;;
Akoko North East;Isowopo 1 Ward;;Ipori Basic Health Centre;;;;;
Akoko North East;Isowopo 1 Ward;;Ise Basic Health Centre;;;;;
Akoko North East;Isowopo 1 Ward;;Iboropa Basic Health Centre;;;;;
Akoko North East;Isowopo 1 Ward;;Ugbe Basic Health Centre;;;;;
Akoko North East;Isowopo 2 Ward;;Akunu Primary Health Care Centre;;;;;
Akoko North East;Isowopo 2 Ward;;Ikakunmo Basic Health Centre;;;;;
Akoko North East;Isowopo 2 Ward;;Auga OkeIgbagbo Basic Health Centre;;;;;
Akoko North East;Isowopo 2 Ward;;Auga Okeimole Basic Health Centre;;;;;
Akoko North East;Iyometa 1 Ward;;Iku Basic Health Centre;;;;;
Akoko North East;Iyometa 1 Ward;;Okatedo Basic Health Centre;;;;;
Akoko North East;Iyometa 2 Ward;;Obadana/Oketun Otaloke Basic Health Centre;;;;;
Akoko North East;Iyometa 2 Ward;;Okegbe Basic Health Centre;;;;;
Akoko North East;Orun 1 Ward ;;Okoja Basic Health Centre;;;;;
Akoko North East;Orun 2 Ward;;Okeruwa Basic Health Centre;;;;;
Akoko North East;Oyinmo Ward;;Oyinmo Basic Health Centre;;;;;
Akoko North East;Unknown1;;Oke Royal Hospital;;;;;
Akoko North East;Unknown1;;Total Care Clinic;;;;;
Akoko North East;Unknown1;;Abimbola Medical Centre;;;;;
Akoko North West;Afa/Aje/Ido Ward;;Okeagbe Basic Health Centre;;;;;
Akoko North West;Afa/Aje/Ido Ward;;Okeagbe Comprehensive Health Centre;;;;;
Akoko North West;Afin/Ese Ward;;Ese Basic Health Clinic;;;;;
Akoko North West;Afin/Ese Ward;;Afin Basic Health Clinic;;;;;
Akoko North West;Ajowa/Igasi/Eriti/Gedegede Ward;;Ajowa Basic Health Clinic;;;;;
Akoko North West;Ajowa/Igasi/Eriti/Gedegede Ward;;Igasi/Eriti Basic Health Clinic;;;;;
Akoko North West;Ajowa/Igasi/Eriti/Gedegede Ward;;Gedegede Basic Health Clinic;;;;;
Akoko North West;Arigidi 1 Ward;;Iye Health Post;;;;;
Akoko North West;Arigidi 1 Ward;;Greater Tomorrow Hospital;;;;;
Akoko North West;Arigidi 1 Ward;;Ijaja-Arigidi Basic Health Center;;;;;
Akoko North West;Arigidi 1 Ward;;Arigidi Basic Health Clinic;;;;;
Akoko North West;Arigidi 2 Ward;;Agbaluku-Arigidi Basic Health Centre;;;;;
Akoko North West;Arigidi 2 Ward;;Ifesowapo-Arigidi Health Post ;;;;;
Akoko North West;Arigidi 2 Ward;;Imo-Arigidi Basic Health Clinic;;;;;
Akoko North West;Ikaram/Erusu Ward;;Ikaram Basic Health Clinic;;;;;
Akoko North West;Ikaram/Erusu Ward;;Erusu Comprehensive Health Center;;;;;
Akoko North West;Odo-Irun 1 Ward;;Odo-Irun Basic Health Clinic;;;;;
Akoko North West;Odo-Irun 1 Ward;;Ejidu Health Post;;;;;
Akoko North West;Ogbagi Ward;;Ogbagi Model Primary Health Care Centre;;;;;
Akoko North West;Ogbagi Ward;;Ogbagi Comprehensive Health Centre;;;;;
Akoko North West;Ogbagi Ward;;Ogbagi Basic Health Clinic;;;;;
Akoko North West;Oke-Irun Ward;;Irun-akoko General Hospital;;;;;
Akoko North West;Oke-Irun Ward;;Oke-Oro Basic Health Centre;;;;;
Akoko North West;Oke-Irun Ward;;Surulere Health Post;;;;;
Akoko North West;Oyin/Oge Ward;;Oge Basic Health Centre;;;;;
Akoko North West;Oyin/Oge Ward;;Oyin Basic Health Clinic;;;;;
Akoko North West;Oyin/Oge Ward;;Adeyemi Hospital;;;;;
Akoko South East;Epinmi 1 Ward;;Epinmi Isalu Basic Health Centre;;;;;
Akoko South East;Epinmi 1 Ward;;Epinmi Basic Health Centre;;;;;
Akoko South East;Epinmi 2 Ward;;Epinmi Oho Basic Health Centre;;;;;
Akoko South East;Epinmi 2 Ward;;Epinmi Emurin Basic Health Centre;;;;;
Akoko South East;Ifira 3 Ward;;Ipiran Ifira Basic Health Centre;;;;;
Akoko South East;Ifira 3 Ward;;Iremu Ifira Basic Health Centre;;;;;
Akoko South East;Ifira 3 Ward;;Ifira Comprehensive Health Centre;;;;;
Akoko South East;Ipe 1 Ward;;Isinodo Ipe Basic Health Centre;;;;;
Akoko South East;Ipe 2 Ward;;Ipe General Hospital;;;;;
Akoko South East;Ipe 2 Ward;;Ipe Itoto Basic Health Centre;;;;;
Akoko South East;Ipe 2 Ward;;Ipe Igbede Basic Health Centre;;;;;
Akoko South East;Ipesi Ward;;Idofin Ipesi Basic Health Centre;;;;;
Akoko South East;Isua 1 Ward;;Isua Okua Basic Health Centre;;;;;
Akoko South East;Isua 2 Ward;;Isua Ese Basic Health Centre;;;;;
Akoko South East;Isua 3 Ward;;Irobo Isua Comprehensive Health Centre;;;;;
Akoko South East;Isua 4 Ward;;Isua Oyara Basic Health Centre;;;;;
Akoko South East;Isua 4 Ward;;Basic Health Centre Etiose;;;;;
Akoko South East;Isua 4 Ward;;Isua Oke Basic Health Centre;;;;;
Akoko South East;Sosan Ward;;Sosan Isale Basic Health Centre;;;;;
Akoko South East;Sosan Ward;;Sosan Oke Basic Health Centre;;;;;
Akoko South West;Akungba 1 Ward;;Adekunle Ajasun University Akungba Comprehensive Health Centre ;;;;;
Akoko South West;Akungba 1 Ward;;Asan Akungba Health Post ;;;;;
Akoko South West;Akungba 1 Ward;;Akungba Primary Health Care Center;;;;;
Akoko South West;Akungba 2 Ward;;Akungba Primary Health Care Clinic;;;;;
Akoko South West;Akungba 2 Ward;;Okusa Health Post;;;;;
Akoko South West;Ayegunle Ward;;Ikese Primary Health Care Centre;;;;;
Akoko South West;Ayegunle Ward;;Okia Primary Health Care Centre;;;;;
Akoko South West;Ayegunle Ward;;Owake Health Post;;;;;
Akoko South West;Ikun Ward;;Ikun Primary Health Care Clinic;;;;;
Akoko South West;Ikun Ward;;Ikun Primary Health Centre;;;;;
Akoko South West;Oba 1 Ward;;Oba Primary Health Care Centre;;;;;
Akoko South West;Oba 1 Ward;;Oba Primary Health Care Clinic;;;;;
Akoko South West;Oba 2 Ward;;Ose-Oba Health Centre;;;;;
Akoko South West;Oka 1 Ward;;Arepena Primary Health Clinic;;;;;
Akoko South West;Oka 1 Ward;;Okia Health Centre;;;;;
Akoko South West;Oka 1 Ward;;Sabo Health Centre;;;;;
Akoko South West;Oka 1 Ward;;Simerin Health Centre;;;;;
Akoko South West;Oka 1 Ward;;Uba Health Centre;;;;;
Akoko South West;Oka 2 A Ward;;Ikese  FSP clinic ;;;;;
Akoko South West;Oka 2 A Ward;;Idoin Primary Health Centre;;;;;
Akoko South West;Oka 2 A Ward;;Iroho Health Post;;;;;
Akoko South West;Oka 2 B Ward;;Ikanmu Health Post;;;;;
Akoko South West;Oka 2 B Ward;;Owase Comprehensive Health Centre;;;;;
Akoko South West;Oka 3 A Ward;;Agba Health Post;;;;;
Akoko South West;Oka 5 A Ward;;Oyete Health Post;;;;;
Akoko South West;Oka 5 A Ward;;Oka-Odo Health Post;;;;;
Akoko South West;Oka 5 A Ward;;Iwaro Owalusi Health Centre;;;;;
Akoko South West;Oka 5 B Ward;;Iwaro-Oka General Hospital;;;;;
Akoko South West;Supare 1 Ward;;Idofine Supare Health Centre;;;;;
Akoko South West;Supare 1 Ward;;Supare 1 Model Primary Health Centre;;;;;
Akoko South West;Supare 1 Ward;;Okeafa Supare Comprehensive Health Centre;;;;;
Akoko South West;Supare 2 Ward;;Igbegun Health Post;;;;;
Akoko South West;Supare Ward;;Akowonjo Health Centre;;;;;
Akoko South West;Supare Ward;;Etioro Health Post;;;;;
Akoko South West;Unknown;;Aduloju Memorial Hospital;;;;;
Akoko South West;Unknown;;Ireti Medical Clinic;;;;;
Akoko South West;Unknown;;Tolu Medical Clinic;;;;;
Akoko South West;Unknown;;Top Medicine Centre;;;;;
Akoko South West;Unknown;;Orisuniye Clinic;;;;;
Akure North;Ayetoro Ward;;Iju/Itaogbolu General Hospital;;;;;
Akure North;Ayetoro Ward;;Iju Basic Health Centre;;;;;
Akure North;Igbatoro Ward;;Imafon Basic Health Centre;;;;;
Akure North;Igbatoro Ward;;Ala-Ajagbusi Comprehensive Health Centre;;;;;
Akure North;Igbatoro Ward;;Ilado Basic Health Centre;;;;;
Akure North;Igbatoro Ward;;Onipanu Basic Health Centre;;;;;
Akure North;Igbatoro Ward;;Igbatoro/Familugba Basic Health Centre;;;;;
