LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Aiyedaade;Ward 1- Balogun;;Oke-Egan Health Post;;;;;
Aiyedaade;Ward 10 - Anlugbua;;Alaguntan Primary Health Centre;;;;;
Aiyedaade;Ward 10 - Anlugbua;;Mokore Primary Health Centre;;;;;
Aiyedaade;Ward 10 - Anlugbua;;Abimbola Primary Health Centre;;;;;
Aiyedaade;Ward 11 -Araromi;;Olorunsogo Clinic;;;;;
Aiyedaade;Ward 2 - Otun Balogun;;Wakajaye Junction Primary Health Centre  ;;;;;
Aiyedaade;Ward 2 - Otun Balogun;;MDG Wakajaye Junction;;;;;
Aiyedaade;Ward 3 - Olufi  ;;Ago Owu model;;;;;
Aiyedaade;Ward 3 - Olufi  ;;Gbongan Comprehensive Health Centre;;;;;
Aiyedaade;Ward 4 - Otun Olufi;;GRACELAND MEDICAL CENTRE;;;;;
Aiyedaade;Ward 4 - Otun Olufi;;TBL Clinic Gbongan;;;;;
Aiyedaade;Ward 4 - Otun Olufi;;DIVINE MERCY HOSPITAL;;;;;
Aiyedaade;Ward 4 - Otun Olufi;;Oke-Elu Primary Health Centre;;;;;
Aiyedaade;Ward 5 - Ijugbe Amola;;Oke Odo Primary Health Centre;;;;;
Aiyedaade;Ward 5 - Ijugbe Amola;;Oja ale Ijugbe Primary Health Centre;;;;;
Aiyedaade;Ward 5 - Ijugbe Amola;;Ode Omu Model Primary Health Centre ;;;;;
Aiyedaade;Ward 6 - Lagere Amola;;Ile-Idi Asa Primary Health Centre;;;;;
Aiyedaade;Ward 6 - Lagere Amola;;Ode-Omu Comprehensive Health Centre;;;;;
Aiyedaade;Ward 7 - Gbongan Rural;;Bembe  Primary Health Centre,;;;;;
Aiyedaade;Ward 7 - Gbongan Rural;;Emmanuel Clinic;;;;;
Aiyedaade;Ward 7 - Gbongan Rural;;Akiriboto 1 Primary Health Centre;;;;;
Aiyedaade;Ward 7 - Gbongan Rural;;Wakajaye Town Primary Health Centre;;;;;
Aiyedaade;Ward 7 - Gbongan Rural;;Mojapa Primary Health Centre;;;;;
Aiyedaade;Ward 7 - Gbongan Rural;;Lagbaka Primary Health Centre;;;;;
Aiyedaade;Ward 7 - Gbongan Rural;;Ogbaaga Health Post;;;;;
Aiyedaade;Ward 7 - Gbongan Rural;;Obebe Primary Health Centre;;;;;
Aiyedaade;Ward 7 - Gbongan Rural;;Akiriboto 2 Primary Health Centre;;;;;
Aiyedaade;Ward 8 - Ode Omu Rural;;Arogundade Primary Health Centre;;;;;
Aiyedaade;Ward 8 - Ode Omu Rural;;Tonkere Primary Health Centre;;;;;
Aiyedaade;Ward 8 - Ode Omu Rural;;Oogi Primary Health Centre;;;;;
Aiyedaade;Ward 8 - Ode Omu Rural;;Ojudo Primary Health Centre;;;;;
Aiyedaade;Ward 8 - Ode Omu Rural;;Ayetoro Comprehensive Health Centre;;;;;
Aiyedaade;Ward 8 - Ode Omu Rural;;Ayetoro Kayejo Primary Health Centre;;;;;
Aiyedaade;Ward 8 - Ode Omu Rural;;Lasole Primary Health Centre;;;;;
Aiyedaade;Ward 9 - Obalufon;;Orile-Owu Primary Health Centre;;;;;
Aiyedaade;Ward 9 - Obalufon;;Motako Primary Health Centre;;;;;
Aiyedaade;Ward 9 - Obalufon;; Orile Owu Model Health Centre;;;;;
Aiyedire;Amobi Kuta Ward II   ;;Amobi Kuta  Primary Health Centre,;;;;;
Aiyedire;Amobi Kuta Ward II   ;; Ile Ogbo /Kuta Railway Station Health Centre,;;;;;
Aiyedire;Amobi Kuta Ward II   ;;Kuta  Model Health Centre,;;;;;
Aiyedire;Gbogbo Ward 4;;Ayitedo Health Centre;;;;;
Aiyedire;Idi-Ape Ileogbo Ward 2;;Okomi Health Centre;;;;;
Aiyedire;Idi-ogun Ileogbo Ward 3;;Idi-Ogun Comprehensive Health Centre;;;;;
Aiyedire;Ilaji Ward 7;;Arijesu Health Centre;;;;;
Aiyedire;Ilaji Ward 7;;Ilaji Primary Health Centre;;;;;
Aiyedire;Isale-Oba Kuta Ward 8;;Isale-Oba Primary Health Centre;;;;;
Aiyedire;Isale-Oba Kuta Ward 8;;Kuta Comprehensive Health Centre;;;;;
Aiyedire;Oke-Osun Ward 10;;Osunwoyin Primary Health Centre;;;;;
Aiyedire;Oke-Osun Ward 10;;Eleji Health Centre,;;;;;
Aiyedire;Oke-Osun Ward 10;;Mamu Abimbola Primary Health Centre;;;;;
Aiyedire;Oke-Osun Ward 10;;Aba Odan Health Centre;;;;;
