LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Afijio; Ilora 1 Ward;;Samson Olatayo clinic;;;;;
Afijio; Ilora 1 Ward;;Okediji Primary Health Centre;;;;;
Afijio;Akinmorin/Jobele Ward;;Jobele Primary Health Centre;;;;;
Afijio;Akinmorin/Jobele Ward;;Aged and Widow Clinic;;;;;
Afijio;Akinmorin/Jobele Ward;; Akinmorin Europian Economic Clinic;;;;;
Afijio;Akinmorin/Jobele Ward;;Akinmorin Primary Health Centre;;;;;
Afijio;Awe 1 Ward;;Shepered Clinic and Maternity;;;;;
Afijio;Awe 1 Ward;;Leke Clinic;;;;;
Afijio;Awe 1 Ward;;Awe Primary Health Centre;;;;;
Afijio;Awe II  Ward;;Oke Boda Primary Health Centre;;;;;
Afijio;Awe II  Ward;;Momoh  Hospital and Maternity;;;;;
Afijio;Fiditi I Ward;; Fiditi General Hospital;;;;;
Afijio;Fiditi I Ward;;Ajayi Memorial Hospital;;;;;
Afijio;Fiditi II Ward;;Fiditi Primary Health Centre;;;;;
Afijio;Fiditi II Ward;;Omoyeni Clinic;;;;;
Afijio;Fiditi II Ward;;Ijaye Ojutaye Primary Health Centre;;;;;
Afijio;Ilora II Ward;;Ilora General Hospital;;;;;
Afijio;Ilora II Ward;;The Blood Clinic;;;;;
Afijio;Ilora II Ward;;Idi Igba Primary Health Centre;;;;;
Afijio;Ilora II Ward;;P&P Hospital;;;;;
Afijio;Ilora II Ward;;Bisol Hospital;;;;;
Afijio;Ilora II Ward;; MDG Primary Health Centre;;;;;
Afijio;Ilora II Ward;;Eleekara Health Clinic;;;;;
Afijio;Ilora II Ward;;TBL Clinic;;;;;
Afijio;Ilora II Ward;;Access Basic Foundation Clinic;;;;;
Afijio;Ilora II Ward;;Ilora  Maternity Health Centre;;;;;
Afijio;Ilora III Ward;;LEEMP clinic;;;;;
Afijio;Ilora III Ward;;Ilora Farm Settlement;;;;;
Afijio;Ilora III Ward;;Aribombo Health Clinic;;;;;
Afijio;Ilora III Ward;;Asaju Primary Health Centre;;;;;
Afijio;Ilora III Ward;;Ayetoro Primary Health Centre;;;;;
Afijio;Imini Ward;;Obannko Primary Health Centre;;;;;
Afijio;Imini Ward;;Imini Primary Health Centre;;;;;
Afijio;Imini Ward;;Abanti Primary Health Centre;;;;;
Afijio;Imini Ward;;Ilu Aje Primary Health Centre;;;;;
Afijio;Iware Ward;;Iware Model Health Centre;;;;;
Afijio;Iware Ward;;Iware Maternity  Health Centre;;;;;
Afijio;Iware Ward;;Aba-Adio Primary Health Centre;;;;;
Akinyele;Akinyele Ward;;Kara Health Centre;;;;;
Akinyele;Akinyele Ward;;El-Shaddai Clinic and Maternity;;;;;
Akinyele;Akinyele Ward;;St Patricks Hospital;;;;;
Akinyele;Akinyele Ward;;Akinyele Primary Health Centre;;;;;
Akinyele;Alabata Ward;;Elekuru Primary Health Centre;;;;;
Akinyele;Alabata Ward;;Alabata Primary Health Centre;;;;;
Akinyele;Aroro Ward;;Aroro  Health Centre;;;;;
Akinyele;Aroro Ward;;Adegbite Cottage Health Clinic;;;;;
Akinyele;Ijaye Ward;;Ijaye Primary Health Centre;;;;;
Akinyele;Ijaye Ward;;Atan Health Centre;;;;;
Akinyele;Ijaye Ward;;Jariya/Sangobo Health Post;;;;;
Akinyele;Ijaye Ward;;Iware Primary Health Centre;;;;;
Akinyele;Ikereku Ward;;Ikereku Primary Health Centre;;;;;
Akinyele;Ikereku Ward;;Ikereku Primary Health;;;;;
Akinyele;Iroko Ward;;Oretu Health Post;;;;;
Akinyele;Iroko Ward;;Iroko  Primary Health Centre;;;;;
Akinyele;Iwokoto Ward;;Iwokoto Health Centre;;;;;
Akinyele;Moniya Ward;;Ibukun Oluwa Hospital;;;;;
Akinyele;Moniya Ward;;Divine Grace Maternity and Child Welfare Clinic;;;;;
Akinyele;Moniya Ward;;Oluwasogo Hospital;;;;;
Akinyele;Moniya Ward;;Folawiyo Hospital;;;;;
Akinyele;Moniya Ward;;Comfort Zone Clinic;;;;;
Akinyele;Moniya Ward;;Moniya Primary Health Centre;;;;;
Akinyele;Moniya Ward;;Akinlolu Clinics Annex;;;;;
Akinyele;Moniya Ward;;Folayo Maternity and Clinic;;;;;
Akinyele;Moniya Ward;;Graceland Maternity Hospital;;;;;
Akinyele;Moniya Ward;;Olusola Clinc Moniya;;;;;
Akinyele;Moniya Ward;;His Favour Hospital;;;;;
Akinyele;Moniya Ward;;Moniya General Hospital;;;;;
Akinyele;Moniya Ward;;Christ Hope Hospital and Maternity;;;;;
Akinyele;Moniya Ward;;Hope Life Maternity  Clinic;;;;;
Akinyele;Moniya Ward;;Aged and Widow Mini Clinic;;;;;
Akinyele;Moniya Ward;;Cureland Hospital;;;;;
Akinyele;Moniya Ward;;Moniya Tuberculosis and Leprosy Control Unit;;;;;
Akinyele;Ojoo Ward;;Ajibode Primary Health Centre;;;;;
Akinyele;Ojoo Ward;;Orogun Health Clinic;;;;;
Akinyele;Ojoo Ward;;2nd Mechanized Division Medical Hosptal;;;;;
Akinyele;Ojoo Ward;;Owe Kekun Health Centre;;;;;
Akinyele;Ojoo Ward;;Temitope Hospital;;;;;
Akinyele;Ojoo Ward;;Hamdalat Hospital;;;;;
Akinyele;Ojoo Ward;;Ojoo  Primary Health Centre;;;;;
Akinyele;Ojoo Ward;;Mosalape Maternity Centre;;;;;
Akinyele;Ojoo Ward;;Olufunmilayo Hospital;;;;;
Akinyele;Ojoo Ward;;Faith Maternity Clinic;;;;;
Akinyele;Ojoo Ward;;As Salam Hospital;;;;;
Akinyele;Ojoo Ward;;Fajimi Hospital;;;;;
Akinyele;Ojoo Ward;;Aisat Memorial Maternity Hospital;;;;;
Akinyele;Ojoo Ward;;Sasa Primary Health Centre;;;;;
Akinyele;Olanla Ward;;Pade Maternity Centre;;;;;
Akinyele;Olanla Ward;;Alade Health Centre;;;;;
Akinyele;Olanla Ward;;Pade Model Health Centre;;;;;
Akinyele;Olorisaoko Ward;;Mele Health Clinic;;;;;
Akinyele;Olorisaoko Ward;;Olorisa-Oko Primary Health Centre;;;;;
Akinyele;Onidundun Ward;;Ileba Health  Centre;;;;;
Akinyele;Onidundun Ward;;Onidundu Health Centre;;;;;
Akinyele;Onidundun Ward;;Ileba Primary Health Centre;;;;;
Atiba;Aafin 1 Ward;;Aged and Widow Clinic;;;;;
Atiba;Aafin 1 Ward;;Aafin Primary Health Centre;;;;;
