LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Barkin Ladi;Gafat Ward;;Barkin ladi General Hospital;;;;;
Barkin Ladi;Gafat Ward;;Gana Ropp Primary Health Centre;;;;;
Barkin Ladi;Gafat Ward;;Gafat General Hospital;;;;;
Barkin Ladi;Gassa Ward;;Gassa Primary Health Centre;;;;;
Barkin Ladi;Gassa Ward;;Rahol Gasa Primary Health Care;;;;;
Barkin Ladi;Gindin Akwati Ward;;Ex-land Primary Health Centre;;;;;
Barkin Ladi;Gindin Akwati Ward;;Utsaru Satsu Clinic;;;;;
Barkin Ladi;Gindin Akwati Ward;;Ruku Primary Health Centre;;;;;
Barkin Ladi;Gindin Akwati Ward;;Khamdala Dispensary;;;;;
Barkin Ladi;Gindin Akwati Ward;;Lokwan Dispensary;;;;;
Barkin Ladi;Heipang ward;;Dapam Memorial Clinic;;;;;
Barkin Ladi;Heipang ward;;Larwin Primary Health Centre;;;;;
Barkin Ladi;Heipang ward;;Kpang Primary Health Centre;;;;;
Barkin Ladi;Heipang ward;;Tatu Primary Health Centre;;;;;
Barkin Ladi;Heipang ward;;Dafom Family Clinic;;;;;
Barkin Ladi;Heipang ward;;Heipang Primary Health Centre;;;;;
Barkin Ladi;Heipang ward;;Heipang Medical Centre;;;;;
Barkin Ladi;Kakuruk Ward;;Kakuruk Primary Health Centre;;;;;
Barkin Ladi;Kakuruk Ward;;Kuzen Primary Health Centre;;;;;
Barkin Ladi;Kamang Nafok Ward;;Bek Primary Health Centrte;;;;;
Barkin Ladi;Kapwen Ket Ward;;Bakin Kogi Primary Health Centre;;;;;
Barkin Ladi;Kapwen Ket Ward;;Kuzek Primary Health Centre;;;;;
Barkin Ladi;Kapwen Ket Ward;;Zaron Primary Health Centre;;;;;
Barkin Ladi;Kapwen Ket Ward;;Bakin Kogi Tata Clinic;;;;;
Barkin Ladi;Kapwen Ket Ward;;Vat Njong Primary Health Centre;;;;;
Barkin Ladi;Kapwis Ward;;Dorong Primary Health Centre;;;;;
Barkin Ladi;Kapwis Ward;;Kapwis Primary Health Centre;;;;;
Barkin Ladi;Kapwis Ward;;Zakupang Primary Health Centre;;;;;
Barkin Ladi;Kapwis Ward;;Pandadi Primary Health Centre;;;;;
Barkin Ladi;Kura Falls Ward;;Uyurai Primary Health Centre;;;;;
Barkin Ladi;Kura Falls Ward;;Makoli Primary Health Centre;;;;;
Barkin Ladi;Kura Falls Ward;;Zakarek Primary Health Centre;;;;;
Barkin Ladi;Kura Falls Ward;;Kurra Falls Primary Health Centre;;;;;
Barkin Ladi;Kura Falls Ward;;Kurra Falls Dispensary;;;;;
Barkin Ladi;Lobiring Ward;;Lobiring Primary Health Centre;;;;;
Barkin Ladi;Lobiring Ward;;Maraba Kantoma Primary Health Centre;;;;;
Barkin Ladi;Lobiring Ward;;Nirit Dispensary;;;;;
Barkin Ladi;Marit Ward;;Marit Primary Health Centre;;;;;
