LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Binji;Binji Ward (Binji);;Binji Upgraded Dispensary;;;;;
Binji;Binji Ward (Binji);;Binji General Hospital;;;;;
Binji;Bunkari Ward;;Danmali Dispensary;;;;;
Binji;Bunkari Ward;;Bunkari Model Primary Health Centre;;;;;
Binji;Gawazzai Ward;;Yardewu Dispensary;;;;;
Binji;Gawazzai Ward;;Matabare Dispensary;;;;;
Binji;Gawazzai Ward;;Gawazzai Dispensary;;;;;
Binji;Inname Ward;;Inname Dispensary;;;;;
Binji;Inname Ward;;Ginjo Dispensary (Binji LGA);;;;;
Binji;Jamali Ward;;Jamali Tsohuwa Dispensary;;;;;
Binji;Jamali Ward;;Jamali Sabuwa Dispensary;;;;;
Binji;Jamali Ward;;Dalijan Dispensary;;;;;
Binji;Maikulki Ward;;Maikulki Upgraded Dispensary;;;;;
Binji;Maikulki Ward;;Kunkurwo Dispensary;;;;;
Binji;Maikulki Ward;;Margai Dispensary;;;;;
Binji;Samama Ward;;Samama Dispensary;;;;;
Binji;Soron Gabas Ward;;Kandiza Dispensary;;;;;
Binji;Soron Gabas Ward;;Gwafitto Dispensary;;;;;
Binji;Soron Gabas Ward;;Soro Dispensary;;;;;
Binji;Soron Gabas Ward;;Tummuni Dispensary;;;;;
Binji;Soron Gabas Ward;;Fako Dispensary;;;;;
Binji;Soron Yamma Ward;;Birnin Wari Dispensary;;;;;
Binji;Soron Yamma Ward;;Kalgo Dispensary;;;;;
Binji;Soron Yamma Ward;;Kura Dispensary;;;;;
Binji;Soron Yamma Ward;;Karani Dispensary;;;;;
Binji;Tudun Kose Ward;;Tudun Kose Dispensary;;;;;
Binji;Tudun Kose Ward;;Twaidin Zaidi Dispensary;;;;;
Binji;Tudun Kose Ward;;Twaidi Dikko Dispensary;;;;;
Binji;Tudun Kose Ward;;Gidan Maidebe Dispensary;;;;;
Bodinga;Badau/Darhela Ward;;Darhela Upgraded Dispensary;;;;;
Bodinga;Badau/Darhela Ward;;Badau Dispensary;;;;;
Bodinga;Bagarawa Ward;;Bagarawa Primary Health Centre;;;;;
Bodinga;Bangi/Dabaga Ward;;Wumumu Dispensary;;;;;
Bodinga;Bangi/Dabaga Ward;;Bangi Dispensary;;;;;
Bodinga;Bangi/Dabaga Ward;;Dabaga Dispensary;;;;;
Bodinga;Bodinga/Tauma Ward;;Bodinga Town Dispensary;;;;;
Bodinga;Bodinga/Tauma Ward;;Bodnga General Hospital;;;;;
Bodinga;Danchadi Ward;;Danchadi Primary Health Centre;;;;;
Bodinga;Danchadi Ward;;Danchadi Town Dispensary;;;;;
Bodinga;Dingyadi Ward;;Badawa Community Dispensary;;;;;
Bodinga;Dingyadi Ward;;Kaura Buba Dispensary;;;;;
Bodinga;Dingyadi Ward;;Dingyadi Primary Health Centre;;;;;
Bodinga;Dingyadi Ward;;Dingyadi Town Dispensary;;;;;
Bodinga;Dingyadi Ward;;Gidan Kijjo Dispensary;;;;;
Bodinga;Kauramiyo/Mazan Ward;;Jirga Dispensary;;;;;
Bodinga;Kauramiyo/Mazan Ward;;Kuramangala Dispensary;;;;;
Bodinga;Kauramiyo/Mazan Ward;;Jabe Dispensary;;;;;
Bodinga;Kauramiyo/Mazan Ward;;So Mazangari Dispensary;;;;;
Bodinga;Kwacciyar Lalle Ward;;Zangalawa Dispensary;;;;;
Bodinga;Sifawa/Lukuyawa Ward;;Lukuyawa Dispensary;;;;;
Bodinga;Sifawa/Lukuyawa Ward;;AbdulSalami Dispensary;;;;;
Bodinga;Sifawa/Lukuyawa Ward;;Sifawa Dispensary;;;;;
Bodinga;Takatuku/Madorawa Ward;;Takatuku Clinic;;;;;
Bodinga;Takatuku/Madorawa Ward;;Madorawa Dispensary;;;;;
Bodinga;Tulluwa/Kulafasa Ward;;Kaurar Tsara Dispensary;;;;;
Bodinga;Tulluwa/Kulafasa Ward;;Kaura Kwasau Dispensary;;;;;
Bodinga;Tulluwa/Kulafasa Ward;;Tulluwa Dispensary;;;;;
Bodinga;Tulluwa/Kulafasa Ward;;Dan Ajiwa Community Dispensary;;;;;
Dange-Shuni;Bodai Ward;;Bodai Kaura Dispensary;;;;;
Dange-Shuni;Bodai Ward;;Bodai Sajo Dispensary;;;;;
Dange-Shuni;Dange Ward;;Dange Model Primary Health Centre;;;;;
Dange-Shuni;Dange Ward;;Dange Nursing home;;;;;
Dange-Shuni;Dange Ward;;Kindiru Dispensary;;;;;
Dange-Shuni;Fajaldu Ward;;Fajaldu Primary Health Centre;;;;;
Dange-Shuni;Fajaldu Ward;;Budude Dispensary;;;;;
Dange-Shuni;Ge'ere Gajara Ward;;Dabagin Ardo Upgraded Dispensary;;;;;
Dange-Shuni;Ge'ere Gajara Ward;;Ge'ere Dispensary;;;;;
Dange-Shuni;Ge'ere Gajara Ward;;Gajara Dispensary;;;;;
Dange-Shuni;Rikina Ward;;Sabaru Dispensary;;;;;
Dange-Shuni;Rikina Ward;;Rikina Dispensary;;;;;
Dange-Shuni;Rudu Amanawa Ward;;GGISS Health Clinic;;;;;
Dange-Shuni;Rudu Amanawa Ward;;Amanawa Basic Health Clinic;;;;;
Dange-Shuni;Rudu Amanawa Ward;;Amanawa General Hospital;;;;;
Dange-Shuni;Rudu Amanawa Ward;;Rudu Dispensary;;;;;
Dange-Shuni;Ruggar Gidado Ward;;Ruggar Dubu Dispensary;;;;;
Dange-Shuni;Shuni Ward;;Shuni Nursing home;;;;;
Dange-Shuni;Shuni Ward;;Ruggar Kura Dispensary;;;;;
Dange-Shuni;Shuni Ward;;Shuni Upgraded Dispensary;;;;;
Dange-Shuni;Tsafanade Ward;;Tsafanade Dispensary;;;;;
Dange-Shuni;Tsafanade Ward;;Majiya Tsakar Gida Dispensary;;;;;
Dange-Shuni;Tuntube Tsefe Ward;;Dambuwa Dispensary;;;;;
Dange-Shuni;Tuntube Tsefe Ward;;Army General Hospital;;;;;
Dange-Shuni;Tuntube Tsefe Ward;;Tuntube Dispensary;;;;;
Dange-Shuni;Tuntube Tsefe Ward;;Kwannawa Dispensary;;;;;
Dange-Shuni;Tuntube Tsefe Ward;;Tsefe Dispensary;;;;;
Dange-Shuni;Wababe Salau Ward;;Wababe Dispensary;;;;;
Dange-Shuni;Wababe Salau Ward;;Hausare PHC;;;;;
Gada;Dukamaje Ward;;Ilah Dispensary;;;;;
Gada;Dukamaje Ward;;Tsagalgale Dispensary;;;;;
Gada;Dukamaje Ward;;Gidan Chikiyal Dispensary;;;;;
Gada;Dukamaje Ward;;G/Albakari Dispensary;;;;;
Gada;Dukamaje Ward;;Bigel Dispensary;;;;;
Gada;Dukamaje Ward;;Tabanni Dispensary;;;;;
Gada;Dukamaje Ward;;Rabamawa Dispensary;;;;;
Gada;Dukamaje Ward;;Dukamaje PHC;;;;;
Gada;Gada Ward;;Gada Town Dispensary;;;;;
Gada;Gada Ward;;Baredi Community Dispensary;;;;;
Gada;Gada Ward;;Gidan Madugu Dispensary;;;;;
Gada;Gada Ward;;Gada General Hospital;;;;;
Gada;Gilbadi Ward;;Gilbadi Dispensary;;;;;
Gada;Gilbadi Ward;;Tsaro Dispensary;;;;;
Gada;Gilbadi Ward;;Takalmawa Community Dispensary;;;;;
Gada;Kadadi Ward;;Kadadi Maidabo Dispensary;;;;;
Gada;Kadadi Ward;;Tsururu Dispensary;;;;;
Gada;Kadadi Ward;;Tuffal Aliyu Dispensary;;;;;
Gada;Kadadi Ward;;Ingaboro Community Dispensary;;;;;
Gada;Kadadi Ward;;Kadadi Upgraded Dispensary;;;;;
