LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Anka;Bagega Ward;;Bagega Primary Health Centre;;;;;
Anka;Bagega Ward;;Tungar Kudaku Dispensary;;;;;
Anka;Bagega Ward;;Tungar Daji Dispensary (Anka);;;;;
Anka;Bagega Ward;;Makakari Dispensary;;;;;
Anka;Bagega Ward;;Kasumka Community Dispensary;;;;;
Anka;Barayar Zaki Ward;;Barayar Zaki Primary Health Centre;;;;;
Anka;Barayar Zaki Ward;;Rafin Gero Primary Health Centre;;;;;
Anka;Barayar Zaki Ward;;Dutsin Danajiya Dispensary;;;;;
Anka;Barayar Zaki Ward;;Bardi Dispensary;;;;;
Anka;Dan Galadima Ward;;Anka Psychiatric Hospital;;;;;
Anka;Dan Galadima Ward;;Gargam Dispensary;;;;;
Anka;Dan Galadima Ward;;Anka Women and Child Welfare Clinic;;;;;
Anka;Galadima Ward (Anka);;Inwala Dispensary;;;;;
Anka;Galadima Ward (Anka);;Galadanci Dispensary;;;;;
Anka;Galadima Ward (Anka);;Kadaddaba Dispensary;;;;;
Anka;Magaji Ward;;Abare Dispensary;;;;;
Anka;Magaji Ward;;Dareta Dispensary;;;;;
Anka;Magaji Ward;;Anka General Hospital;;;;;
Anka;Magaji Ward;;Anka Orphans and Less Previlaged Clinic;;;;;
Anka;Matseri Ward;;Girkau Dispensary;;;;;
Anka;Matseri Ward;;Kwanar Maje Dispensary;;;;;
Anka;Matseri Ward;;Babban Babaye/Maiduma Dispensarry;;;;;
Anka;Matseri Ward;;Manya Dispensary;;;;;
Anka;Matseri Ward;;Gima Dispensary;;;;;
Anka;Matseri Ward;;Matseri Dispensary;;;;;
Anka;Sabon Birni Ward;;Baudi Community Dispensary;;;;;
Anka;Sabon Birni Ward;;Bawa Daji Dispensary;;;;;
Anka;Sabon Birni Ward;;Sabon Birni Primary Health Centre;;;;;
Anka;Sabon Birni Ward;;Gobirawa Dispensary (Anka);;;;;
Anka;Sabon Birni Ward;;Dan Hayi Dispensary;;;;;
Anka;Sabon Birni Ward;;Duhuwa Comprehensive Health Centre;;;;;
Anka;Waramu Ward;;Shabli Dispensary;;;;;
Anka;Waramu Ward;;Waramu Clinic;;;;;
