Region;District;Name;Type;Active;Latitude;Longitude
SOKOTO;Illela;Illela;GROUND_CROSSING;Yes;13.7556666666667;5.28088888888889
SOKOTO;Gada;Gada;GROUND_CROSSING;Yes;13.8263888888889;5.66075
Sokoto ;Wamako;Sokoto AIRPORT;AIRPORT;Yes;12.917;5.20841666666667
Sokoto ;Sabon Birni;Sabon Birni;GROUND_CROSSING;No;13.6486944444444;6.24677777777778
Sokoto ;Gudu;Ruwa Wuri;GROUND_CROSSING;No;13.57275;4.34244444444444
KEBBI;Arewa Dandi;Kampa;GROUND_CROSSING;Yes;11.8703055555556;3.62366666666667
KEBBI;Arewa Dandi;Kainjiwa;GROUND_CROSSING;Yes;12.5649444444444;3.70311111111111
KEBBI;Arewa Dandi;Dole - Kaina;GROUND_CROSSING;No;12.5649444444444;3.70311111111111
KEBBI;Bagudo;Lolo;GROUND_CROSSING;No;11.4071111111111;4.22461111111111
KEBBI;Bagudo;Maje;GROUND_CROSSING;Yes;11.4071111111111;4.22461111111111
Kebbi;Gwandu;Kebbi AIRPORT;AIRPORT;Yes;12.48375;4.37194444444444
KATSINA;Jibia;Jibia;GROUND_CROSSING;Yes;13.1171666666667;7.21222222222222
KATSINA;Maiadua;Kongolam;GROUND_CROSSING;Yes;13.1483611111111;8.22658333333333
KATSINA;Kaita;Dankama;GROUND_CROSSING;Yes;13.2485833333333;7.73641666666667
KATSINA;Baure;Babanmutum;GROUND_CROSSING;Yes;12.8218333333333;8.99633333333333
KATSINA;Maiadua;Maiadua;GROUND_CROSSING;Yes;13.2143888888889;8.22936111111111
KATSINA;Zango;Zongo;GROUND_CROSSING;Yes;13.0631111111111;8.48633333333333
KATSINA;Mashi;Birnin-Kuka;GROUND_CROSSING;Yes;13.3016944444444;7.98883333333333
JIGAWA;Maigatari;Maigatari;GROUND_CROSSING;Yes;12.817;9.43827777777778
JIGAWA;Babura;Galadi;GROUND_CROSSING;No;12.8174444444444;8.99941666666667
JIGAWA;Babura;Dangwanki;GROUND_CROSSING;No;12.8174444444444;8.99941666666667
AKWA IBOM;Oron Iha;Oron;SEAPORT;Yes;4.82308333333333;8.24194444444444
AKWA IBOM;Ibono;Qua Iboe;SEAPORT;Yes;4.53977777777778;7.99958333333333
AKWA IBOM;Mbo;Ibaka/Ebughu;SEAPORT;No;4.70027777777778;8.32327777777778
AKWA IBOM;Uruan;Adadia;SEAPORT;No;4.96519444444444;8.13019444444445
AKWA IBOM;Offshore Platform;Antan;SEAPORT;Yes;5.15597222222222;8.05983333333333
AKWA IBOM;Offshore Platform;Odudu;SEAPORT;Yes;5.15597222222222;8.05983333333333
AKWA IBOM;Offshore Platform;Ebok;SEAPORT;Yes;5.15597222222222;8.05983333333333
Akwa Ibom;Okobo;Ibom Int'l AIRPORT;AIRPORT;Yes;4.87652777777778;8.08561111111111
NIGER;Borgu;Babana;GROUND_CROSSING;Yes;10.5080277777778;3.81077777777778
NIGER;Borgu;Luma;GROUND_CROSSING;No;10.3239166666667;4.25638888888889
YOBE;Yunusari;Kanama;GROUND_CROSSING;Yes;13.2212222222222;11.8212777777778
YOBE;Yunusari;Tulutulu;GROUND_CROSSING;Yes;13.3236666666667;11.5973333333333
YOBE;Nguru;Nguru;GROUND_CROSSING;Yes;12.8869166666667;10.4460833333333
YOBE;Geidam;Geidam;GROUND_CROSSING;Yes;13.1276944444444;12.0423611111111
YOBE;Bade;Gashua;OTHER;Yes;12.8788333333333;11.0314722222222
YOBE;Machina;Machina;GROUND_CROSSING;Yes;13.1181944444444;9.94452777777778
BORNO;Gamboru;Gamboru;GROUND_CROSSING;Yes;12.3736666666667;14.2211944444444
BORNO;Bama;Banki;GROUND_CROSSING;Yes;11.2478611111111;14.1480555555556
BORNO;Gwaza;Kirawa;GROUND_CROSSING;Yes;11.1858888888889;13.9109444444444
BORNO;Munguno;Daban Masara;GROUND_CROSSING;Yes;12.8090277777778;13.8563888888889
BORNO;Kukawa;Baga;GROUND_CROSSING;Yes;13.0941388888889;13.8179722222222
BORNO;Kalabalge;Jilbe;GROUND_CROSSING;No;11.9115833333333;14.6443611111111
BORNO;Marte;Cigel;GROUND_CROSSING;No;12.4563333333333;14.1754722222222
BORNO;Mobbar;Gasigar;GROUND_CROSSING;No;13.1121666666667;12.5053611111111
BORNO;Mobbar;Duji;GROUND_CROSSING;Yes;13.2518055555556;12.6508333333333
Borno;Maiduguri;AIRPORT;AIRPORT;Yes;11.8575277777778;13.0839722222222
KWARA;Ilorin South;Ilorin Office;OTHER;Yes;8.42394444444444;4.59997222222222
Kwara;Ilorin West;AIRPORT;AIRPORT;Yes;8.43563888888889;4.49536111111111
Kwara;Baruten;Chikanda;GROUND_CROSSING;Yes;9.83388888888889;3.36697222222222
Kwara;Baruten;Okuta;GROUND_CROSSING;Yes;9.22536111111111;3.19572222222222
Kwara;Baruten;Kosubosu;GROUND_CROSSING;Yes;9.55777777777778;3.22122222222222
Kwara;Baruten;Budo-Aiki;GROUND_CROSSING;Yes;9.55777777777778;3.22122222222222
Kwara;Baruten;Kenu;GROUND_CROSSING;Yes;9.55777777777778;3.22122222222222
Kwara;Baruten;Bukuro;GROUND_CROSSING;Yes;9.55777777777778;3.22122222222222
Kwara;Baruten;Ilesha Ibariba;GROUND_CROSSING;Yes;8.91241666666667;3.42052777777778
Kwara;Baruten;Agakeru;GROUND_CROSSING;No;9.55777777777778;3.22122222222222
Kwara;Baruten;Karoji;GROUND_CROSSING;No;9.55777777777778;3.22122222222222
Kwara;Baruten;Kuburufu;GROUND_CROSSING;No;9.55777777777778;3.22122222222222
Kwara;Baruten;Yashikira;GROUND_CROSSING;No;9.82936111111111;3.36336111111111
Kwara;Baruten;Tewu;GROUND_CROSSING;No;9.55777777777778;3.22122222222222
Kwara;Baruten;Boriya;GROUND_CROSSING;No;9.55777777777778;3.22122222222222
Kwara;Baruten;Manakuru;GROUND_CROSSING;No;9.55777777777778;3.22122222222222
Kwara;Baruten;Yarin;GROUND_CROSSING;No;9.55777777777778;3.22122222222222
Kwara;Baruten;Nikkiperu;GROUND_CROSSING;No;9.55777777777778;3.22122222222222
KOGI;Lokoja LG;Kogi state (Lokoja);OTHER;Yes;7.81597222222222;6.7495
BENUE;Kwande;Kwande;GROUND_CROSSING;Yes;6.46502777777778;9.55394444444445
TARABA;Ussa;Kpakya;GROUND_CROSSING;Yes;7.03794444444444;10.1224722222222
TARABA;Ussa;Mubitoso;GROUND_CROSSING;Yes;7.03794444444444;10.1224722222222
TARABA;Ussa;Bisola;GROUND_CROSSING;Yes;7.03794444444444;10.1224722222222
TARABA;Takum;Kashimbila;GROUND_CROSSING;Yes;6.83055555555556;9.85480555555556
TARABA;Takum;Sabin Gida Yukubem-lutu;GROUND_CROSSING;Yes;6.83055555555556;9.85480555555556
TARABA;Takum;Shibong;GROUND_CROSSING;Yes;6.83055555555556;9.85480555555556
TARABA;Takum;Lutu;GROUND_CROSSING;Yes;6.83055555555556;9.85480555555556
TARABA;Sardauna;Ndarup;GROUND_CROSSING;Yes;7.01616666666667;10.9833333333333
TARABA;Sardauna;Kan Iyaka;GROUND_CROSSING;Yes;7.01616666666667;10.9833333333333
TARABA;Sardauna;Bang;GROUND_CROSSING;Yes;7.01616666666667;10.9833333333333
TARABA;Sardauna;Chana;GROUND_CROSSING;Yes;7.01616666666667;10.9833333333333
TARABA;Sardauna;Dorofi;GROUND_CROSSING;Yes;6.57433333333333;11.4252222222222
TARABA;Sardauna;Tamnyar;GROUND_CROSSING;Yes;6.53330555555556;11.2333333333333
TARABA;Sardauna;Yerimaru;GROUND_CROSSING;Yes;6.79830555555556;11.0493055555556
TARABA;Kurmi;Abong;GROUND_CROSSING;No;6.98888888888889;10.7411111111111
TARABA;Takum;Gidan Sule;GROUND_CROSSING;No;6.83055555555556;9.85480555555556
TARABA;Ussa;Mberogo;GROUND_CROSSING;No;7.03794444444444;10.1224722222222
TARABA;Sardauna;Mayo Darle;GROUND_CROSSING;No;6.60041666666667;11.4934722222222
TARABA;Sardauna;Antere;GROUND_CROSSING;No;6.69530555555556;10.9970277777778
TARABA;Sardauna;Njawai;GROUND_CROSSING;No;6.69530555555556;10.9970277777778
TARABA;Ussa;Amunum;GROUND_CROSSING;No;7.03794444444444;10.1224722222222
TARABA;Ussa;Lissaum Jatau;GROUND_CROSSING;No;7.03794444444444;10.1224722222222
TARABA;Ussa;Gafa;GROUND_CROSSING;No;7.03794444444444;10.1224722222222
ANAMBRA;Awka South;Fed. Medical Centre Awka;OTHER;Yes;6.22491666666667;7.07883333333333
ENUGU;Enugu East;Akanu Ibiam international airport;AIRPORT;Yes;6.47191666666667;7.56727777777778
EBONYI;Abakaliki;fed. Sec. abakaliki;OTHER;Yes;6.323;8.08925
IMO;Owerri Municipal;fed. Sec. Owerri;OTHER;Yes;5.50427777777778;7.02163888888889
ABIA;Umuahia North;Fed. Medical centre Umahia;OTHER;Yes;5.52180555555556;7.49455555555556
RIVERS;Port Harcourt;NPA warf;SEAPORT;Yes;4.77327777777778;7.00986111111111
RIVERS;Ikwerre;Port Harcourt International Airpot Omagwa;AIRPORT;Yes;5.00758333333333;6.95022222222222
RIVERS;Bonny;Bonny;SEAPORT;Yes;4.41197222222222;7.18852777777778
RIVERS;Eleme;Onne;SEAPORT;Yes;4.70777777777778;7.16011111111111
RIVERS;Obio/Akpor;state secretariat;OTHER;Yes;4.86688888888889;6.99736111111111
KANO;Ungogo;Malam Aminu Kano International AIRPORT;AIRPORT;Yes;12.0457777777778;8.52211111111111
KANO;Ungogo;airport road via Aviation ;OTHER;Yes;12.0457777777778;8.52211111111111
OYO;Iwajowa;Ayegun;GROUND_CROSSING;Yes;8.01036111111111;2.72369444444444
OYO;Shaki;okeretedo;GROUND_CROSSING;Yes;8.52544444444445;2.77780555555556
OYO;Ibadan North;Fed. Sec. Ikoloba;OTHER;Yes;7.41033333333333;3.91602777777778
EKITI;Ado-Ekiti;state secretariat;OTHER;Yes;7.634;5.20163888888889
CROSS RIVER;Itu;Mfum;GROUND_CROSSING;Yes;5.81102777777778;8.84738888888889
CROSS RIVER;Calabar Municipal;Niwa;SEAPORT;Yes;4.96505555555556;8.31802777777778
CROSS RIVER;Bakassi;Ikang;GROUND_CROSSING;Yes;4.78983333333333;8.53219444444444
CROSS RIVER;Calabar Municipal;Shoreline;SEAPORT;Yes;4.96505555555556;8.31802777777778
CROSS RIVER;Calabar Municipal;seaport;SEAPORT;Yes;4.96505555555556;8.31802777777778
CROSS RIVER;Calabar Municipal;Margaret Ekpo International AIRPORT;AIRPORT;Yes;4.96908333333333;8.34705555555556
FCT;Abuja Municipal;Nnamdi Azikiwe Int'l AIRPORT;AIRPORT;Yes;9.00722222222222;7.26341666666667
GOMBE;Akko;Lawanti Int'l AIRPORT;AIRPORT;Yes;10.3066944444444;10.9075
OGUN;Ipokia;Idiroko;GROUND_CROSSING;Yes;6.63894444444444;2.73308333333333
OGUN;Yewa North;Ohunbe Obelle;GROUND_CROSSING;Yes;6.95055555555556;2.71625
OGUN;Ipokia;Ajelete/Okoeye;GROUND_CROSSING;Yes;6.69558333333333;2.78322222222222
OGUN;Ipokia;Ijofin;GROUND_CROSSING;Yes;6.47233333333333;2.74375
OGUN;Yewa North;Ijohun;GROUND_CROSSING;Yes;7.15633333333333;2.77
OGUN;Imeko-Afon;Imeko/Afon;GROUND_CROSSING;Yes;7.4125;2.74488888888889
LAGOS;Apapa;Federal Ministry of Health, PHS Apapa;SEAPORT;Yes;6.43936111111111;3.35983333333333
LAGOS;Ikeja;Murtala Muhammed International AIRPORT;AIRPORT;Yes;6.58166666666667;3.32088888888889
LAGOS;Badagry;Seme;GROUND_CROSSING;Yes;6.38125;2.71280555555556
LAGOS;Badagry;Owode Apa;GROUND_CROSSING;0;6.42;2.71275
ADAMAWA;Yola North;Yola AIRPORT;AIRPORT;Yes;9.27905555555556;12.3753055555556
ADAMAWA;Mubi;Sahuda;GROUND_CROSSING;Yes;10.1611388888889;13.44725
ADAMAWA;Mubi;Kwaja;GROUND_CROSSING;Yes;10.1076111111111;13.3173888888889
ADAMAWA;Fufore;Wurobokki;GROUND_CROSSING;Yes;10.2193333333333;12.0585277777778
ADAMAWA;Fufore;Mbilla;GROUND_CROSSING;Yes;9.88705555555556;12.6084166666667
ADAMAWA;Fufore;Gurin;GROUND_CROSSING;Yes;9.07505555555556;12.8813888888889
ADAMAWA;Maiha;Belel;GROUND_CROSSING;Yes;9.62258333333333;13.2343611111111
ADAMAWA;Fufore;Mayotel;GROUND_CROSSING;Yes;7.32308333333333;11.8829722222222
ADAMAWA;Fufore;Jamtari;GROUND_CROSSING;Yes;7.32308333333333;11.8829722222222
DELTA;Warri South;Warri SEAPORT;SEAPORT;Yes;5.52713888888889;5.58511111111111
DELTA;Sapele;Sapele SEAPORT;SEAPORT;Yes;5.88452777777778;5.6955
DELTA;Ethiope east;koko SEAPORT;SEAPORT;No;6.00008333333333;5.45927777777778
DELTA;Ethiope east;Oghara SEAPORT;SEAPORT;Yes;5.94808333333333;5.69452777777778
DELTA;Asaba;Federal Secratariat Asaba;SEAPORT;Yes;6.21197222222222;6.71088888888889
EDO;Oredo;Federal Secretariat;OTHER;Yes;6.32027777777778;5.62702777777778
TIN-CAN;Apapa;Tin-Can Island port;SEAPORT;Yes;6.43475;3.35697222222222
