region;district;community
Ashanti;Ahafo-Ano North;Anyinasuso
Ashanti;Ahafo-Ano North;Betiako
Ashanti;Ahafo-Ano North;Manfo
Ashanti;Ahafo-Ano North;Subriso
Ashanti;Ahafo-Ano North;Tepa
Ashanti;Ahafo-Ano South;Biemso
Ashanti;Ahafo-Ano South;Mankranso
Ashanti;Ahafo-Ano South;Mpasaso
Ashanti;Ahafo-Ano South;Pokukrom
Ashanti;Ahafo-Ano South;Sabronum
Ashanti;Ahafo-Ano South;Wioso
Ashanti;Adansi North;Aboabo
Ashanti;Adansi North;Akrokerri
Ashanti;Adansi North;Anhwiaso
Ashanti;Adansi North;Asokwa
Ashanti;Adansi North;Fomena
Ashanti;Adansi North;Fumso
Ashanti;Adansi South;Akrofuom
Ashanti;Adansi South;Akutreso
Ashanti;Adansi South;Amponyase
Ashanti;Adansi South;Ataase
Ashanti;Adansi South;New Edubiase
Ashanti;Afigya-Kwabre;Aboabogya
Ashanti;Afigya-Kwabre;Afrancho
Ashanti;Afigya-Kwabre;Ankaase
Ashanti;Afigya-Kwabre;Boamang-Kwamang-Ahenkro
Ashanti;Afigya-Kwabre;Brofoyedru
Ashanti;Afigya-Kwabre;Kyekyewere
Ashanti;Asokore-Mampong;Aboabo
Ashanti;Asokore-Mampong;Adukrom
Ashanti;Asokore-Mampong;Airport
Ashanti;Asokore-Mampong;Asawase
Ashanti;Asokore-Mampong;Asokore Mampong
Ashanti;Asokore-Mampong;Sawaba
Ashanti;Asokore-Mampong;Sepe Timpom
Ashanti;Amansie Central;Fena Hia
Ashanti;Amansie Central;Fiankoma
Ashanti;Amansie Central;Jacobu
Ashanti;Amansie Central;Numereso
Ashanti;Amansie Central;Tweapease
Ashanti;Amansie West;Agroyesum
Ashanti;Amansie West;Antoakrom
Ashanti;Amansie West;Edubia
Ashanti;Amansie West;Essuowin
Ashanti;Amansie West;Keniago
Ashanti;Amansie West;Manso Nkwanta
Ashanti;Amansie West;Tontokrom
