region;district;epidcode;growthrate
Ashanti;Ahafo-Ano North;AAN;2.70
Ashanti;Ahafo-Ano South;AAS;2.70
Ashanti;Adansi North;ADN;2.70
Ashanti;Adansi South;ADS;2.70
Ashanti;Afigya-Kwabre;AFK;2.70
Ashanti;Asokore-Mampong;AMA;2.70
Ashanti;Amansie Central;AMC;2.70
Ashanti;Amansie West;AMW;2.70
Ashanti;Asante-Akim Central;ASC;2.70
Ashanti;Asante-Mampong;ASM;2.70
Ashanti;Asante-Akim North;ASN;2.70
Ashanti;Asante-Akim South;ASS;2.70
Ashanti;Atwima-Kwanwoma;ATK;2.70
Ashanti;Atwima-Mponua;ATM;2.70
Ashanti;Atwima-Wabiagya;ATN;2.70
Ashanti;Bekwai;BEK;2.70
Ashanti;Bosome-Freho;BOF;2.70
Ashanti;Bosomtwe;BOS;2.70
Ashanti;Ejisu-Juaben;EJJ;2.70
Ashanti;Ejura-Sekyedumasi;EJS;2.70
Ashanti;Kumasi;KUM;2.70
Ashanti;Kwabre East;KWB;2.70
Ashanti;Obuasi;OBU;2.70
Ashanti;Offinso;OFF;2.70
Ashanti;Offinso North;OFN;2.70
Ashanti;Sekyere-Afram Plains;SAP;2.70
Ashanti;Sekyere Central;SEC;2.70
Ashanti;Sekyere East;SEE;2.70
Ashanti;Sekyere South;SES;2.70
Ashanti;Sekyere-Kumawu;SKK;2.70
Brong Ahafo;Asutifi North;AFN;2.30
Brong Ahafo;Asutifi South;AFS;2.30
Brong Ahafo;Atebubu-Amanten;ATA;2.30
Brong Ahafo;Asunafo North;AUN;2.30
Brong Ahafo;Asunafo South;AUS;2.30
Brong Ahafo;Banda;BAN;2.30
Brong Ahafo;Berekum;BER;2.30
Brong Ahafo;Dormaa Central;DOC;2.30
Brong Ahafo;Dormaa East;DOE;2.30
Brong Ahafo;Dormaa West;DOW;2.30
Brong Ahafo;Jaman North;JNO;2.30
Brong Ahafo;Jaman South;JSO;2.30
Brong Ahafo;Kintampo North;KIN;2.30
Brong Ahafo;Kintampo South;KIS;2.30
Brong Ahafo;Nkoranza North;NKN;2.30
Brong Ahafo;Nkoranza South;NKS;2.30
Brong Ahafo;Pru;PRU;2.30
Brong Ahafo;Sene East;SNE;2.30
Brong Ahafo;Sene West;SNW;2.30
Brong Ahafo;Sunyani;SUN;2.30
Brong Ahafo;Sunyani West;SUW;2.30
Brong Ahafo;Tain;TAI;2.30
Brong Ahafo;Tano North;TAN;2.30
Brong Ahafo;Tano South;TAS;2.30
Brong Ahafo;Techiman;TEC;2.30
Brong Ahafo;Techiman North;TEN;2.30
Brong Ahafo;Wenchi;WEN;2.30
Central;Abura-Asebu-Kwamankese;AAK;3.10
Central;Ajumako-Enyan-Essiam;AEE;
Central;Agona East;AGE;3.10
Central;Agona West;AGW;3.10
Central;Assin North;AIN;3.10
Central;Assin South;AIS;3.10
Central;Asikuma-Odoben-Brakwa;AOB;3.10
Central;Awutu-Senya East;ASE;3.10
Central;Awutu-Senya;ASW;3.10
Central;Cape Coast;CAC;3.10
Central;Efutu;EFU;3.10
Central;Ekumfi;EKU;3.10
Central;Gomoa East;GOE;3.10
Central;Gomoa West;GOW;3.10
Central;Komenda-Edina-Eguafo-Abirem;KEA;3.10
Central;Mfantsiman;MFA;3.10
Central;Twifu-Hemang Lower Denkyira;THL;3.10
Central;Twifu-Ati-Mokwa;TWM;3.10
Central;Upper Denkyira East;UDE;3.10
Central;Upper Denkyira West;UDW;3.10
Eastern;Akyemansa;AKM;2.10
Eastern;Akwapim North;AKN;2.10
Eastern;Akwapim South;AKS;2.10
Eastern;Afram Plains North;APN;2.10
Eastern;Afram Plains South;APS;
Eastern;Asuogyaman;ASG;2.10
Eastern;Atiwa;ATI;2.10
Eastern;Ayensuano;AYE;2.10
Eastern;Birim Central;BIC;2.10
Eastern;Birim North;BIN;2.10
Eastern;Birim South;BIS;2.10
Eastern;Denkyembour;DKB;2.10
Eastern;East Akim;EAK;2.10
Eastern;Fanteakwa;FAN;2.10
Eastern;Kwaebibirem;KBR;2.10
Eastern;Kwahu East;KWE;2.10
Eastern;Kwahu North;KWN;2.10
Eastern;Kwahu South;KWS;2.10
Eastern;Kwahu West;KWW;2.10
Eastern;Lower Manya-Krobo;LMK;2.10
Eastern;New Juaben;NEJ;2.10
Eastern;Nsawam-Adoagyiri;NSA;2.10
Eastern;Suhum;SUH;2.10
Eastern;Upper Manya-Krobo;UMK;2.10
Eastern;Upper West Akim;UWA;2.10
Eastern;West Akim;WAK;2.10
Eastern;Yilo-Krobo;YIK;2.10
Greater Accra;Accra;ACC;3.10
Greater Accra;Ada East;ADE;3.10
Greater Accra;Adentan;ADT;3.10
Greater Accra;Ada West;ADW;3.10
Greater Accra;Ashaiman;ASH;3.10
Greater Accra;Ga Central;GAC;3.10
Greater Accra;Ga East;GAE;3.10
Greater Accra;Ga South;GAS;3.10
Greater Accra;Ga West;GAW;3.10
Greater Accra;Kpone-Katamanso;KPK;3.10
Greater Accra;La-Dade-Kotopon;LDK;3.10
Greater Accra;Ledzokuku-Krowor;LEK;3.10
Greater Accra;La-Nkwantanang-Madina;LNM;3.10
Greater Accra;Ningo-Prampram;NIP;3.10
Greater Accra;Shai-Osudoku;SHO;3.10
Greater Accra;Tema;TEM;3.10
Northern;Bole;BOL;2.90
Northern;Bunkpurugu-Yunyuo;BUY;2.90
Northern;Central Gonja;CGO;2.90
Northern;Chereponi;CHE;2.90
Northern;East Gonja;EGO;2.90
Northern;East Mamprusi;EMA;2.90
Northern;Gushiegu;GUS;2.90
Northern;Karaga;KAR;2.90
Northern;Kpandai;KPD;2.90
Northern;Kumbungu;KUB;2.90
Northern;Mamprugu-Moagduri;MAM;2.90
Northern;Mion;MIO;2.90
Northern;Nanumba North;NAN;2.90
Northern;Nanumba South;NAS;2.90
Northern;North Gonja;NGO;2.90
Northern;Saboba;SAB;2.90
Northern;Sagnarigu;SAG;2.90
Northern;Savelugu-Nanton;SAN;2.90
Northern;Sawla-Tuna-Kalba;STK;2.90
Northern;Tamale;TAM;2.90
Northern;Tolon;TOL;2.90
Northern;Tatale-Sangule;TTS;2.90
Northern;West Gonja;WGO;2.90
Northern;West Mamprusi;WMA;2.90
Northern;Yendi;YEN;2.90
Northern;Zabzugu;ZAB;2.90
Upper East;Bawku;BAW;1.20
Upper East;Binduri;BID;1.20
Upper East;Bawku West;BKW;1.20
Upper East;Bolgatanga;BOG;1.20
Upper East;Bongo;BON;1.20
Upper East;Builsa North;BUI;1.20
Upper East;Builsa South;BUS;1.20
Upper East;Garu-Tempane;GAT;1.20
Upper East;Kassena-Nankana;KND;1.20
Upper East;Kassena-Nankana West;KNW;1.20
Upper East;Nabdam;NAB;1.20
Upper East;Pusiga;PUS;1.20
Upper East;Talensi;TAL;1.20
Upper West;Daffiama-Bussie-Issa;DBI;1.90
Upper West;Jirapa;JIR;1.90
Upper West;Lambussie-Karni;LAM;1.90
Upper West;Lawra;LAW;1.90
Upper West;Nandom;NAD;1.90
Upper West;Nadowli-Kaleo;NAK;1.90
Upper West;Sissala East;SIE;1.90
Upper West;Sissala West;SIW;1.90
Upper West;Wa East;WAE;1.90
Upper West;Wa;WAU;1.90
Upper West;Wa West;WAW;1.90
Volta;Adaklu-Anyigbe;ADA;2.50
Volta;Afadjato;AFA;2.50
Volta;Agotime-Ziope;AGZ;2.50
Volta;Akatsi North;ANO;2.50
Volta;Akatsi South;ASO;2.50
Volta;Biakoye;BIK;2.50
Volta;Central Tongu;CTO;2.50
Volta;Hohoe;HOH;2.50
Volta;Ho;HOV;2.50
Volta;Ho West;HOW;2.50
Volta;Jasikan;JAS;2.50
Volta;Kadjebi;KAD;2.50
Volta;Ketu North;KEN;2.50
Volta;Ketu South;KES;2.50
Volta;Keta;KET;2.50
Volta;Kpando;KPO;2.50
Volta;Krachi East;KRE;2.50
Volta;Krachi-Nchumuru;KRN;2.50
Volta;Krachi West;KRW;2.50
Volta;North Dayi;NDA;2.50
Volta;Nkwanta North;NKO;2.50
Volta;Nkwanta South;NKW;2.50
Volta;North Tongu;NTO;2.50
Volta;South Dayi;SDA;2.50
Volta;South Tongu;STO;2.50
Western;Wassa-Amenfi East;AFE;2.00
Western;Wassa-Amenfi West;AFW;2.00
Western;Ahanta West;AHW;2.00
Western;Aowin;AOW;2.00
Western;Bibiani-Anhwiaso-Bekwai;BAB;2.00
Western;Bia East;BIE;2.00
Western;Bia West;BIW;2.00
Western;Bodi;BOD;2.00
Western;Ellembelle;ELL;2.00
Western;Jomoro;JOM;2.00
Western;Juabeso;JUA;2.00
Western;Mpohor;MPO;2.00
Western;Nzema East;NZE;2.00
Western;Prestea-Huni Valley;PHV;2.00
Western;Sefwi-Akontombra;SEA;2.00
Western;Sekondi-Takoradi;SET;2.00
Western;Sefwi-Wiawso;SEW;2.00
Western;Shama;SHA;2.00
Western;Suaman;SUA;2.00
Western;Tarkwa-Nsuaem;TNS;2.00
Western;Wassa-Amenfi Central;WAC;2.00
Western;Wassa East;WSE;2.00
