region;district;community
Analamanga;Antananarivo Renivohitra;1er Arrondissement
Analamanga;Antananarivo Renivohitra;2e Arrondissement
Analamanga;Antananarivo Renivohitra;3e Arrondissement
Analamanga;Antananarivo Renivohitra;4e Arrondissement
Analamanga;Antananarivo Renivohitra;5e Arrondissement
Analamanga;Antananarivo Renivohitra;6e Arrondissement
Analamanga;Antananarivo Avaradrano;Alasora
Analamanga;Antananarivo Avaradrano;Ankadikely Ilafy
Analamanga;Antananarivo Avaradrano;Ambohimanambola
Analamanga;Antananarivo Avaradrano;Sabotsy Namehana
Analamanga;Antananarivo Avaradrano;Ambohimangakely
Analamanga;Antananarivo Avaradrano;Manandriana
Analamanga;Antananarivo Avaradrano;Ambohimalaza Miray
Analamanga;Antananarivo Avaradrano;Fiaferana
Analamanga;Antananarivo Avaradrano;Ambohimanga Rova
Analamanga;Antananarivo Avaradrano;Viliahazo
Analamanga;Antananarivo Avaradrano;Talata Volonondry
Analamanga;Antananarivo Avaradrano;Anjeva Gara
Analamanga;Antananarivo Avaradrano;Masindray
Analamanga;Antananarivo Avaradrano;Ankadinandriana
Analamanga;Ambohidratrimo;Ambohidratrimo
Analamanga;Ambohidratrimo;Anosiala
Analamanga;Ambohidratrimo;Talatamaty
Analamanga;Ambohidratrimo;Antehiroka
Analamanga;Ambohidratrimo;Iarinarivo
Analamanga;Ambohidratrimo;Ivato Firaisana
Analamanga;Ambohidratrimo;Ivato Aeroport
Analamanga;Ambohidratrimo;Ambohitrimanjaka
Analamanga;Ambohidratrimo;Mahitsy
Analamanga;Ambohidratrimo;Merimandroso
Analamanga;Ambohidratrimo;Ambatolampy
Analamanga;Ambohidratrimo;Ampangabe
Analamanga;Ambohidratrimo;Ampanotokana
Analamanga;Ambohidratrimo;Mananjara
Analamanga;Ambohidratrimo;Manjakavaradrano
Analamanga;Ambohidratrimo;Antsahafilo
Analamanga;Ambohidratrimo;Ambohimanjaka
Analamanga;Ambohidratrimo;Fiadanana
Analamanga;Ambohidratrimo;Mahabo
Analamanga;Ambohidratrimo;Mahereza
Analamanga;Ambohidratrimo;Antanetibe
Analamanga;Ambohidratrimo;Ambohipihaonana
Analamanga;Ambohidratrimo;Ambato
Analamanga;Ambohidratrimo;Anjanadoria
Analamanga;Ambohidratrimo;Avaratsena
Analamanga;Ankazobe;Ankazobe
Analamanga;Ankazobe;Talata Angavo
Analamanga;Ankazobe;Ambohitromby
Analamanga;Ankazobe;Antotohazo
Analamanga;Ankazobe;Marondry
Analamanga;Ankazobe;Fihaonana
Analamanga;Ankazobe;Mahavelona
Analamanga;Ankazobe;Fiadanana
Analamanga;Ankazobe;Tsaramasoandro
Analamanga;Ankazobe;Ambolotarakely
Analamanga;Ankazobe;Antakavana
Analamanga;Ankazobe;Kiangara
Analamanga;Ankazobe;Miantso
Itasy;Arivonimamo;Arivonimamo I
